,youtube_id,comment,like_num,comment_date
0,userxl6cg6vr9d,"웅니는 항상 예쁜 스튜디오를 잘 찾아서 촬영하는 듯,,,,,",14.0,7개월 전
1,uservq1vy3op6u,이럴수가 ㅠㅠ 담달에 생일이라 동생이 가방 하나 사준다고 고르라고 했는데 츄비백 완전 취향저격!!!  ㅠㅠ 에어포스도 글쿠 이번 영상 취향가득이라 더 좋아요!!! ,4.0,7개월 전
2,ggxg8yv,"언니 분위기는 아무도 못 따라할듯 
넘
소중햇!!!!!",6.0,7개월 전
3,SONto4ip,미니월드 Minni님 겨울룩북이 너무 잘 어울리시네요.,4.0,7개월 전
4,sebonge,"와 신발도 있는줄 몰랐어요
대박대박
꿀템가득",0.0,7개월 전
5,userux4jl7it4w,역시 언니 ㅜㅠ 새로운거 넘나 좋아ㅠ 오늘두 예뿌다 ,0.0,7개월 전
6,userjo1qx5mu4q,귀여운힙템이 가득..!,3.0,7개월 전
7,userxp7le3rh7v,영상에서 입으신 맨투맨 정보 궁금해요,0.0,7개월 전
8,lerinorthcott,1:37 폰 캐이스가 너무 예뻐요  어디에서 온 것인가?,0.0,7개월 전
9,usercx3vy9zk4z,입고 계신 옷 정보 알 수 있을까요??,2.0,7개월 전
10,kkwanii,영상에서 입으신 바지 정보 알고싶어요!,0.0,7개월 전
11,userhg2hk1ih8h,"아디다스 유로파 져지는 좀 붙고 길구
파이어버드가 여유롭고 짧을거에요",0.0,7개월 전
12,missyoujina,7:09 내년에는 팔통 넓은걸로 재도전.. 허리춤에라도 차주세여,3.0,7개월 전
13,useriiililll,미니님 롬버스 후드 사이즈 알 수 있을까요,0.0,7개월 전
14,userfx3vl8es8r,폰케이스 정보 궁금해용🥹,2.0,7개월 전
15,usereq6tx2cz1t,영상에서 입은 바지 어디꺼예요?,0.0,7개월 전
