,youtube_id,comment,like_num,comment_date
0,Minning,"Please turn on the subtitles and watch!
미닝 Instagram https://www.instagram.com/min.ing 설 연휴에도 미닝쓰와 함께해요출연해주신 서영언니 감사하규>< 멜팅피도 많관부",13.0,8개월 전
1,userbb6qp2zl9o,삭막한 겨쿨다크 세계에서 알짜배기만 모아놓은 귀한 영상이네여 ㅠㅠㅠㅠ 흑흑 자주 나와주세요...,186.0,7개월 전
2,usergs8yp7ki6c,웜톤이라고 철썩같이 믿고있다가 최근에 퍼컬 진단 받았는데 겨울 다크 진단 받고왔어요 맨날 웜한 립 쓰다가 겨쿨립 쓰려니까 어떤거 써야할지 갈팡질팡 했는데 진짜 도움 많이 됐어요 감사합니다🫶,23.0,7개월 전
3,meltingp3760,"안녕하쎄여! 영상의 멜팅피 서영임댜  미닝님이 촬영하면서 너무 편하게 해주시고 수다를 재밌게 나누니라 촬영 시간이 너무너무 휘리리리리릭 지나갔어요! 이번 경험으로 더욱더 미닝님의 팬이 됐습니다요️ 스릉함댜미닝쓰️

제 파우치가 겨울다크 마이닝님들께 도움이 됐길바라며 즐거운 설 보내셔요",42.0,8개월 전
4,namekim,"립 발색 진짜 안정감있고 소나무네요! 포도주같은 색감 좋아하는데 대리만족하고갑니다ㅎ.ㅎ// 서영님이 만드신 향수들 너무 궁금해요 특히 금목서향.,! 언젠가 꼭 시향하고픈ㅋㅋ 파우치털기 너무 재밌어요~@♡@~ 미닝님 즐거운 설연휴 되세요!!",7.0,8개월 전
5,roller7768,엔비 립밤으로 쓰는거 완전 공감ㅋㅋㅋ 챙겨주셔서 감사합니다 블러셔 베일드퍼플도 써보세요 너무예뻐요,3.0,8개월 전
6,userzl2lf3ki7w,"꺄 겨쿨 파우치털기라니~!
겨쿨템 별로 없는데 찐템만 모인 느낌이네요
멜팅피 금목서 향 너무 궁금해요!
유용한 정보 많이 얻구갑니댜",5.0,8개월 전
7,whereisfreepizza,23호 겨쿨다크인데 쉐딩 정보 찾다가 영상에서 도움 많이 받고 가요ㅜ0ㅠ 쿨톤이 피부 하얗다는 게 절대 아닌데 왜 시중에 나온 쿨톤 쉐딩들은 죄다 17-21호 기준인 건지 진짜 속상해 죽겠어요!!,1.0,2개월 전
8,roller7768,우연히 써보게된 릴바레 킬미플럼이 너무 착붙이라 의심하게된 겨울딥… 알고보니 여라로 오진한거였더라구요ㅠ 립 잘보고가요 저도 플럼콕이랑 봄밤 필링팁시 데일리에요  찍어주시는 미닝님도 너무 반응 잘해주셔서 립자랑할 맛 날듯…! ㅎㅎ,4.0,8개월 전(수정됨)
9,sassy4202,"윙크쿠션 23호 내 피부에 데일리립 똑같은 제품쓰는 사람 첨 봐서 너무 반갑고,. 숨은 템 더 찾아가는 거 같아 너무 감사합니다 쿠흑 ㅠㅠ 겨쿨 영원해라",2.0,7개월 전
10,userzh6wo2wk1c,겨쿨브인간인데 베이스메컵부터 겹치는 제품 많아서 넘 신기해요><,2.0,8개월 전
11,userls1pd7cp6o,저랑 완전 똑같은 타입 처음봐여..! 저도 23~25호 사이의 어두운 겨쿨 다크고 명도가 중요한 타입이라 화장품 찾기 힘든데 갖고계시는 것 중에 겹치는게 많네요 공감ㅎㅎ 저에게 없는 꿀템들은 꼭 사봐야겠어요!! 제발 나중에 또 다른제품 들고 와주세요...ㅜㅇ ㅠ,3.0,7개월 전
12,Oioiooiiiioiiioiiiii,옛날에 여쿨라 진단받았지만 걍 제멋대로 화장품 사는 타입인데 멜팅피님이랑 섀도우랑 립 겹치는 거 왤케 많을까요 다시 진단 받아봐야하나ㅠㅋㅋㅋㅋㅋㅋㅋ여쿨라는 제겐 너무 히끄무리한 느낌인데🥹,0.0,5개월 전
13,userxn4wi3ir5j,23호 겨쿨인데 제 인생템들 다 나와서 반가워요,0.0,7개월 전
14,jyaniverse,겨울닼인 저랑 갱장히 제품이 많이 겹쳐서 즐거웠습니다 겨닼 만세,3.0,8개월 전
15,userue5mp6ib8u,오늘 겨울 다크 진단받고 영상들 찾아보고 있는데 이런 귀한 영상이ㅜㅠ,1.0,7개월 전
16,userof9ew5jc9o,두 분 케미가 넘 귀여우셔요,1.0,8개월 전
17,wwkddlswl,진짜 ……. 레전드 영상 이거 겨쿨다크 교과서로 등재 하셔야 합니다 싹 다 손민수 할거예요 절대 영상 내리시면 안됩니다ㅜㅜㅜㅜㅠㅠ 선생님으로 모실 거예요..,0.0,1개월 전
18,peonydaisy9531,진짜 시커먼스한거는 세일해도 천천히 가서 사면 되요...다른거 다 품절될때 항상 남아있거든요ㅋㅋㄲㄱ 어바웃톤 립 두개 가지고 있는데 이거 물건입니다. 첫발색은 안 그래보이는데 광올라오고 시간지나면 더 어두워져요. 암청색 잘어울리는 다크 분들은 어바웃톤 꼭 사용해보세요!,0.0,7개월 전
19,uservp8lq3vr7m,피부 어두운 겨쿨다크인데 꿀템 많이 찾구 갑니다ㅠㅠ파운데이션 추천도 존버합니다,0.0,7개월 전
20,userxg9ob9mj7i,저는 겨울 쿨톤 클리어인데 저 지방시 블러셔 넘 잘쓰고 있어요. 켜쿨 분들 잘 없으신데 쿨템 잘보고 갑니다♡,3.0,8개월 전
21,totodogtuio,제가 쿨톤 다크인데 쿨톤 화장품도 없지만 다크는 더욱 더 없더라구요ㅠㅠ 정말 감사합니다ㅠ 선생님!!!!,0.0,6개월 전
22,loves8light,감사합니다 ,0.0,7개월 전
