,youtube_id,comment,like_num,comment_date
0,Minning,"Please turn on the subtitles and watch! 
미닝 Instagram https://www.instagram.com/min.ing 또 브이로그라 아쉬우신 분들 있을것같은데메이크업 학원이 막바지라 더 바빠져서 영상 제작에 오래걸리는 중이에요ㅠㅠ 다음 영상은 데이지크 신상 리뷰 언넝 들고 올게요!!!  미닝쓰의 현실 브이로그도 많이 좋아해주셨으면 >< 오늘도 보러와주셔서 감사해요ㅎㅎㅎㅎ",5.0,1년 전
1,usertg3bb2my5m,현실 브이로그 넘나 좋은것!! 오쏘몰까지 챙겨먹는 열정에 깜짝 놀랐습니댜 ㅋㅋㅋㅋㅋㅋ 다들 너무 리액션봇 칭찬봇이셔서 보는 저도 기분 좋았어효 ️‍,0.0,1년 전
2,userqj7eo9yb2z,"진짜 미닝님 너무 귀여우어요ㅋㅋㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅠㅠㅠㅠ 메컵 영상에서는 볼 수 없었던 진짜 해맑고 신나보이는 미닝님 모습 보니까 웃음이 절로 나와서 보는 중에 댓글씁니당..🥹 행복해보이니 넘넘 좋아요 
+ 8:49 아 진짜 모냐고 선녀냐고.. 디지버저🫶🫶",0.0,1년 전(수정됨)
3,jiho1126,빠지... 저도 3년전에 갔었는데ㅜㅜ 진짜 너무 재밌게 놀았아요 ㅋㅋㅋㅋ 저는 그때 시간 꽉꽉 채워 놀아서 ㅋㅋㅋㅋㅋ 샴푸로 머리부터 발 끝까지 대충 비누 놀이만 해주고 숙소 갔었어요 ㅋㅋㅋㅋ 풀빌라도 넘 좋아보여요... 저도 나중에 꼭 풀빌라에...!!!!,0.0,1년 전
4,userqr5cn8iy9s,1박2일인데 2박3일처럼 스케줄 정말 알차게 보내고 오셨네요~^^ 넘 즐거워보여요~!,0.0,1년 전
5,dana210,모노키니 너무 잘어울리시고 같이 놀러간 느낌으로 잘봤어요,0.0,1년 전
6,dailygahyun,저도 빠지 가본적 없는데 가고싶네요 풀빌라도 넘 예뿌네용 하트 튜브 짱예.. 미닝님 영상 재밌게 잘봤습니다,0.0,1년 전
7,sunshinemehi,"언니~ 수영복 어떻긴요 세상 너무 이쁘고 섹시하고 귀엽고 말모 언니 브이로그 항상 너무 재밌게 잘 보고있어용 오늘도 업뎃 기다렸다가 호다닥 보고갑니다

+. 그리고 장어집 오케이.. 제가 안산 갑니드악 ㅇㅁㅇ",0.0,1년 전(수정됨)
8,heymii1028,아니 보는 내 광대는 왜 안내려오냐구 넘 재밌었게따!! 영상도 재밋숴!!!!,0.0,1년 전
9,ARMYBTS0901,"얏호!! 오늘도 1등 출첵이엽!!
진짜 찐친 바이브 나오는데..ㅋㅋㅋㅋㅋㅋㅋ미닝언니위 숨김없는 모습 너무 좋아여!!! 진짜 너무 무리하지말라니까;;이래서는 안좋아할수가 없잖아여!!ㅎㅋㅋㅎㅎㅋ오늘도 파이팅이에여!!",0.0,1년 전
10,userwi7lv2lf4w,아하하핫 ㅎㅎㅎㅎㅋㅋㅋㅋ 정말 대단하십니다요 미닝님 우히힛 헤헷 하핫 열대아 조심 ㅠㅠㅠㅠㅠㅠㅠ,1.0,1년 전
11,yejinalim8620,그립다…. 그날의 기억이 스르륵..🫰,0.0,1년 전
12,sunyoungkwak6101,나 이 날로 돌아갈래~~~~~~~,0.0,1년 전
13,juneseolc3rz,와  가슴..,0.0,3개월 전
