,youtube_id,comment,like_num,comment_date
0,usermm4wm4cf8k,"정말 감사해요.율무 영상 보고  코 끝에 생긴 사마귀  제거했어요. 1월부터  3개월간 매일 밤 율무를  꿀에  섞어 바르고 잤더니 요즘 새살이 돋네요.

피부과서 3번이나  레이저  치료했지만  재발되더라구요
 지금도  볶은피율무차 매일 한잔 마시고 있어요.:)",78.0,6개월 전(수정됨)
1,userqr7ed1fw9n,식초를 이렇게 피부에 막 발라도 되는걸까요? ㅜ전 피부가 약해서 산성 때문에 어떻게 될지 조금 무섭기도 하네요 흑자랑 검버섯에는 차라리 그냥 레이저로 한번에 뺄 수 있는 리팟이 좋다고 들어서 알아보는 중이네요,3.0,11일 전
2,juhachoi1678,"이 방법 완죤 솔깃해요..^^
미소제인님 두 약간의 민감성 피부라니 
믿구 따라해봐야겠어요..",18.0,6개월 전
3,usertz3bc3nv6t,"미소제인님을 접하게 된게 요플레때부터 보기시작해서 
설마 ~~이게 되겠어? 라고 생각했었는데 
보면서 따라할때마다 변화되는것도 신기하고 주변에서도 피부좋아졌다는얘기많이듣고있어서 
자꾸 시청하게됩니다 ^^*
저희 딸이 여드름피부라서...^^:
여드름피부. 돌출되는부분 완화되는것도 소개해주시면
좋겠습니다 ^^*
앞으로도 미소제인님 피부관리 많이 따라해서  미소제인님피부가되는그날까지...가즈아~~^^*",12.0,6개월 전
4,lifestyle123organization4,"식초와 바세린과 율무가루와의 만남! 깔끔한 뒷마무리도 마음에 쏙 들어요.
유익한 정보 감사합니다.",15.0,6개월 전(수정됨)
5,TVim4mr,"미소제인님~ 
혹시 바세린 대신 알로에젤 사용해도 괜찮을까요? 더워진 날씨탓에 바세린으로 하려니 조금 걱정이되네요^^;;;",7.0,3개월 전
6,userwy2yf5kd7l,"미소제인님~  직접하셨을때 비포 애프터 보여주시면 좋겠어요~~ 화면으로 볼땐 워낙 피부가 깨끗하셔서 변화될게 있으실까 싶어서, 효과가 있는 걸 어떻게 체감하실까 하는 궁금증이 있답니다!",18.0,6개월 전
7,userhg9ck2jg8p,좋은 영상 감사합니다~~~ 혹시 제인님은 관리주기가 어떻게되나요? 2-3주면 다 떨어진다 하셨는데 그리고 재발은 몇달 후에 생기나요? ㅠㅠ 매주 하면 아무래도 식초이다보니 피부기 장기적으로 손상될까봐 주기를 두고 하고싶은데 참고하려두요^^,4.0,4개월 전
8,userns4dh3kx6t,생율무가루+수분크림 영상보고 일주일째 하고 있어요~ 혹시 식초 바세린과 섞은 이 방법이 더 효과가 좋을까요?,0.0,6개월 전
9,useruu6cr1gc5m,"안녕하세요^^  근래에 편평사마귀가  전신에 많이 퍼져서 마음이 무척 힘들고 그것들을 다 레이저로 할 생각에 너무 심란했는데 …. 좋은 정보 정말 감사합니다~ 
식초와 생율무가루는 어떤 걸 추천하시는지요? 구입처 공유해주시면 큰 도움 될 것 같습니다~^^",2.0,3개월 전
10,usermm3iv2sl3s,유익한 정보 감쏴합니다. 식초스킨썼었는데 팩도 해봐야겠어요. 어성초비누도 잘쓰고있고..점점 제인님 따라쟁이가되어가네요. 저도 엄청 민감성이라 가르쳐주신데로 하면 술한잔 걸친사람같아져요.ㅋㅋㅋ 근데 평평사마귀가 얼굴에만 있는게아니더라구요.머리밑에도 있어요. 제인님처럼 어성초비누로 머리감고 마지막헹구는 물에 식초로헹구고 머리가 긴편이라 두피제외하고 머리카락엔트리트먼트하고요. 며칠됐는데 첨엔 머리밑이 가렵더니 요즘엔 덜한것같고 만져보면 좀 없어진듯해요. 열심히 식초사용해보려한답니다. 항상 유용한 영상감사드리고 실수하시는것도 넘 귀여우셔서 자꾸 돌려보게됩니다.,2.0,2개월 전
