,youtube_id,comment,like_num,comment_date
0,useroc3kc4zh2v,미소 제인님 넘 이쁘시고 알찬 정보만 오려주셔서 늘 따라하고 있습니다 감사합니다,1.0,8개월 전
1,usercj5dt3ku1z,"헤어스타일이 넘 예뻐요~~^^ 
더 젊어지셨네요!
2023년도 건강하시구 행복하세요♡",1.0,8개월 전
2,lifestyle123organization4,"와ㅡ 오랜만이에요 
어쩜 얼굴이 그렇게 ....
진짜 불로초 드셨습니까???????
후드 티셔츠 가 정말 예뻐요.
대학생인줄
헤어도 예뻐요",3.0,8개월 전
3,dalma76,잘 듣고 응원합니다,2.0,8개월 전
4,userdb3qy9ho1x,"올해도 건강하세요
피부미인",2.0,8개월 전
5,usermp3jh1hy6z,미소제인님 여전히 예쁘세요 또 열심히 해보겠습니다,2.0,8개월 전
6,rebbjhc7292,진짜 너무 예쁘세요 말씀도 조곤조곤 최애 유투버세요 ^^ 혹시 홈뷰티디바이스 기기들 효과 있을까요? 김희선님 광고하는 부스터힐러 같은거요~ 살까말까 고민중인데 죄 광고뿐이라 고민됩니다~~,1.0,8개월 전
7,paulqueen1689,"Good morning MisoJane. 
You beautiful forever
Kisses.",3.0,8개월 전
8,userll5hn2xd4e,안녕하세요 고운피부 미모 여전하세요 제가 전에 아는 언니가 아닌지 문의드렸었는데 인스타 디엠으로 엠포레 로 어제 드렸는데 확인이 안떠서 혹시 읽어주시면 안되실지요^^,1.0,8개월 전
9,air5210,단전에영구법하면   약쑥뜸불의  강자극으로   신경이  강화되어   안늙음,1.0,8개월 전
