,youtube_id,comment,like_num,comment_date
0,susuburi,양산 사람이이렇게많은데도 질서정연하니!대박입니다,0.0,11개월 전
1,userrx4yp1zr1l,코로나때문에 그동안 못모였는데 인파가 대단하네요,1.0,11개월 전
2,usercc3wc2ph4n,너무 너무 부럽네요,1.0,11개월 전
3,usertd5lc9yn9l,분위기가 너무 좋네요,1.0,11개월 전
4,userqj9fm6kx8p,정말 인기있는 축제인가봐요,1.0,11개월 전
5,sooyoungkim9058,정말 축제가 인기많네요,1.0,11개월 전
6,geseongchoi7606,축제에 걸맞게 사람 진짜 많네요,1.0,11개월 전
7,userqd8yf9jo2u,와 사람들이 진짜 많이 모였네요,1.0,11개월 전
8,userik8mb9xo4z,와 사람이 정말  많아요. 이런거 정말 오랜만이네요,1.0,11개월 전
9,userof6sg8qb2q,와후 사람이 진짜 많네요,1.0,11개월 전
10,userdy7sb2gp2n,내가 사는 지역 축제 네요 유명한 가수들도 많이 왔어요,1.0,11개월 전
11,uservn4lf8ue7n,사람이 정말 많이 있네여 무슨 축제 인가여?,1.0,11개월 전
