,youtube_id,comment,like_num,comment_date
0,YouTubeshopping5656,"공구마지막날입니다 ! 절대 놓치지마세요 
[칼슘 앰플,크림 & 미백앰플클렌저 가격]

칼슘 앰플 1병 30ml
칼슘 크림 1병 50ml
미백 앰플 클렌저 1병 100ml

1.앰플 30ml + 크림50ml
128,000원 - 53,000원 (59%)

2.앰플 2개 + 크림
197,000원 - 65,000원 (59%)

3.미백앰플클렌저 100ml X 3개
128,700원 - 53,000원 (59%)

4.앰플 2개 + 크림 + 앰플클렌저
223,000원 - 71,000원 (68%)

5.(앰플 2개 + 크림2개
394,000원 - 125,000원 (68%)

6.앰플 4개 + 크림 2개+ 앰플클렌저 2개
446,000원 - 137,000원 (69%)
강력추천합니다.돈버는방법은 6번을 2세트챙기는겁니다.️️

구매링크입니다 
https://bit.ly/3YaGzr0

링크구매안되시면 
010 9478 5656 문자남겨주세요",2.0,1개월 전
1,lovecy8nr,빨리빨리 서둘러서 고고 실사용감 진짜 너무 좋아요 ~ 용량도 넉넉하고 발림성도 너무 좋아요 ~^^,1.0,1개월 전
2,leechanghee78,"칼슘 보충 최강자~! 발림성도 너무 좋고 
하루가 다르게 변해가는 피부에 만족하고 있어요
공구 마지막 날이라고 알람 떠서 후다닥 달려왔습니다 
당분간 쓸 거 쟁여놔야죠~",1.0,1개월 전
3,greenpia1027,하루종일 컴퓨터 앞에 앉아서 일하고 하루종일 스마트폰 보는게 일이다 보니 눈 피로는 물론이고 맨날 주름에 써클에 고민 많았는데 이거 덕분에 완전 새것처럼 화사한 눈가를 가지게 되었어요ㅎㅎㅎ 꼭 사세요 여러분!!,1.0,1개월 전
4,kay2354,앰플과 크림의 합작품!! 세안 만으로도 피부가 좋아진다니 최곱니다!!,1.0,1개월 전
5,userxy3er1mb5u,언니랑 엄마한테도 구매해드렸는데 칼슘 때문인지 아주 만족들 하시네요^^,1.0,1개월 전
6,usersn6dq9gf1e,"피부는 확실히 투자를 해야 조금이나마 좋아지는것 같아요.
내버려두면 바로 망가지는것 같아요.
항상 좋은 제품 소개해주셔서 감사합니다.",1.0,1개월 전
7,userjo1cq1tq4n,실제로 보니 용량도 꽤커서 대만족!!,1.0,1개월 전
8,userei9ir2op4u,"용량이 정말 많아서 좋은 것 같아요ㅎㅎㅎ
가성비가 정말 좋네요 ㅎㅎ",1.0,1개월 전
9,useres2uh5dl8t,바로 한번 구매해서 사용해 봐야 겠어요,1.0,1개월 전
10,userme4iy4fn1u,눈밑꺼짐은~~칼슘이답이죠~~무조건입니당~~ㅎㅎ,1.0,1개월 전
11,usermr4et7hc9s,아... 사야 하나.. 공부 때문에 요즘 잠을 통 못 자서 점점 생기고 있는 것 같은데.. 진짜 사야 하나..? ㅠㅠ,1.0,1개월 전
12,tvrj9ll,떡장숩니다. 대표님^^ 오랜만에 뵙습니다. 여전히 아름답습니다,1.0,1개월 전
