,youtube_id,comment,like_num,comment_date
0,mingmonde,"𝐼𝑛𝑠𝑡𝑎𝑔𝑟𝑎𝑚 / @𝑚𝑖𝑛𝑧_𝑧𝑥 
𝐶𝑜𝑛𝑡𝑎𝑐𝑡 / 𝑙𝑜𝑣𝑒𝑙𝑦_𝑚𝑒𝑎𝑛@𝑛𝑎𝑣𝑒𝑟.𝑐𝑜𝑚

여러분 안녕하세요  
눈 깜빡할새에 새해가 밝고 2월이네유..
저는 11월에 생일이었는데 그때 찍어둔 영상을
이제서야 편집해서 올리네요 🥹껄껄..
저는 보통 갖고싶은 생일선물을 카카오톡 위시리스트에 담아두는데
이번에는 실용성 있고 가볍게 선물하기 좋은 제품들로
친구들에게 정말 좋은 선물들을 많이 받았어요  
여러분들께 공유해드리면 넘 좋을 것 같아서 갖고왔구용 !
영상 속 제품 정보는 대부분 카카오톡 선물하기 제품이고 케이스티파이는 공식 홈페이지에서 구매했답니다 !  
현재 카카오톡 선물하기에 없는 패키지도 있어서 잘찾아보시는게 좋을거 같아융 ㅠㅠ 
매번 다른 패키지라 그때 그때 더 좋은 패키지가 있을거에요  

-쉬즈홈 보들보들 베이직 사계절 이불베개 침구세트 (Q) 7종택1-멜론 / 47900원
-지오마 피치코코 바디스크럽 600g / 22800원
-짜먹는 고양이츄르 1+1+1+1 (총 16p) / (지금은 카카오톡 선물하기에 같은 패키지가 없네요 )
-인메이블 pureness, 여름 풍경 바다 감성 인테리어 포스터 액자 6호 36종-17.YG-pureness orange B / 32900원
케이스티파이 Majestic Black and White Starry Nebula 색상: 클리어 블랙 / 8만원대
-센트룸 [기프트박스] 멀티비타민 미네랄 구미(80구미) / 24000원
-샤넬 코코마드모아젤 헤어미스트 35ml / 79000원
-쓸데없는 선물 바보안경 인싸템 / 9900원
-조말론런던[NEW센트/선물포장] 바디 앤 핸드 워시 100ML-피오니 앤 블러쉬 스웨이드 100ML / 38000원
-[그랑핸드/각인서비스] 디퓨저 세트 150ml (4종 중 택 1)-SUSIE SALMON / 60000원
-헤라 [포장/손거울증정] 헤라 센슈얼 스파이시 누드밤, 글로스(택1)-누드밤 322호 칠리누드 / 3만원대(지금은 카카오톡 선물하기에 같은 패키지가 없네요 )
-그랑핸드[패브릭포스터 포장/달력 증정] 핸드 케어 세트 (핸드워시 & 핸드크림 /3종 택1)-마린오키드 /5만원대 (지금은 카카오톡 선물하기에 같은 패키지가 없네요 )
-제니퍼룸 핸디형 스팀다리미_JR-SI5540WH (톡별) / 39900원

선물과 별개로 제 생일 축하해주셔서 너무 감사했고,
23년에는 더 많이 베풀고 사랑받는 사람이 될게요 ! ",4.0,7개월 전
1,userkq5ef6vh5o,지나도 한참 지난 댓글 달기  선물 왕창 주고 싶은 리액션이네요  해피 ,0.0,3주 전
2,HNeul,오랜만이네요! 제 지인들한테도 선물하면 좋을만한 물건들이네요 ‘u’,1.0,7개월 전
3,userru6mz5gg9f,몽드씨 생일축하해요  내년 생일도 함께해요 ,0.0,7개월 전
4,pri71,️,1.0,7개월 전
5,usergq8sq1nr5q,,1.0,7개월 전
6,userut2zb4vu3u,선생님 2월인데용..?!! 저두 지오마쓰는데 담에 복숭아로 사봐야겠어요~~ 액자가 이불이랑 잘 어울려요,0.0,7개월 전
7,userde8mm2dj3q,샤넬가서 ‘밍몽드 냄새 주세요’ 하면 될까요??,2.0,7개월 전(수정됨)
8,userqe7zz7jf4r,우아 몽드님 혹시 그때 실로 코 시술받은게 아직 유지되고있는건가요? 지금 코도 너무 뚜렸하구 이쁘셔셔 여쭤봐요ㅠㅠㅠㅠ,1.0,7개월 전
9,usergl6pd6kt1w,영상에 항상 제 뒷담이 있네요ㅎㅎㅎ,0.0,6개월 전
