,youtube_id,comment,like_num,comment_date
0,doha7015,"안녕하세요. 도하입니다. 
조하님들 벌써 2022년도 끝나가는데요.  거리 두기가 있었던 작년과 다르게 이번엔 모임이 많을 것 같은데요. 
특히 갑자기 생긴 모임에 어떤 옷을 입고 갈지 고민이 많아지는 것 같더라고요. 
그럴 땐 가성비가 좋은 가격대의 옷이 좋은 것 같아요. 
그럴 때 좋은 방법이 바로 쿠팡 패션에서 구입하는 방법이랍니다. 바로배송도 된답니다
제가 심혈을 기울여 몇 가지 제품을 골라서 연말룩을 보여 드리려고 합니다!

감사하게도 여러분들의 사랑으로 쿠팡과 겨울 광고도 진행하게 되었어요! 
즐겁게 시청해주세요

—-—-—-—-—-—-—-—-—-—-—-—-   

•
•

00:00 인트로
00:20 도입부

01:58 Day#1.
⌲잘빠진 여성용 헤이즐 핀턱 하이웨스트 투버튼 롱 슬랙스_브라운
https://coupa.ng/cdgFyz
⌲유니제이 여성용 콜리 터틀넥 골지 나그랑 니트 티셔츠, 베이지, FREE
https://coupa.ng/cdgFEI
⌲포플러앤씨 퓨레지 모직 롱 코트, 그레이, S
https://coupa.ng/cdgFBY
⌲단골언니 여성용 스팅 웨이브 통굽 첼시 앵클 부츠 (240, 미들블랙)
https://coupa.ng/cc3IsG
⌲바잘 모노그램 라벨 비니, 머스타드, FREE
https://coupa.ng/cdgFGX

04:15 Day#2.
⌲잘빠진 여성용 헤이즐 핀턱 하이웨스트 투버튼 롱 슬랙스, 그레이, S
https://coupa.ng/cdgFHZ
⌲ELLE PARIS 세미크롭 소프트 터치 라운드넥 데일리 니트, 라이트그레이, FREE
https://coupa.ng/cdgFIC
⌲ELLE GIRL 여성 덕다운 숏 푸퍼 자켓, S, BLACK
https://coupa.ng/cdgFCr
⌲ 단골언니 여성용 스팅 웨이브 통굽 첼시 앵클 부츠 (240, 미들블랙)
https://coupa.ng/cc3IsG

05:35 Day#3.
⌲ 유니제이 여성용 콜리 터틀넥 골지 나그랑 니트 티셔츠, 베이지, FREE
https://coupa.ng/cdgFEI
⌲ ELLE PARIS 여성 H라인 코튼 스트레치 코듀로이 미디 스커트, S, CREAM
https://coupa.ng/cdgFDC
⌲ 에이스 라운드 유광 데일리 부츠, 브라운, 240
https://coupa.ng/cdgFAQ
⌲ ELLE PARIS 여성 벨트 빅 카라 롱 코트, S, CREAM
https://coupa.ng/cdgFGm

07:12 Day#4.
⌲ELLE PARIS 세미크롭 소프트 터치 라운드넥 데일리 니트,블랙
https://coupa.ng/cdgFze
⌲잘빠진 여성용 헤이즐 핀턱 하이웨스트 투버튼 롱 슬랙스_블랙
https://coupa.ng/cdgFyg
⌲페이퍼먼츠 여성용 램스울 양털 노카라 라운드 겨울 점퍼 00916, 베이지, S
https://coupa.ng/cdgFCR

08:13 Day#5.
⌲플랜데이 여성용 폭닥 투웨이 나그랑 카라 니트 집업, FREE, 네이비
https://coupa.ng/cdgFBI
⌲잘빠진 여성용 헤이즐 핀턱 하이웨스트 투버튼 롱 슬랙스_블랙
https://coupa.ng/cdgFyg
⌲엔비룩 여성용 제이디 웰론 패딩, FREE(44~66), 카키
https://coupa.ng/cdgFDd
⌲바잘 모노그램 라벨 비니, 머스타드, FREE
https://coupa.ng/cdgFGX

영상이 도움이 되셨다면, 
'좋아요'와 '구독' 그리고 '소중한 댓글' 
부탁드립니다. 감사합니다️",10.0,9개월 전
1,userng9hj8gh9l,"비싸지 않은 옷을 입었는데도
명품 부럽지 않게 찰떡같이 소화해내는 도하님이셔요
지난번에 쿠팡 소개룩 금방 품절되던데요?
이번 영상도 정말 유익하게 잘 보고가요^^",7.0,9개월 전
2,userhn3dj9sx5d,옷들이 너무 잘 어울려요. 쿠팡에 이런 옷들이 있었다니 한번 둘러봐야겠어요. 유익한 정보 감사해요.,6.0,9개월 전
3,stella9838,"다양하게 고급스럽게 코디
잘하셨어요.
캐주얼한 코디 좋아요
부츠에 바지를 넣어입으시니
멋있어요~",6.0,9개월 전
4,seonjinpark694,연말 모임에 입고갈 스타일 고민됬었는데 지금 저한테 딱 필요한 영상이네요! ㅎㅎ 캐주얼한 연말룩 마음에 들어요,5.0,9개월 전
5,userqw3mb2gn2y,정말 올해는 모임이 많아졌는데 도하님 영상이 많이 도움되겠어요,4.0,9개월 전
6,miniminiming,쿠팡에 이렇게 예쁜 옷들이 많았다니 .... 🫢,2.0,9개월 전
7,userhm3iy1mv6o,맞아요! 요즘은 캐주얼한 모임이 많아진것 같아요! 숏패딩 완죤 귀여워요 기웃기웃 대봅니다 ㅋㅋ,2.0,9개월 전
8,jieunlim6697,오프닝 때 남색 가디건에 착용하고 계신 목걸이 정보 궁금해요! ,4.0,9개월 전
9,jeyou367,"역시 도하님은  뭘입어도 고극스러워 보이네요 뽀글이점퍼 넘 귀여운데
털빠짐이나 디테일은 괜찮나요",0.0,7개월 전
10,seungmipark9370,"옷 코디하는데 많은 도움을 받고 있습니다.^^
문의 드려요!~ 4번 착장에 코디한 가방 공유 가능 하실까요?ㅎㅎㅎ",1.0,9개월 전
11,doaha1932,"도하님 키가? 평소 사이즈는요?  쿠팡 터틀넥 샀는데, 난 팔이 짧던데.. ㅋㅋ",0.0,9개월 전
12,userbn6cw5gd9n,옷맵씨학습이필요한듯요,3.0,9개월 전
