,youtube_id,comment,like_num,comment_date
0,bakdollphin,"지방흡입 엉덩이 이식 관련 질문 여기 링크로 주시면 답변 드릴게요:))
 https://open.kakao.com/o/sKbxaAme",12.0,10개월 전
1,uservg2no3yn2r,"진짜 유용한 후기에요
돌핀님 1년때도 영상 꼭 올려주세용️",7.0,10개월 전
2,userqk2gf5xg9c,와 ...진짜 자세한 후기 너무 도움 됩니다 ㅠㅠ,1.0,6개월 전
3,userft2vu3tq4j,너무 스트레스 받아서 지흡 결정했는데 후기 영상 보고 더 하고 싶은 마음 커졌고 걱정되는 마음 위로 받은 느낌이에요,1.0,5개월 전
4,jinkyoungjeong4250,이야 7개월 후기까지... 넘 혜자 아닌가여? ,11.0,10개월 전
5,Mimirg4zw,좋은 정보 감사해용 ,2.0,9개월 전
6,userlb4ks1ki3o,언니!! 다른분이 답변해도 되지만 지흡 할 때 후관리비용까지 포함해서 결제하나요?? 아님 후관리에서 또 돈이 나가나용,2.0,8개월 전
7,usercf2ds6vx5f,혹시 잘때 눌리면 생착률이 떨어진다 들었는데 잘때나 앉을때 어떻게 하신건지 눌려도 생착이 잘되는건지 꿀팁이있는지도 궁금하고 양쪽 얼마나 넣으신건지 줄기세포이식하신지도 궁금해요^^,7.0,10개월 전
8,Ellaup5ym,"피부에 따라서 흉은 케바케 일수도 있겠지만 복강경 수술을 배꼽이랑 골반 부근 하나 이렇게 2방 정도 꿰매는 수술이었는데 이게 색소침착이 좀 오래가다보니까 1년정도 지나니까 거의 흉이 없어지더라고요~
바본도 케바케라고 들은것 같아요~~
짧은 경우는 2~3달 정도라고 하지만 거의 완벽해 지는건 6개월 최장 1년까지 보더라고요~~
이쁘게 잘 되신것 같은데 궁금하신 분들 도움주려고 영상 만들어주신 마음이 너무 예쁘시네요^^",1.0,5개월 전
9,uservt3ss2il8i,언니! 지방이식 하고 시간 지나면 미미하게 꺼지면서 티가 별로 안난다던데 언니도 그러신가요??,2.0,2개월 전
10,Emilyvh6ek,돌핀님 이 영상 두번째 보는데 립색상이 너무 이뻐요..! 뭐 바르셨는지 궁금해요,1.0,7개월 전
11,Skyid8sj,1년지나면 허벅지 도 울퉁불퉁 해지고 세룰생김 ㅜㅜ 흉은 레이저 하면 많이 없어져요 4 개에 250-300 정도 들었어요.   3회,3.0,4개월 전(수정됨)
12,userbh7fm4dd5e,흉은 4~5년 지나면 많이 옅어져요 없어지진 않네요 저도,1.0,4개월 전
13,userqw5kj8ud3q,병원이랑 가격 공유 부탁드려요~~,3.0,7개월 전
14,useryc5yt5bp2l,언니 골반도 마니 커지구 막 골반에 이질감같은건 안들억나용??,3.0,10개월 전
15,userer2ru5rm1b,복부 지방흡입할까하는데 병원 가격알고싶어요~~!!,0.0,5개월 전
16,heejungs,배울퉁불퉁한거 공감이요.. 저는후관리도다받앗는데도 배왼쪽오른쪽 단차가 달라요..볼때마다짜증나는데ㅜㅜ 남은뭐..그렇게자세히볼일도업고.. 관심도업고잘모르겟지만 나는알죠ㅠ,35.0,10개월 전
17,userzg9bw7lc4o,골반 제방이식 아직도 지방 앙빠지고 잘 유지되너용 ??,3.0,5개월 전
18,userwo4gp1ce5y,몸매 넘 이쁘세요ㅠㅠ 병원정보 좀 쥬세여,0.0,2개월 전
19,userpg5pj6zu3m,지금도 흉터가 있나용?,0.0,3개월 전
20,usermb6wv2sl1t,립 제품 알 수 있을까용 ㅜㅜ 너무이뻐용,1.0,7개월 전
21,userky3mm8eq5c,혹시 엉덩이 각각 몇씨씨 넣었는지 알 수 있을까요??,0.0,3개월 전
22,userqb1ws9hd9d,운동으로 충분해요 이뻐요,5.0,10개월 전
23,ham1971,언니 키가 궁금해요!!!,1.0,10개월 전
24,leemf3lt,병원 알려줄수 있어요?,1.0,6개월 전
25,jereintchimber97,아이라인 스타일이 회사원A님 닮으셨네요 ㅎㅎ,0.0,5개월 전
26,otgonbayaroyunjargal7666,병원 소개 되나요?,1.0,2개월 전
27,userhw8nv2xh6k,귀여워요 ㅋㅋㅋ,2.0,8개월 전
28,son7092,박돌핀Bakdllphin님 아주예쁘시는군요.,2.0,10개월 전
29,userpt2ve8fu4d,악ㄲㄱㅋㅋ말하는게 웃겨여ㅋㅋ,1.0,7개월 전
30,usercg5yi2xv8l,인증샷보여주세요,1.0,9개월 전
31,userqk2gf5xg9c,옷테 진짜 ...,1.0,6개월 전
