,youtube_id,comment,like_num,comment_date
0,Gakgungtv,크으 정말로 맛나겠네요 ㅎㅎ 간장게장 원없이 먹으면 소원이 없겠네요,6.0,3개월 전
1,userjr4nt3gf4i,"진짜 맛잇겟다
전 간장보다 양념인데
진짜 게장들이 다 맛잇어 보여서
침이 꼴깍하네요
거기다가 무한리필이라니 최고네요",5.0,3개월 전(수정됨)
2,ryu1017,"와~~간장게장이다
맛있겠어요 
간장게장 파는곳은 많은데
맛있는 집 찾기가 힘들죠
맛있는  영상 잘 보고 갑니다",1.0,2개월 전
3,uservt6gr3mo8y,"가끔씩 가게 방문말고 집에서도 먹방해주시던데..몇 편 되진 않았지만..게장이나 새우장 asmr처럼 해주시면 좋겠어요~짜글이,비빔면 잘봤거든요~~",2.0,3개월 전
4,useroo2me3hy5n,다다음주 장모님생신으로 그 근처에가는데 한번 가봐야겠네요. 가격도 맛도 공간도 괜찮다면 모시고 가봐야겠네요. 고맙습니다.,3.0,3개월 전
5,minjeongko5223,"어릴적 늘 떨어지지 않게 간장게장을 만들어 주셔서
정말 원없이 먹었어요 알이 가득한 암캐
게딱지에 크게 밥한술 넣어서 ..비벼도 먹고요
그맛이 지금도 기억납니다 
엄마는 제가 커서 그때만큼 못먹을걸  아셨는지  ~
오늘 소개해주신 명현만 사장님의 게장역시
손색없이 맛나고 푸짐해 보이네요
아쉬운건 명사장님이 서울님의 진 면목을 
미쳐 모르셨다는거 아마 방송후 알게되겠죠^^
얼마나 고품격 먹방을 지향하는 차별된 분이라는걸^^
오늘도 땡큐가 베리망치입니다",3.0,3개월 전
6,userqf3os6ek4i,알레르기 때문에 꽃게 못먹지만 넘맛있게 드셔서 넘 먹고싶어요,7.0,3개월 전
7,swseungsws7853,가게가 깔끔하고 간장게장 너무 맛있게 보이네요 오늘도 영상 잘보고갑니다 굿밤 되세요 ~,3.0,3개월 전
8,h2summus386,저는 1년전에 검단점에 가서 뿌시고 왔습니다~ 나중에 합정도 방문해보고 느껴봐야겠네요......헌데 게딱지는...젓가락으로 구석구석 긁어내고 먹어야 찐이라고 생각합니다 ㅎㅎ,1.0,3개월 전(수정됨)
9,usertd9gh3tc7i,"간장게장은
영원한 밥도둑!
실컷 먹도록 무한리필이 되다니
넘나 놀랍네요.
역쉬 잘 드셔주니  땡큐 대리만족요.ㅋ",1.0,3개월 전
10,uservi9li6lx5w,우리도 어제 엄마가 간장게장 사오셨는데 좀 뜰고 비린내가 나서 저만 먹어요 ㅠ 우리 식구는 싫어하더라구요 근데 내가 좋아하다고 사오셨어요 ㅎㅎ 엄마의 사랑 느꼈던 날이였어요 거기 간장게장 맛나보여요 무한리필 이라니...대박이네요,1.0,3개월 전
11,userbb3kl9qh4u,"우와 맛있겠네요 
담에 서울가면 꼭가볼게요",2.0,3개월 전
12,usermb1br9kr3q,"간장게장?왕 쨩~~~격투기? 울아들 복싱선수~~간장게장 넘 좋아해요.1인식사~~하기 힘들어 하신분들 많은데 딱입니다, 서울에  있는딸이 게장일 짱 좋아하는데
서울감 꼭 한번 가고 싶어요~~~~뒤집기 사치?ㅋㅋㅋ 쨩~~ 환타~~캬~~떡볶이~~만나요~~~ 게장 진짜 먹고 싶어요~~살이 가득~~짜지도 않고 맛있답니다~~우메 먹으러 가야긋당~마지막에 게딱지에 밥가지 비벼서 냠냠~~",1.0,2개월 전
13,userzg6yu8qh2s,"올가을.겨울엔
꼭...가야쥐!!!",2.0,1개월 전
14,jsy2379,이분 진짜 떡상했으면,1.0,2개월 전
15,usermv7cy5jz9e,역시 우리의 감동원,3.0,3개월 전
16,userqf8ct2to2z,남은 국물에  밥몰아묵은건 어떨쓸까요  ?,1.0,2개월 전
17,usergh1it4un1t,맛있게드세유 ㅎ,2.0,3개월 전
18,userjd5jk2wf8i,"간만에 1빠닷ㅋㅋㅋ
 선조아여  감상ㄱㄱ~~",2.0,3개월 전
19,userqp5cj9fo1r,맛없다고하면 원투 맞는다던데 사실인가요?,1.0,3개월 전
20,abcdefug4kr,소주가 아니고 환타? ㅡㅡ,1.0,2개월 전
21,userxf5kp3wb3o,1동,2.0,3개월 전
