,youtube_id,comment,like_num,comment_date
0,userqb7rh3sp5f,"구디에 그런 가성비맛집이 있었군요.
물가가 무섭게 치솟는 요즘
정말 반갑네요!",5.0,7개월 전
1,ILoveYousn7tx,"기사님 분식집이라 김밥도 큼직하고 
푸짐하게 담아 주시네요 ^^
저는 건강이 걱정 될만큼 많이 드시는
먹방도 재미로 보지만 ㅎ 서울님은
제가 먹는 양 보다 많이 드시긴해도
과하지 않게 맛있게 드시는거 참 좋아요
처음 서울님 영상 봤을때도 인상도 
참 선하시고 맛있게 잘 드셔서 바로 
구독 눌렀거든요~ 서울님 맛있는 음식
드시고 항상 건강하세요 ",3.0,7개월 전
2,userbf2ph8yp1j,역시 시장이 반찬이라고.. 노동 후 공복에 식사.. 역대급으로 맛있게 드시네요~ 군침이 좔좔좔...,2.0,7개월 전
3,Miaji7qe,"차분하고 맛있게 잘 드시는 서울님~~
24시간 공복이라니.. ㅠㅠ
제떄 잘 챙겨드셔요~~ 화이팅입니다!",2.0,7개월 전(수정됨)
4,userjr4nt3gf4i,"와우
고된노동ㅜㅜ
힘내세요^^
서울님 늘 응원하는 구독자니까
꼭 힘내시고 화이팅하세요^^",3.0,7개월 전
5,useroo2me3hy5n,"가족들 웃는모습 편안해하는 모습을 그리며 모두모두 힘내죠.
보람찬하루에 소박하고 정겨운 분식 그어떤 고급요리에 절대뒤쳐지 않죠.
영상보며 음식의 따뜻함과 나눔 전달 잘 받았습니다, 고맙습니다.",4.0,7개월 전
6,manlilovevenus,"손님이 없어서 조용하니 집중해서 보게됬어요~
침이고여 혼났네요 ㅋㅋ
맛있게 드시는영상 잘 보았습니당 ♡^___^♡",3.0,7개월 전
7,msg8534,고된 노동후에 먹는 첫끼는..ㅠ.ㅠ 눈물나도록 뭐라 표현할수 없을만큼 행복이죠~바로 어제 제가 그랬습니다~^^,7.0,7개월 전
8,ejryu3095,"서울님~ 오늘 정말 맛나게 드시네요^^
늘 응원합니다",4.0,7개월 전
9,uservc2ky8cy7i,아까 만나서 이름을몰라 물어보았는대  ㅎㅎㅎ 이렇게보니 딱 감이오네요 만나서 반가웠어요 맛집 방송 잘하시고 매너 좋으시던대 암튼 대박 나시길 건강하시고요 ^^-아까 거기서 본 아저씨 3인방,2.0,7개월 전
10,usercc4ze7tr2n,여기 좋아요. 기사님도 많이 오시는 가게.  우동은 기대가 컸는지 좀 아쉬였는데. 짜장은 맛있었어요,1.0,6개월 전
11,lojkos8252,노동후 먹는 밥은 삶이고 술은 취미이지만 소중한 사람들과 먹는 밥과 술은 예술이며 기쁨이죠,2.0,7개월 전
12,TVnh1vk,"노동후에 먹는건 다 맛있음~^^
항상 응원합니다",1.0,7개월 전
13,gggsssjjj1173,짜장면에  주먹밥 믹스해서  드셔도 맛날거같아요  잘보고갑니다.,0.0,5개월 전
14,ChesungPark,"이 영상에서 드신것 외에 더 드실 수 도 있나요?
선한 얼굴에 선한 말투에 오늘 새로 구독해서 여쭙습니다. ㅎㅎ",1.0,6개월 전
15,userze4ie8rs3k,가성비 최고 합니다 좋은 정보 고마워요 꿀 잠자세요,2.0,7개월 전
16,useriq8yg2qi9g,"끼니 거르지마시고
식사하시면서 하세염 
건강이 최고랍니다",4.0,7개월 전
17,usertd9gh3tc7i,"24시간 공복? ㅠㅠ
기사님식당은 맛보장이죠.",1.0,7개월 전
18,crazyyoucrazy,"아니 음식도 음식인데
구디별밤 그런곳이였어요????헐..ㅋㅋ
저희 회사 근처에있는데 진짜 정안가긴했는데
클럽은 역시 ..믿거",1.0,4개월 전
19,tvddongmotv1787,와.. 수고 하셨어요 오늘도 선 리플 후 감상 들어갑니다 ^^,3.0,7개월 전
