,youtube_id,comment,like_num,comment_date
0,exquisitesomething6915,와 릴바레 틴트 바르는 순간 얼굴에 형광등 켜지는데요..? 블러셔도 미쳤ㅋㅋㅋㅋ 진짜 너무 잘어울리세요ㅠㅠㅠㅠ 하이라이터도 진짜 영상보니 뽐뿌오네... 새하얀 니트까지 찰떡ㅠㅠㅠㅠㅠ,3.0,7개월 전
1,userbd7hk7qw2z,"쨍한핑크 릴바레 틴트 바르는순간 쿨 공주 그자체,,언니는 진짜 확신의 쿨톤이네요,,토끼같은 하얀 상의정보도 궁금해용 ",1.0,7개월 전
2,usertg1xr3px1n,클리오 신상 쿠션 이번에 너무 잘 만든 것 같아요 뷰티유튜버분들 쓰는거 보면서 구매욕구 뿜뿜..🫶,1.0,7개월 전
3,uservg3cz7pj6x,란제리 색상 이렇게 찰떡처럼 잘맞는분 첨봐요! 릴바레 신상립 넘 궁금했는데 잘볼게요~,1.0,7개월 전
4,usercg5yi3yc3v,헉 중단발 너무 예쁘잖아요….. 언니가 너무 예뻐서 단발병 지대루….🥹 완전 토끼상 그 잡채에요…,0.0,7개월 전
5,Dearesty,베령님 라카 블러셔 신상두 대박적이에요 저 원래도 피오니랑 허쉬 출시됐을 때 바로 사서 잘 썼는데 이번에 진짜 ㅠㅠㅠㅠ 포엠 판타지 스윗 미쳤ㅅ읍니다... 저는 러버까지 같이 사버렸서요,0.0,7개월 전
6,Dearesty,"릴바레 저런 쿨핑들 베령님한텐 살짝 부족하지 않을까 싶었는데 (베령님 겨쿨이시니까!) 세상에 너무 예쁜 것이어요,,,,",0.0,7개월 전
7,userbg9vt6bb5w,베령님을 토끼로 임명합니다  항상 잘 보고 있어요,0.0,7개월 전
8,firstmeeting0526,"솔찍히 썸넬 보고 어찌 안들어와? 쿨톤들 다 모여!!!!!!!!!! 진짜 우런니 최고야!!!!!!! 다 비켜!!!!!!!!!!!!!!!대왕토끼 나가신다!!!!!!!!!!!!!!!!!!!!!!

2:00 언니 너무 귀요워ㅠㅠㅠ 우리 텀블러 애용하면서 하나씩 녹색미래실천(?) 해봐요!! 아자아자!!

7:33 여쿨라인데 언니 메콥 참고하면서 색을 엄청 덜어서 사용해요:) 역시 사바사ㅠㅠ

",0.0,7개월 전(수정됨)
9,userwb4tj9kv5i,꺄아 눈꽃송이.. my 아이디어️️️️,1.0,7개월 전
10,userxk4kc9xd5v,베령님 새해에는 행복한한해되세요,1.0,7개월 전
11,userpi3ku3ej7y,언니 옷...뭔가요...너무 새하얘서 존예에요,0.0,7개월 전
12,amwayfreedom,베령님 인사하고 나서 하는 똑딱 소리 왜 이제 안하세요 ㅜ ㅜ 그거 너무 좋은뎅,1.0,7개월 전
13,myronmullins3903,Keep it up dude! You could get more fans with S M Zeus!,0.0,5개월 전
14,usercg3xq9kv7j,클리오 한남동 아뜰리에로 메이크업 영상찍어주세용,1.0,7개월 전
15,userse7iy1pi2d,릴바레 콜드베리 완전 베령님 립인데요??,0.0,7개월 전
16,yeeun0485,"너무 하얗고 이쁘신거 아니냐며…

SON“ 님이랑 “박기범” 님이랑, “백승운”님 봇 계정 사용자 차단하세요️",3.0,7개월 전(수정됨)
17,JEYU,어? 예쁘다,0.0,7개월 전
18,userbw9un1pv3z,저두 요즘 살쪄서 슬픕니당..,0.0,7개월 전
19,syjuknow,요즘 넘예,2.0,7개월 전
20,eundong2e,뭐가살쪄!!!(아이유 ver) 달덩이 아니구 토끼로 해요하얀 핑크 메이크업 너무 이뻐요..,1.0,7개월 전
