,youtube_id,comment,like_num,comment_date
0,ddaddunim,"이거잖아... 이게 내가 사랑하는 진아박 감성 듬뿍 븨로그잖아... 저는 가끔 나를 새로운 환경에 던져보는게 생각보다 시야를 많이 넓혀주고 삶에도 아주 큰 자극이 되더라고요 그게 여행이든 뭐든! 그리고 자극과 더불어 다시 한 번 일어나게 해주는 힘이 되기도 했구요 ㅎㅎ 언니에게 여행이 그랬으면 좋겠어요 지치고 힘들 때 힐링을 가져다주면서도 다시 한 번 기운을 불어넣어주는 그런... 하나의 방법이자 힐링 수단? 여행이라는 방법이 언제든지 현실에서 잠시 벗어나 여유로움을 만끽할 수 있게 언니를 지켜줬으면 좋겠어요  그리고 그 전에 언니 주변에 언니에게 긍정적인 기운과 응원, 행복을 주고 그 모든 행복의 여정을 함께 즐길 수 있는 사람들도 가득하길 ",56.0,2개월 전
1,userhc1yt8mq4r,하 이런 잔잔한 진아언니일상도 너무 좋아요.. 저도 최근에 여행 다녀왔는데 보는 시야도 넓어지고 마음도 평화로워지고 그렇더라구요. 남자친구분이랑 오래오래 행복하게 지내셔야합니다ㅠㅠ 사랑해요 진아언니,23.0,2개월 전
2,spamm246,언니 먼저 미안해..취준땜에 바빠서 못왔었어 언니 나도 시험 끝나고 준비하면서 왔던 모든 번아웃들이 몰려와서 강릉 다녀왔었는데 그 시원한 바닷바람 맞으면서 너무 시원해서 약간 회복하고 돌아와써 이 언니의 갬성 브이로그가 한 번 더 날 행복하게해주는거 같아서 오늘도 모옵시 고마워 항상 박사장님의 브이로그는 볼때마다 얻어가는게 많은거 같아 고마워:) 항상 이렇게 좋은 영상만들어줘서 고맙고 앞으로 다시 자주 오도록 할게,1.0,2개월 전(수정됨)
3,mochi02,언니 인생에 힘든 날보다 행복한 날들이 더 많았으면 좋겠어요 힘들어도 진저리........와 함께 이겨내자구요,8.0,2개월 전
4,mscloudkim,언니가 강릉에서 잘 쉬고 갔다니 너무 기뻐요 언니가 눈에 예쁘게 담아간 강릉에도 늘 언니를 응원하는 구독자들이 많다는 걸 잊지 말아 줬으면 좋겠어요 오늘두 영상 올려 줘서 고마워요 사랑해요,0.0,2개월 전
5,usergu9yt1tu7v,한동안 이유모를 우울과 더불어 번아웃이 심하게 왔었는데 언니의 영상이 저에게는 너무 큰 위로가 됐어요.. 항상 너무 잘보고 있고 넘넘 응원하는거 알죠??!!,7.0,2개월 전
6,useric9lj7cn9z,3:58 진아님 귀여움에 심쿵,1.0,3주 전
7,usernw6bn1xb9h,언니 번아웃에 여행가는데 남친이 함께 갈 수 있다는게 부러워요...ㅠㅠ,5.0,2개월 전
8,jjjbs1zg,진아님 보는 내내 저도 힐링했습니당 감사함미당 🩵,0.0,2개월 전
9,userpl8bh3bd8x,잔잔하니 넘 조와용... 힘들때 가끔 다른 지역으로 놀러가서 새로운 음식도 먹어보고 하는게 도움이 되더라고요!! 즐거운 힐링 하고 오신 거 같아서 저두 기분 조으네용🫶🫶,0.0,2개월 전
10,youwill7811,언닝 뽀얗고 이뻐 넘 좋잖어..️️언닝 행복 많이해,0.0,2개월 전
11,dayfeeling,17:17 흐뭇하게 웃다가 가슴이 찡해지는 명언,6.0,2개월 전
12,jinukim4317,"감성(맥주)듬뿍 븨로그 역시 재밌네요 ㅋㅋㅋ 착하게 생긴건 아니지만 이쁜건 맞으니 영상이 개맛개맛~
오늘도 올려줘서 코마워용~~~",0.0,2개월 전
13,MojeongJ,아웅 드디어 강릉 브이로그 올라왔당 ~! 얏호 ~~ 울 웅니 존예 공쥬 🩷,3.0,2개월 전
14,dayfeeling,"11:14 ""나도 서핑~"" 하시더니
오늘 웨이크보드타러가신 진아박님 살아계신가요ㅋㅋㅋㅋㅋ",2.0,2개월 전
15,userjz5bl4tc7s,3:27에 상의 궁금해요 !! 강릉 여행 대신 힐링되는 기분이에여 ㅠㅅㅠ ,0.0,2개월 전
