,youtube_id,comment,like_num,comment_date
0,pingpongurb2sk,"사람마다 반응이 다 다른가보네요 전 최고농도 0.1로 이년 가까이 쓰는데  모공이나 기미 잡티는 효과 하나도 못봤어요…피부결 개선과 노화방지라는 목적으로 꾸준히ㅡ사용중이에요. 피부결 개선 덕은 마니 보았어요

팔자주름엔 효과가 없는게 당연할거 같습니다..제품 설명서에도 미세주름 그것도 광노화로 인한 주름에 효과가 있다고 하니 근육으로 인한 주름엔 다소 힘들 거 같아요",1.0,3개월 전(수정됨)
1,eveline5611,"선생님 머리 자르셨네요. 톤다운도 하셨구요.  예쁘세요!
스티바연고 후기 잘 봤어요.
담번 헤어영상 기대할게요.
건강유의하시고요♡",1.0,1년 전
2,userft7oe4wj7h,머리 잘어울리세요 어두운색도 잘어울리시네요,0.0,1년 전
3,usereu3cg8eg2i,"안녕하세요~

저는 지금 스티바 4개월째 접어 들었는데,
피부가 좋다가 피부가 엄청 홍조가
심하고 따갑고 눈꺼풀에도 발라 
다래끼 난것 마냥 자극이 왔는데,
피부과 가서 치료를 초기에 받을까요?
아님 그냥 있어야 될까요?수분 크림만
듬뿍 바르고 있는데",0.0,11개월 전
4,useruu4se9yk4z,"안냐세요.. 피부관리 처음으로 해보려는 남자입니다.
뜨티바는 시중에 품절이라네요.
수입약인데 수입 현재 안된다합니다.
재고가 하나 있어 샀는데, 가격이 37,000원..부천인데 주변 약국들 시세가 그랬어요. 그나마도 트레티노 제품들이 재고가 없다고..가격 미춌네요. 
원래 처음 트레티노 현지 가격이 3천원 정도였고 국내도 만원대 초반이었던걸로?아는데,  인기가 많아지고 단종되면서  .
약사가 요즘은 LG에서도 트레티노 상품이 나온다하는데 가격은 스티바나 비슷하다고.
요즘 원래 이리 비싼가요?
원래 3천원이면 특별히 원가가 비싼 성분도 아닌디..이걸 4만원 돈에 샀으니..처방도 받았고 재고가 없어서 울며겨자먹기로 사긴했는데, 약국이 정찰제도 아니라 되게 기분 그렇네 ㅡㅡ
처방받고 종로에 약국으로 가는게 저렴할까요?",0.0,10개월 전
5,bjjw8cr,"원장님 제가최근에 인터넷으로가성비최고7만원자리 슬라이싱 가위를삿어요무겁고 묵툭하게생긴것 인잖아요양날아닌단날 근대 마른모발에하는데 뜯김이잇어서 제가슬라이싱을잘못하는건지 아니면저렴해서그런건지 상담사에물어보니 익숙해지면괜찮다고하는데 해당제품은 로고가없어서 4배저렴하게판매되는가성품인데요

가끔 뜯김이잇내요",0.0,11개월 전
6,usereu3cg8eg2i,"답변으로 도와주세용~~~간절히 바랍니다
영상 잘봤습니다",0.0,11개월 전
7,userbp7ny9sr3o,스티바를 쓸지 에이렛(직구)겔을 구입할지 고민되는데 조언부탁해요,1.0,8개월 전
8,sungmopark4775,농도 몇으로 쓰는데요?,1.0,5개월 전
9,SHINNANA0103,어..저 이거 잘 바르고 있는뎅...ㅎ그만 중단해야하는가..,0.0,6개월 전
10,jinain,100미터에서 모공이 어떻게 보입니다 진짜 뭔,2.0,10개월 전
11,jinain,진짜 이렇게 알아먹기 힘든 동영상은 처음이다. 홍조가 생기고 회색빛의 얼룩이 생기고 별의 별 이야기를 다 갖다부치는데 증거랑 사진을 보여주면서 설명하는것도아니고 처음부터 끝까지 횡설수설 하...,1.0,10개월 전
