,youtube_id,comment,like_num,comment_date
0,dongheechoi2384,"기본티 필요한 거 어찌 아셨는지..!!
항상 적절한 시기에 딱 필요한 템으로 업뎃 잘 해주셔서 너무 유용하게 잘 보고 있어용 
환절기 감기 조심하시궁 오래오래 업로드 해쥬세여 ><",7.0,5개월 전
1,saturnlightart,"패션 유튜버들 중 편안함을 가장 신경쓰는 분이라 언니가 추천하면 믿고 냅다 구매하게 되는거같아요ㅎㅎ
긴팔 티셔츠 냉큼 사러갑니다 히히",4.0,5개월 전
2,usergt5yv8kh1u,진짜 언니 제작템 추천템 내 옷장에 쌓여가는중...! 4월 기다리고 있다구용,2.0,5개월 전
3,usereu8iy6zu8c,뉴발 530 진짜 사랑해요!!! 벌써 3켤레째 컬러별로 사신고 있어용ㅋㅋㅋㅋ 길들일 필요없이 바로 편한 신발이라는 말 완전 공감해요,2.0,5개월 전
4,userjk6yn9ox8u,쭈언니가 추천하는 신발이라면 절대 믿고 신는!! 가방도 너무 기대되요,1.0,5개월 전
5,kimpurple,"자켓 안에 입을 이너템 찾아보고있었는데 세 종류나 추천해주시니 든든합니다~~ 쭈언니 실버백 꼭 살거에요,, 살짝 스포만 봤는데도 이미 너무 예쁨🫧",0.0,5개월 전
6,yuyuuu13,"기본티!! 덕분에 샀습니다. 정말 딱 원하던 스타일이었어요. 포멀하면서도 캐주얼한 티가 찾던거였는데 실물이 진짜
예뻐요 엄청 여러장 샀어욬ㅋㅋㅋㅋ감사",0.0,5개월 전
7,userv6skghw2s,"언니 덕분에 스케처스 샌들 열심히 신다가 너무 더러워져서 올해 또 샀는데 디자인이랑 사이즈가 넘 변했어요ㅠㅠ
일자모양이 심플하고 예뻤는데 셰입에 굴곡이 생겼더라구요.. 
발등 높이도 넘 높아져서 밴딩 고정이 안 돼서 헐떡거리고요;;
쭈언니 덕분에 품절대란 뜬거라 언니가 영상에 또 언급해주시면 스케처스 쪽에서도 내년엔 원래 디자인으로 내주지 않을까 해용...
인생 샌들 만났다 싶었는데 지금 디자인은 재구매 안할거 같아요ㅠ 전에 산거 너덜거리는데 어떡하죵...ㅜ",0.0,5개월 전(수정됨)
8,userfe4jl2un1t,요즘 학교 일정들이 바빠서 매번 늦었는데 오늘은 바로 달려왔어요 쭈언니 추천템들은 워낙 믿고 사니까 다 좋은데 옷 추천은 가끔 상체뚱뚱이인 제 체형에 입기 부담스러워서 너무 아쉬워요 그래도 잘 입을 수 있는 하의나 체형 상관없는 신발 추천도 자주해 주셔서 그럴 땐 당근 믿고 삽니다!!!! 항상 좋은 제품 추천해 주셔서 감사합니다,2.0,5개월 전(수정됨)
9,rebecasoboe,쭈언니 제작템 이라는 말만보고 바로 들어왔어요 ㅎㅎ 항상 친절하고 자세한 설명 감사해여~ 저는기본템 중 흰티나 블랙티 등 티셔츠는 비싸거나 혹은 너무 싸지 않은 것으로 자주 새거를 사입는 것이 나은 것 같아요,0.0,5개월 전
10,Memecat709,매번 눈팅만했었는데 오늘 구독해버렸어요  영상 넘. 알차구 이제 언니 따라 사면 엄마가 어디서 이런걸 샀어!!! 라는 말 안들어도 될거같아요 아이럽쭈언니,1.0,5개월 전
11,juni110,쭈언니 구독도 전에 어쩌다 쭈언니 질스튜티어트 가방 사구... 너어어어어무 만족해서 그이후로 꾸준히 영상 보고있어요︎  쭈언니 제작템이란 소리보니까 또 기대돼요!!!!!!!!!!!!@!!!!,1.0,5개월 전
12,userxj3if1jh9m,이번에 시티브리즈 링클프리 슬림핏 셔츠 샀는데 괜찮더라구요 기본템인데 흔하지 않은 느낌으로 잘만드는 것 같아요 티셔츠 보고 댓글 달았는데 쭈언니도 사셨네요ㅋㅋ 전 기본 이너로 입으려고 화이트 샀는데 진짜 핏이 다하고 구겨짐도 많이 없어서 좋더라구요,0.0,5개월 전(수정됨)
13,won52,웅니 저 기본템에 목말라있었는데 이런 단비같은 영상을...️ 오늘 영상도 잘봤어요!! 제작템도 너무 기대기대,2.0,5개월 전
14,alicekim9071,기본템 추천 속 숨은 스포템 찾기 꿀잼이자나여 예쁜거능 다 품절인거어ㅠㅜ,0.0,5개월 전
15,userzs9cn7zr3w,영상 너무 기다렸는데 세상에 이렇게나 정보 한가득이라니이이,0.0,5개월 전
16,useryp1ec9ue9r,"다음번 구두하게 되신다면 뒤에도 막혀있는 기본구두 나왔으면 좋겠어요! 뚫린것도 좋지만, 중요한 자리에서 막혀있는 구두를 신게되는 날이 많아지더라구요ㅠㅠ 너무아쉬워요오 ㅠㅠ",0.0,5개월 전
17,userdg5dr3hl2v,긴팔 바로 구매 완료!!,0.0,5개월 전
18,yellowsweatsuit,2:50 셔츠 샀어요~ 항상 셔츠가 커서 넣입이 불편했는데 쭈님 덕분에 알게 되서 고마워요,0.0,5개월 전
19,uungsvt,"신발 배송왤캐 빨라요 ㅋㅋㅋㅋ 열자마자 쭈언니st로 크로스로 바꿔서 신어봤어요 넘무이뻐요!!♡ 구두는 항상 반업해서 신었었는데 저걸 거기거 더반업해야하나 고민하다가 글을 잘읽어보니 원래 운동화신는 사이즈에서 구두를 반업하시는분은 그대로(운동화에 반업한 구두사이즈) 신어도 괜찮다하셔서 평소대로 주문했는데, 딱이었어요!! 하~ 이뻐요♡",0.0,5개월 전
20,usermh4li8tc8b,진짜 너무 좋아요ㅠㅠㅠㅠ 삐뽕언니 찢청 단종돼서 슬픈 사람 저라구요ㅠㅠㅠ 바지 추천해주셔서 감사해용🩷🩷,0.0,5개월 전
21,userdh5yf9qg5l,새 컬러 저번 제작 전 스포 때 얼핏 베이지인줄 알았는데 화이트군요!!,0.0,5개월 전
22,yunjicho777,"언니 그때 양말 정보 물어보고 바로 영상 업뎃돼서 엄청 좋았는데, 혹시 정장이나 슬랙스에 신을 구두 추천도 가능할깡요??",0.0,5개월 전
23,rhdmsal65,전 뉴발530 스틸그레이 출시하자마자 사서 10만원대에 구매했어요ㅎㅎㅎ 역시 살까말까할땐 사야하나봅니다ㅋㅋㅋ,0.0,5개월 전
24,starlight,"뉴발란스530 좋죠!ㅎㅎ 봄여름에 뉴발란스530, 가을겨울에 뉴발란스878 신는답니다",0.0,5개월 전
25,onioncheese,9:09 심쿵..대박 되게 귀여운데요..?!가방 밑부분에 징(?) 박혀있고! 더 기대되요ㅠㅠ,0.0,5개월 전
26,userrm5yu1we3o,"4월에 사려고 기다리고 있었는데, 4월은 그럼 미니백만 파시고, 기존 L M사이즈 업그레이드가방은 더 뒤로 미뤄진걸까요?ㅠ (물론 미니백도 살거지만요ㅋㅋ)",0.0,5개월 전(수정됨)
27,userwk1hx8iz3t,언니 미안해요... 제작템 눈에 불키고 찾아본다고 기본템 눈에도 안들어왔어요.. 다시볼게요 ,0.0,5개월 전
28,dahyeee,영상보고 시티브리즈 셔츠 살걸그랬어요 ㅠㅠ 슬림핏말고 베이직으로 샀는데 긴가민가하다가 반품기한놓쳤는뎅 ㅜㅜㅜㅜㅜㅜ,0.0,5개월 전
29,cbcw1384,쭈언니 제작템이라는 말 보자마자 달려왔다요!!!!,17.0,5개월 전
30,hyemi0818,스토리보자마자 바로 달려왓어요~~,0.0,5개월 전
31,userxb5kg2pc9b,무지긴팔인데도 너무 이쁘세요~~!!기본 긴팔티셔츠 찾고있는데 내복핏안되려면 사이즈를 체크해야될까요 디자인을 봐야할까요!?,0.0,5개월 전
32,uservt3cq1dc4e,자라 플리츠랑 입으신 컷팅된 티 정보 부탁드려요,0.0,5개월 전
33,userme7cm1to4s,오늘새로운영상이요재미있어요,0.0,5개월 전
34,vmflaldjayoutube7242,헐 블랙업 자라 쟁이러 가야지 언니 근데 울자켓 오디꺼이시어요.... 넘 이뿌용..,4.0,5개월 전
35,userjt8bq9jm2y,언니~ 3:19 무릎 위로 오는 화이트 니삭스 어디건가요?,0.0,5개월 전
36,userhz1vv8hr3h,언니 근데 셔츠 카라에 스티치 (?) 박음선(?) 있는거만 사라하지 않으셨어요??!!! 언니 영상 본 뒤로 그것만 따지는데 이번 셔츠에는 없어서요..!!!,0.0,5개월 전
37,userld4ti4zo1b,언니 혹시 키랑 몸무게 대략이라도 알수있을까요?? 치마 마음에 들어서 사고싶은데 어느정도로 짧은 길이감인지 모르겠어서요ㅠㅠ,0.0,5개월 전
38,sunlityellow,ㅜㅜ 가젤 걸을 때 마다 소리가 심한데 언니는 안 그런지 궁금해요 ㅜㅜ,0.0,5개월 전
39,userkm6ow2hi2o,이번에 기존 레더 M도 세일 하나용?,1.0,5개월 전
40,userrq8ru4cd1k,아싸 월급받고다 후후 질르러가,0.0,5개월 전
41,ksj1003,바로달려오기이~~!!,0.0,5개월 전
42,21degree,아우터 추천영상 어서빨리요.....ㅜㅠ,0.0,5개월 전
43,TVfr4vm,운동화  발볼은어때요??,0.0,5개월 전
44,userec8kl9rc9i,저 실버가방 살꺼예요,0.0,5개월 전
