,youtube_id,comment,like_num,comment_date
0,pearl903,봄 다가오는데 아직도 겨울 하울을 올리는 사람이 있다?! ️️,11.0,7개월 전
1,robertrodriguesgruppi7174,Uma deusa ️,0.0,7개월 전
2,yuzzin0,루에브르 미니백 너무 이쁘고 컴프렌치 하늘색 니트도 넘우 이쁜데요 ㅠㅠㅠㅠ 이번 영상도 잘봤습니다 :),0.0,7개월 전
3,ddlbgphdbwzjm,모한 코트 다 예쁘고 좋더라구요! 진주님 픽 코트도 정말 정말 예뿌네용 ㅎㅎㅎ,0.0,7개월 전
4,pearl903,"안녕 퍼링이들~ 진주입니다!
오늘은 미루고 미뤄왔던 .... 마지막 겨울 패션 하울 영상이에요...!!!
빨리 들고 오고 싶었는데 계속 일정이 꼬여서 드뎌 들고 왔네요 흐윽
그래도 예쁜 아이템들 구경하시면서 재밌게 봐주시면 좋을것 같아요 
편안한 저녁 보내세용!!",0.0,7개월 전
5,hh222h,알록달록 참으로도 예쁜 코디들이군요... ,0.0,10일 전
6,userzy4cf2ok6o,뷰티펄진주님 패션이 너무 예뻐요,1.0,7개월 전
7,userlo4bg6zb8b,닉앤니콜 가디건이 제일 잘 어울리시는 것 같아요 . 온앤온 자켓도 고급스럽고 귀엽고 라인이 참 이쁘게 떨어지는 재품 같아요,0.0,7개월 전
8,wldk0528,제가 핑크색을 좋아해서 그런지 히얼위아 니트가 제일 예뻐보여요,0.0,7개월 전
9,uservd1es5fc5u,영상에서 입고있는 가디건도 궁금해요,1.0,7개월 전
10,userdd2dp9zn1y,목이 긴편이 아니라 노카라넥을 좋아하는데 소개해주신 코트들 넘 예뻐여,0.0,7개월 전
11,usergu6id4hv7r,오옹? 오늘 자막바 니트랑 깔맞춤인가오?ㅎㅎ 모한 코트 짱이뻐요🥹 초겨울에 봤으면 샀을듯.. 하이넥이 너무 예뻐 흑흑,1.0,7개월 전
12,userws4cg8gl1h,딩구 초이스는 항상 만점입니도,0.0,7개월 전
13,akinuakinu2087,,0.0,7개월 전
14,userks3de7kt8s,"1등 !! 놓쳤다 .. 미챴다 보고와야지 일단
헐 컴프렌치 컾흘템이다 ",2.0,7개월 전(수정됨)
15,userrs4rx8pb3y,하늘색니트랑 매치한 흰색바지 정보 부탁드려요!!!!,0.0,7개월 전
16,userhd6le4qu5r,온앤온 초록색 자켓이랑 같이 코디하신 것 중에 흰색 체인 백팩가방은 어디 브랜드인가용? 너무 예뻐용,1.0,7개월 전
