,youtube_id,comment,like_num,comment_date
0,userws3sl6bc2k,요즘 컨텐츠 다양화로 고심하시는거 같은데 확실히 예전보다 다양한 컨셉으로 영상이 올라와서 좋네요 ㅎㅎ,2.0,1년 전
1,userdo2dl9ur3i,"와ㅏ촬영전 브이록님 모습이라니..!!
이번은 좀 더 특별하네요오!
오늘 브이록님도 엄청 귀엽고 예쁘셔여어ㅓ",2.0,1년 전
2,xylem3996,촬영 전에 보여주는 멋진 영상. 앞머리 예쁘다. 이 부분을 보여주셔서 감사합니다. 훌륭한 준비  다음 비디오를 기다릴 수 없습니다 ,2.0,1년 전(수정됨)
3,Ka1143,오늘은 특별한 영상이네요. 촬영전에도 여전히 이쁘시고 항상 잘보고있어요!,1.0,1년 전
4,jeekhan2364,Vrok you looks beautiful in every dress ,0.0,1년 전
5,aivy8xz,저는 이 브이록을 볼 때 마다 항상 행복함을 느낍니다. 그래서 항상 이 브이록에 매우 감사를 느낍니다.,0.0,1년 전
6,userkw3bm8gk5m,"브이록님! 뭔가 독특한 매력이 있으신것 같네요!
저만 그렇게 생각하는것은 물론 아니겠죠?ㅎ",1.0,1년 전(수정됨)
7,usergx8zn6ee5j,"브이룩님 항상 댓글도 관심가져주시고
고마워요.
항상 건강하세요.",0.0,1년 전
8,userhb8oe5ir4f,브이룩님 영상잘보고 갑니다 항상볼때마다 너무 아름다우셔서 설레는,0.0,1년 전
9,tigersjk2558,눈이 진짜 아름다움의 끝판왕.,0.0,1년 전
10,zengurjonbolt7501,"브이록님 오늘도 최고로아름다우시고, 매력적이십니다

다음영상도 즐거운마음으로기다리겠습니다~",0.0,1년 전
11,YouTurboum2cg,징짜 ..  완벽하다..,0.0,1년 전
12,userex1qi6jp7m,"매우 특별한 영상이네요 

찰영전 브이록 드레스업 장면 영상 + 눈도 이쁘고 마음도 크고 이쁜 초섹시 귀요미 브이록 항상 응원해요 응원해요 ",0.0,1년 전
13,son7092,VROK 브이록님 드레스 잘 어울리시네요 ㅡ,1.0,1년 전
14,isabellaluca2159,컨텐츠 촬영전 영상도 올려두면 괜찮을듯!,0.0,1년 전(수정됨)
15,alejandrogillick8322,ncs 없이 브이록님의 목소리로 채운 사운드 정말 좋습니다 ㅎㅎ,0.0,1년 전
16,halu657,Love it,0.0,1년 전
17,ssnpioldj,身材好棒，漂亮的女生️,0.0,1년 전
18,mmmsg1id,브이록 님이 있어 세상은 정말 아름답네요.... ,0.0,1년 전
19,userzt4wm4ru2w,可愛いです,0.0,1년 전
20,useryf6bg1nz1k,이젠 말도하네요 발전되서좋다!!,0.0,1년 전
21,userud4fn9lw2c,누나 왜이렇게 예뻐요...,0.0,1년 전
22,usernw7xy7fd8i,누나 너무 예뻐여ㅎㅎ 사랑합니다♡,0.0,1년 전
23,useryp8tw8ik4b,누나 보고싶습니다  또 한번 반했습니다,0.0,1년 전
24,xylem3996,너는 매일 준비하니? 촬영이요? 옷 잘 입었어  헤헤 사실 궁금했어  pretty vrok,0.0,1년 전(수정됨)
25,babowoowoo,음성이 이렇게 많이 들어간 영상 처음인듯 소통방송 같네요. 잘봤어요 이쁘세요,0.0,1년 전
26,RaijinSmt3lc,누나는 왜 이렇게 이뻐요??,0.0,1년 전
27,usermj3by8rw2y,진짜 이쁘다,0.0,1년 전
28,userkr4ob9nz4x,너무 이쁘다 브이록님...,1.0,1년 전
29,userlb4rp1gj1j,뭔가 영화 본편 외 메이킹 영상이나 비하인드 영상 보는 거 같네요 ㅋㅋ,0.0,1년 전
30,sen795,"누나가 말하는게 젤 좋다는..ㅎ
안그럼
그냥
요정같이섴ㅋㅋ",0.0,1년 전
31,achoiitachi4650,Beautiful ,0.0,1년 전
32,uservc3dw8wt6m,미스코리아   넘이쁘세요 ~~~♡,0.0,1년 전
33,tongue007,와씨...미치겠다 ,1.0,1년 전
34,greenteapiccolo,브이록님 예쁘네요 ,0.0,10개월 전
