,youtube_id,comment,like_num,comment_date
0,userru6nh7je5t,다음생엔 비단님 조카로 태어나고싶을 정도로 부럽습니다 따뜻한 가족 최고,5.0,2개월 전
1,usernc8bn6bk3x,하율이 말을 너무 이쁘게 해ㅜㅜ,1.0,1개월 전
2,brandlee5089,"연락 자주 오지만 싫지만 않은 고모의 모습 :) 
너무 예뻐요!!! 특히 마음(가족 생각하는)이요!!!",6.0,2개월 전
3,beel3617,"역시 딸들이 최고얏 ㅋㅋㅋㅋ
하율공듀 이제 고모와 더 자주 통화할 수 있어 좋겠네요 

저녁 맛있게 드시고 운동 화이팅!! ",1.0,2개월 전
4,leslumieres,"진짜 좋은 딸, 정말 좋은 동생, 완전 좋은 고모시네요옹️ 아무래도 비단 언니가 최고야…",2.0,2개월 전
5,usergv2rd8nc6b,진짜 비단님 빠르게 유명해지실 것 같아요!! 인스타보고 팬돼서 왔는데 진짜 묘하게 빠져들어부러...,0.0,2개월 전
6,mingubadge,하율이 귀엽당,1.0,2개월 전
7,ksamm7437,"언제봐도 사랑이 넘치는 가족이네요~
조카랑 꽁냥꽁냥 보기좋은데
보는 내가 왜 피곤한건지..
기분탓이겠죠?",1.0,2개월 전
8,userms5in4hn3g,행복해보이는가족이 보기좋네요,0.0,2개월 전
9,userug4gr1yp4f,오랜만이어요  언니 브이로그는 늘 행벅이에요...,1.0,2개월 전
10,userhr3tr4rw8g,"맞아요     잘하셨어요
비단한 생활 유튜브도 슝슝~ 보고
친구분들한테 딸 영상 자랑하실려면 
폰 바꿔드려야 해요ㅋㅋㅋㅋ
여름철 자동차  엉따는 극혐  ㅋㅋㅋㅋ",1.0,2개월 전(수정됨)
11,WoooA0123,플립 은근 어른들이 좋아하시는것 같아요! 주말드라마 이런데 피피엘로도 자주 나와서 그런가ㅎㅎ 저희 할머니도 플립 쓰세요ㅎㅎㅎ,0.0,1개월 전
12,daldalnana,행복 브이로그으으으,1.0,2개월 전
13,SONto4ip,비단한생활 Bidan님 아주예쁘군요.,4.0,2개월 전
14,userzm9gn4yd4x,이야 조카2호는 나중에 크면 ㅋㅋㅋㅋ 남자아이죠??ㅎㅎㅎ 하율양과는 러블리 지만 조카2호분은ㅊ완전 시트콤 액션활극이 나올듯,0.0,7일 전
15,dnh3543,역시 ㅋㅋ 딱 내가 생각하는것들 하고 비슷해서 공감됨 ㅋㅋ,1.0,2개월 전
16,userob7fr7zt3r,"이번 영상도 잘봤습니다..
조카가 신났네요..고모 찾는 목소리 부터 틀려지는것 같아요ㅋ",1.0,2개월 전
17,usermn2qf8vf1p,사..사랑합니다..,0.0,2개월 전
18,Sjdjdnwnwnndn123,진짜 이상형..,1.0,2개월 전
19,riverphoenix2852,,0.0,2개월 전
20,hwarang0119,저희 조카는 키즈워치? 그거 하고 다니더라구용 스마트폰은...아직 1학년에겐 이른 거 같아요....,1.0,2개월 전
21,userbj4id6jh6y,1등!!,0.0,2개월 전
