,youtube_id,comment,like_num,comment_date
0,vita1000,"00:20 인사
01:10 최근에 산 최애 백
02:25 가방 전용 이너백
03:04 100m 밖에서 봐도 내 지갑
03:44 아쉬운 게 딱 하나있는 인생 립밤
04:32 휴대성 짱 좋은 뷰러
05:00 비염 템? 졸릴 때 쓰는 아이?
05:54 알레르기성 결막염, 눈 가려울 때
06:40 양치하기 어려울 때 요고
07:47 차키 & 귀욤뽀짝 키링
08:05 비타1000 DIY 면봉 케이스
09:14 버즈 & 귀여운 케이스
10:07 요즘 최애 립 조합
13:09 야무진 수정 쿠션
14:44 휴대하기 좋은 아이브로우
15:13 생장미향 & NO 끈적이는 핸드크림
16:22 건강기능식품 회사 직원의 다이어트템
17:40 이건 안팔지만 효과 대박인 피부 영양제
20:45 직장인 필수 명함지갑
21:29 펜은 이게 최고더라구
22:09 행복, 자신감 충전템
23:40 샤넬 클래식 백의 비밀 공간
25:00 이 중 빠질 수 없는 꿀템 3가지 (굉장히 신중함)
26:30 갑자기 차분한 척",3.0,9개월 전
1,usersn4mv1lj4c,고맙습니다 저는 조현정동장애로 집에서 히키코모리처럼 살고있는 30대 여성입니다. 너무심적으로 망가지는게힘들어서 영상을 찾아보던중 천서영님 영상을 보고 미라클모닝을 해볼까 하는 동기부여가 되었습니다. 잘살고싶은데 많은도움을 심적으로 주셔서 감사합니다,1.0,8개월 전
2,jj3899,가방 색깔 진짜 이쁘네요~ nag 제품도 궁금하공,2.0,9개월 전
3,usergx3pl9mj5p,물티슈 뚜껑 아이디어 좋으세요 저도 한번 해봐야겠네요,0.0,9개월 전
4,ujooyoo2563,가방도 완전 서영님스러운 ㅎ.ㅎ,1.0,9개월 전
5,useruy5po9td6r,"저 오래간만에 왔네요~더 예뻐지셨어요~^^
추운데 감기 조심하세요.건강도 챙기시구요!!",1.0,9개월 전
6,userlh5pi8ss1q,"와 제품저도먹어보고싶어요
얼른 3월이오길!!!",0.0,9개월 전
7,userxk4kc9xd5v,서영님 추운날씨에 감기 조심하세요,2.0,9개월 전
8,khg06300,눈썹 제품 색상이 뭔가요? 색이 넘 예뻐요…,0.0,3개월 전(수정됨)
9,newjeansss,목걸이 정보 알 수 있을까요??!!,0.0,9개월 전
10,everyday6613,머리 너무 예뻐용!!! 파마하신걸까요?,1.0,9개월 전
11,dailysavy,안뇽~~,0.0,9개월 전
