,youtube_id,comment,like_num,comment_date
0,userci2nl3zw5h,"우리 언니 이제 미모를 다 담진 못해도 각도가 열일하는듯.. 
울 언니 미모 담기위해 카메라야 눈치껏 더 일해^^
언니 진짜 요즘 영상 썸네일부터 영상 안에 언니가 지금까지 꾸준히 봐온 언니 미모 중 가장 예술이에요️ 영상 분위기부터 잘 어울리는 화장까지 사람이 너무 우아하고 고급지다구용~",0.0,9개월 전
1,boromiii,"진짜 아임프롬 피그 스크럽 뽐니님이 예전에 추천하신 이후로 쭉 잘 쓰고 있눈데 허니 마스크도 구매해서 같이 써봐야겠어욥!!ㅎㅎ
안 그래도 요즘 건조하고 추워서 피부 건조한데 같이 쓰면 피부가 쫀탱해질 것 같아요ㅎㅎ
아 그리구 뽐니님 방금 인서타 봤는데 플리마켓.. 팬밋업 모에요!!
언능 정보.. 시급해..
나 부산 뽐둥이.. 어디든 달려갈 거에요ㅠㅠㅠㅠ",0.0,9개월 전
2,AinJung109,꾸덕크림 제 인생템 됐어요 예전에 영상보고 구매했었는데 벌써 반 넘게 썼어요!! 진짜 겨울 필수템인거같아요!! 항상 좋은 제품 추천해주셔서 감사해요,10.0,9개월 전
3,userJuha,러블리의 인간화🩷 이번에 안드로이드 업데이트 하니까 이모티콘에 뽐니님하고 어울리는 핑크 하트가 생겼는데 이번 영상에 분홍색 목도리하고 색이 비슷해서 그런가 딱 뽐니님 하트 같아요🩷🩷🩷 아 그리고 꾸덕크림 이번에 친구들이랑 연말 여행 가면서 샘플 크기로 챙겨 갔는데 그대로 친구한테 영업해서 친구도 담날 바로 결제했어요. 진짜 겨울 필수템인거 다 알아줘야한다....그리고 아이프롬 마스크팩 집에 있는거 얼마 안남았는데 영상 보고 올리브영 보러갑니둥🩷,5.0,9개월 전
4,naildo,뽐니쓰와 사랑에 빠지다... 제 최애.. 연작 베이스프렙 얼른 써보고 싶어요><,0.0,9개월 전(수정됨)
5,user12488,앞으로도 좋은 거 많이 공유해주세오,0.0,9개월 전
6,summerlikeyou,언니언닝 요새 패션아이템 소개도 같이 해주시는데 너무너무 좋아요 ㅠㅠ><  저도 바라클라바 답답하고 머리 망가지는 게 싫어서 구매 못하고 있었는데 첫번째 아이템 완죠니 제꺼네요....,1.0,9개월 전
7,jiyoungleeeo8bz,온그리디언츠 처음 소개할때 바로 구매해서 지금 까지 사용하고 있는데 진짜 너무 촉촉하고 건성인데 비닐막씌운 느낌이아니라 피부에 촤락 녹아들어서 피부사이사이 메꿔주는느낌 ?? 진짜 올겨울 이걸로 나이트 케어 쌉가능,2.0,9개월 전
8,usertj8yi2rw5d,너무 유용한데 타임라인 남겨주시면 너무 좋을거 같아용 ️,1.0,9개월 전
9,jea4083,"악건성., 뽐니님 덕분에 온그리디언트 만나고 겨울에 광명찾았읍니다.. 진짜 최고의 건성제품",4.0,9개월 전
10,userkr9kd1no2r,승무원 화장 넘 이뻤는데 오늘 화장이 넘 잘어울리시네요 연한 화장이 넘 깨끗해보여 이뻐요,0.0,9개월 전
11,qkdwlals123,뭐야 아주 영상 이랗게 올려주면 매일매일 보게된다구여..! 이렇게되면 안올려주는날에도 찾아서 보게된다구요..! 너무 좋아여 맨날 찾아와주세요🫶,0.0,9개월 전
12,Ququququququ,뽐니언니 최고 ㅠㅠㅠㅠ 구독 좋아요 알림설정까지 하구 갑니당 ...,0.0,9개월 전
13,userur8dv4ge7s,꿀팁 감사해용 ㅠㅠㅠ,0.0,9개월 전
14,pzrmq,"뽐늬님 따라한다구... 퀼티드 미니백 구하려고 백방 발로 뛰는중🥹🥹
지방이라 온라인으로 승부중인데 왈칵",0.0,9개월 전
15,userqt1wc9ro9b,"안녕하세요 뽐니님!
최근에 알고리즘에 이끌려 뽐니님 영상을 보다가 온그리디언츠 꾸덕 크림을 사려고 가격을 보니 좀 비싸서요..
혹시 다시 행사할 계획은 없으실까요?
꼭 구매해서 사용해보고 싶어서 댓글 남겨요.
연작 베이스프렙 구매해서 사용해봤는데 진짜 너무 좋아서 뽐니님이 말씀하시는 제품은 다 손민수하려고 통장에 총알 장전중입니당ㅋㅋㅋ
눈이 많이오네요.
건강 조심하시구 앞으로도 찐템영상 많이 올려주세요~",0.0,9개월 전
16,HEYHIHI,이 영상보고 바로 집에 있던 허니마스크랑 피그 스크럽 마스크 언니가 알려준 꿀팁대로 하는 즁…,0.0,9개월 전
17,userqv3cl3nh3g,뽐니님 더클래스모나크에서 기상캐스터 메이크업 받기해주세요,0.0,9개월 전
18,eunheejung5625,에잇아워랑 연작프렙 섞어서쓸때 그전에 기본스킨케어(스킨-세럼-크림)다하고 바르는건가요? 그리고 궁금한점이 항상 톤업크림을 바르는데 에잇아워+연작 후에  톤업발라도 되나요?,0.0,9개월 전
19,usercherry429,"휴대용 손난로 ,,,진짜 다 갖췄네,,",0.0,9개월 전
20,userwv5bq5io6p,상의 정보도 알려주세용,0.0,9개월 전
21,bombom8497,저는 향수를 좋아해서 뒤에 향수들이 눈에들아오는뎈ㅋㅋ 프레데릭말 향수 어떤 향 쓰세여??!  저는 지금 벤튼 구아바패드 팩처럼 붙이고 누워서 유투브 보는 중이에요 크크 존좋이에여 진짜!! 저번 마켓 되게 빨리와서 더 좋았어요,1.0,9개월 전
22,usertf2db3nr6s,엘리자베스 아덴 크림이 찐덕찐덕해서…그 약간 풀 같이 남는데…연작 세럼과 믹스하면 그런 찐덕함이 조금 없어지나요..? 어떻게 마무리다 되는지 감이 잘 안와서 여쭤보아요ㅈ,0.0,9개월 전
23,usergf7to4gq6l,뽐니님 바이에콤 egf엠플 마켓계획 없으신가요?  저번에 추천하셔서 써봤는데 너무 좋아서 금세 써버렸어요...ㅠㅠ 마켓존버탑니다ㅜㅜ,0.0,9개월 전
24,juhyunjung1991,베이스  순서가요  ..썬크림까지  바르고  연작이랑  아덴 섞어서  바르는  걸까요,0.0,9개월 전
25,userhd8tp5qi6r,립 뭐바르셨나요ㅠㅠㅠㅠ 너무 예뻐요,0.0,9개월 전
26,userbo6xl5dy1r,"뽐니님 상의 정보 알수있을까여!!
영상 감사합니당 ",1.0,9개월 전
27,Dearesty,"진짜 모야 내가 아는 사람 중 제일 귀여운 사람,,,,,,, 귀여움 자제해줘요. 내 심장에 해로우니가.",0.0,9개월 전
28,userse7iy1pi2d,크림이랑 베이스 프렙 꼭 삽니다...,0.0,9개월 전
29,Gracerb3xj,언냐 이 날 상의 궁그매요,0.0,9개월 전
30,kayl2877,I’m from rice toner is good for my skin during the winter too️,0.0,9개월 전
31,uservl2og8lo5y,영상에 립제품은 뭐쓰셨을까여??,0.0,9개월 전
32,esfjuser,"에잇아워 개쩌러,,, ️",0.0,9개월 전
33,yujin6641,꾸덕크림 발라도 뜨는데 어떡해요?ㅠㅠㅠㅠㅠ,1.0,9개월 전
34,userfp4tq1ll5y,,0.0,9개월 전
35,userxm2rj3zg2s,"언니…. 설명듣는데 애교살밖에 안보여요…. 애교살에 뭐쓰셨는지 알려주라주요!!!!🥹🥹 
+ 영상 잘봤습니당 ㅎㅎㅎㅎㅎㅎ",0.0,9개월 전
36,truth364,메이크업레전드....이거 메이크업 영상 찍어주세요ㅠㅠㅠ,0.0,9개월 전
