,youtube_id,comment,like_num,comment_date
0,sangahtube,"오늘은 저의 데일리백들을 가져왔어요
모아보니 실버백이 유난히 많은 느낌쓰?
저의 소듕한 키링들까지 알차게 소개해봤으니 재밌게 봐주세요",4.0,3개월 전
1,vivianachan,More daily life vlogs please! ,0.0,2개월 전
2,isjeong,다이애그널 숄더백은 진짜 예쁜 것 같아요!,0.0,3개월 전
3,sonnyeonny,상아언니 오늘도 미모 열일!!🩷,0.0,2개월 전
4,soo889,구름백의 인기는 엄청 나더라구용ㅎㅎㅎ,0.0,3개월 전
5,SONto4ip,SangAh Tube 상아튜브님 명품핸드백이 너무 잘 어울리시네요.,2.0,3개월 전
6,usergi6rq8og4v,첫번째 가방 셔츠 정보도 궁금해요,1.0,3개월 전
7,usergt9ce6rp1i,언니 영상에서 입으신 핑크 나시 정보 넘 궁금해요 🫶🫶,10.0,3개월 전
8,usereb2ns7hk4k,딱 가방 사려고 고민할때 올라온 영상은 소듕합니다🫶,0.0,2개월 전
9,userlt5ow9ik3m,6:59 블라우스 정보도 궁금해요!,3.0,3개월 전
10,userjq7uc1eh6r,쓰리타임즈 블랙쟈니백 소개 때 입으신 상의 정보 부탁드려요,0.0,3개월 전
11,userjw1xh8fn4v,가방이랑 키링 다 넘 예뻐요ㅠㅠㅠ 0:53 청치마 정보도 알수 있을까용..🫶,1.0,3개월 전
12,userom1ir6rg5o,0:01 오프닝에 조니백들고 계실 때 입으신 상의 정보 알려주실 수 있나용??!🥹,0.0,3개월 전(수정됨)
13,suyeorrr,온니 영상 너무 잘봣어용  목걸이 정보 알려줄 수 있울까여,0.0,3개월 전
14,jessicalim2469,4:59 베이지스커트 정보 궁금해요,0.0,3개월 전
15,akinuakinu2087,,1.0,3개월 전
16,ireniccaesthete5349,,1.0,3개월 전
17,usersj3ju5js6t,"헉 1빠! 아껴서 내일
봐야겠어요 ㅎㅎㅎㅎ",2.0,3개월 전
18,be2177,온니.. 영상에서 입고있는 바지… 오디 제품일까요..🫶,1.0,3개월 전
19,anitaanita556,Hellogoodno,0.0,3개월 전
