,youtube_id,comment,like_num,comment_date
0,userji2yt7lf4u,"영상촬영하겠다고 맘먹는데도 큰 용기가 필요했지만, 완성된 영상 보는것도 역시 큰 용기가 필요해서 ㅋㅋㅋㅋ 지금 인사드려요:) 날것 그대로의 저를,,,세상 뽀송뽀송하고 또렷하게 새로 만들어주셔서 감사합니다 다음에는 샵으로 원장님께 메이크업 받으러 갈게요!! ",4.0,9개월 전
1,userur1rw7ps9f,"77ㅑ은은하되 사진에서 충분히 돋보일 수 있도록 예쁘게 완성해 주셨네요 :)
구독하고 갑니다=3",1.0,9개월 전
2,dkdpdl,광대랑 턱뼈 있는 넙데데한 얼굴형 커버하는 메이크업도 알려주세요 흑흑,13.0,9개월 전
3,rabbit1227,마스카라를 위에서 바르는게 진짜 꿀팁이네요..,2.0,9개월 전(수정됨)
4,makeupmaker,"이번영상에서 제품명이 누락되었더라구요! 제품은 사용한 순서대로
라메르 컨센트레이트 (에센스)
샤넬 르블랑 브라이트닝 메이크업 베이스 (베이스)
뽀아레 파운데이션, 뗑 드 스와 실크파데 r01 (파데)
누드스틱스 컨실러 (리퀴드컨실러인데 이건아마 세포라에서 구해야되욥, 저는 캐나다 세포라에서 구입)
맥 스튜디오 컨실앤 코렉트 팔레트 라이트 (컨실러로 하이라이트 넣었어요)
베네피트 쿠키라이트 (섀딩)
뽀아레 아이섀도우 팔레트 레 썡끄아파세뜨 001 (섀도우)
웨이크메이크 블러셔 01 (블러셔, 섀도우 섞어사용) 
맥 페인트팟 아트테라피치 (애교살)
프로에잇청담 리퀴드 디파인 라이너 브라운 (아이라이너)
마죠리카 마죠르카 마스카라 디파인 블랙
하트퍼센트 립펜슬 105 (립라이너)
페리페라 더 에어리 벨벳 확신의 피치상",2.0,8개월 전
5,bhu1107,"메이크업 제품들 정보가 너무 궁금해용… 
ㅎㅎㅎ 나중에 저도 꼭 메컵 받아보규시퍼용 ",3.0,9개월 전
6,userir9sw1db5r,모델분 속눈썹 진짜 진하시네용! 상은언니 대충 하신것 같은데  진짜신기하다ㅏ ㅋ,2.0,9개월 전
7,useruo9tw4lr7o,상은님 제품 정보도 더보기란에 써주세용!!,3.0,9개월 전
8,bbbbmn2yy,"아니ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ상은온늬.. 8:59 , 9:05 , 9:56 표정 너므 중독적이예얌..️",3.0,9개월 전
9,buncheongwear8632,인상이 강해보여서 인상이 부드러워 보일 수 있는 메이크업을 알고싶습니다 ㅠㅠ 그리고 여드름 흉터 때문에 피부가 깨끗해보이면서 색조도 예쁘게 올릴 수 있는 방법을 알고싶습니다 ,1.0,9개월 전
