,youtube_id,comment,like_num,comment_date
0,dduddus2,"구독자 3만명 너무 축하드려요! 낯가지러워 했던 애칭을 드디어 이 날만을 기다렸다구요! 조만간 애칭으로 불릴 수 있는건가요 상은언니 하면 저는 바다가 제일 먼저 떠오르는 것 같아요! 그래서 구독자 애칭은 파도가 어떨까 싶어요! 파도의 사전적 의미가 ""바다에 이는 물결"" 이더라구요~ 파도는 바다에서 일어나는 현상이잖아요! 저희도 마찬가지라 생각들어요! 상은언니(바다)가 영상을 올리면 그 영상을 보고 따라해본다던지, 혹은 추천 제품을 말씀해주시면 그걸 따라 산다던지, 메이크업도 배우고 언니로 인해서 어떠한 행동을 하기때문에 구독자들은 파도와 같다고 생각을 하거든요~ 바다도 파도가 있을 때 존재감이 더욱 드러나는 것 같아요! 그렇기 때문에 바다와 파도는 항상 같이 존재하고 있는 거 아닐까요~?ㅎㅎ 바다인 상은언니가 ""파도들~""이라고 불러줬을 때 상은언니 안에서 출렁이면서 존재를 드러내는 파도가 되어볼게요🫶 이러나 저러나 다시 한번 3만 축하드려요 30만 300만 쭉쭉 울 상은언니가 최고가 되는 그 날까지 알라뷰입니다",37.0,1년 전(수정됨)
1,olivia9881,"'윤슬'
상은언니 샵 이름이 '바다'이니까, 상은언니의 구독자와 팬들을 그 바다에서 반짝이는 윤슬로 표현해봤어요:)
구독자는 또 부르기도 편해야하니까! 윤스리들~~ 요로케 부르면 너무 귀여울거 같아요!",3.0,1년 전
2,userji2yt7lf4u,헐 ㅎㅎ 드뎌!! 구독자 3만명 제가 다 감격스럽습니닷!!🥹상은언니 구독자 애칭으로 상꼬미추천드립니닷!! 상은 원장님의 ️독보적으로️ 꼼꼼하고 갓벽한!! 메이크업 스킬과 매력에 홀린 메이크업 꼬마들!!이라는 의미의 상꼬미어떠신가요 다시한번 구독자 3만명 넘넘 축하드리고 늘 알찬 이 채널이 3만명 나아가서 30만명 300만명까지!! 쭉쭉 성장하기를 기원합니다:),16.0,1년 전
3,divkdicvidick,"상은언니 구독자 3만명 축하드립니당 샵이름이 바다니까 “물꽃” 어때여??? 하얀 거품을 일으키는 바다 현상을 꽃에 비유해서 말한건데 꽃으로 표현하니까 어감도 너무 이쁘고 바다랑도 너무 잘어울려서요

+ 바다랑 물이랑은 완전 찰떡이고 상은언니 유튭보고 화장이쁘게해서 꽃처럼 이뻐진다는 뜻도 가지구이써영 ㅎㅎㅎ",19.0,1년 전(수정됨)
4,yoommmj6752,"속눈썹 구매하고 원장님 궁금해서 찾아왔는데 메이크업을 정말 쓱싹쓱싹 쉽게 하는거 같은데 정말정말 예쁘게 잘 하시네요!! 시크한듯 털털하고,, 여튼 매력덩어리!! 구독",1.0,1년 전
5,userpz1nn7js6e,저는 파도를 우리말로 표현한 너울을 추천 드려요! 그중에서도 너울은 물결 중에서 가장 거칠고 사나운 것으로 하얀 물기둥처럼 솟구쳐 오르다가 물보라를 일으키는 거친 파도를 말한다고 하더라구요! 상은 원장님 이미지랑 샵 바다 로고랑 잘 어울리는 것 같아요! 그리고 또 다른 뜻으로 ‘겉모습을 비유적으로 이르는 말‘ 도 있다고 해요! 아무래도 메이크업은 우리의 모습을 꾸며주는 것이니까 유튜브 주제에도 잘 맞을 것 같습니당!,12.0,1년 전
6,skypinkgreen,"상은언니 구독자 3만명 축하드려요
상은언니 영상 보시면 얼~마나 좋게요!
알랑가 몰라!(몰랑)이거 전용 멘트인거 다 아시죠!ㅎㅎ
그래서 상은언니 자주쓰는 멘트에서 저희 구독자들 애칭도 녹여내고, 또 상은언니 영상보면 마음이 몰랑 몰랑해져서 몰랑이었으면 좋겠어요!ㅎㅎ",2.0,1년 전(수정됨)
7,userrs1ow4id3y,구독자 3만명 너무 축하드려요!! 인스타만 보다가 유튭 보기 시작한 지 얼마 안됐지만 너무 재밌게 잘 보고 있어용 상은언니가 채널명이니까 동생이 들어가면 좋을 것 같아서 짱동생이 뭔가 어울릴 것 같아요♡ 메이크업계의 짱인 상은언니의 구독자들인 동생들이라는 의미입니당!! 뭔가 발음이나 그런것도 잘 붙는 것 같아서 한 번 지어봤어요!! 간결하고 명료하게!,1.0,1년 전
8,userfe9xm4np7k,"아라
'바다' 라는뜻을 가진 순우리말이에요!
저는 상은언니 하면 딱 떠오르는게 
아이라인과 속눈썹인데 아이라인 줄임말도 되네요ㅎㅎㅎ상은언니는 저랑 이름이 같으셔서 더 애정이 가는분이에요 구독자3만 축하드리고 앞으로 더 흥하시길 바랄께요!!!!!!!",1.0,1년 전
9,usereb6bq8zl8u,"구독자 3만명 너무 축하드려요!! 상'은'언니 동생들은 상'금'이 어떨까요??ㅎㅎ 상금이들(상그미들~)
어떤 애칭으로 불리게 될지 정말 궁금해요!!ㅎㅎ
3만을 넘어서 10만 30만 300만까지 같이 가봐요!!!",3.0,1년 전
10,useryn4vk5md3x,구독자 3만명🫢소리질러엇~~~~~️축하드립니다 이 기세로 쭉쭉쭉 가즈아!!!!!!!!🫶저는 원츠(wants)️언니는 뷰티계의 트랜드세터️우리의 원츠(wants)를 민감하게 파악하고 뷰티계의 관심을 리드하니까요🫢원츠들️,2.0,1년 전
11,userxl4fs5eh4n,"구독자3만명축하드려요
3천명때부터 봐왔는데 언니가 너무 프로페셔널해서 다른 뷰티크리에이터와는 손기술자체가 다르더라고요 앞으로도 3만 , 30만,300만을향해! 항해합시다
구독자애칭으로는 '돌고래'들 어떨까요
바다속을 헤엄치는 구독자들!! 앞으로도 화이팅입니다",1.0,1년 전
12,jjinnlove6311,"구독자 3만명 축하드립니댜
상은언니하면 바다를 뺄수 없자냐여
그리구 바다하면 소금이 생각나네요
절대 없어서는 안될존재!!
 상은언니가 우리한테 그런존재듯이 우리도 상은언니에게 소금같은 바다와 소금같은 존재가 서로 되어 힘이 되었으면 좋겠습니다️ 
소금이들 어때효?🫶",3.0,1년 전
13,useroo8ic1ne2b,"꺄악 언닝 3만명 축하드려용 매일 염탐하다가 댓글 첨 달아보네요,,,ㅋㅋㅋ
저는 언니는 다 잘하시지만 특히나 아이라인장인이시니까 !!! 본따서,, 아장이들 어뗘요 앞으로도 승승장구하자요",1.0,1년 전
14,bhu1107,"구독자 3만명 축하드려용 ~~ 
상은언니의 꾸러기들! 
상꾸들 ~~️ 어떠세용 ️️
후보들로는 
샵 바다니까  블루밍들~~
승승장구하자는 승승이들
심심할때 보자고 슴슴이들 
앞으로도 번창하세용 🫠",7.0,1년 전(수정됨)
15,userip2oi7mm2m,"상시!! 어떨까요!?! 상은언니의 ‘바다’(‘sea’)라는 뜻이랑 상은언니의 자매(‘si’sters)라는 뜻!! ️
또 항상 상은언니 영상 상시대기 하고 있으니까요..🫶 구독자 3만명 달성도 너무너무 축하드려요~~!!!!️ 앞으로 더욱 더 승승장구하시는 상은언니와 샵 바다 기대하겠씀니다",5.0,1년 전(수정됨)
16,jjeonge21,"구독자 3만명 축하드려요!
저만 보기 아까운 채널인데
함께 보는 구독자분들이 많아져서
제가 다 기쁘네요
구독자 애칭은 하금 이가 좋은 것 같아요!
'상은언니'니까
상️하
은️금 
반대로 딱! 떨어져서 기억하기도 쉬울 것 같고
빠르게 부르다보면 '하그미들~'
요렇게 들려서 귀여운 것 같아요
앞으로도 좋은 영상들 기대하고 있을게요!",1.0,1년 전(수정됨)
17,userzs9of8ee1x,"구독자 3만명 축하드려요
300만까지 응원할께요
항상 영상보면서 힐링받고 있어요",1.0,1년 전
18,userqw4df5kq9c,"상은쌤 축하해여 쌤 타샵에서 있을때부터 인스타 계속 보고 있었는데 유투브도 넘 잘 보고있구영 추카추카 언니 인스타아이디가 아주아주 유니크하잖아요 메이크업메이커 ㄹㅇ힙함 구독자 애칭은 메코미들 어때요 언니 인스타아이디+메이크업좋아하는 구독자들이란 뜻으로 
메코미 혹은 메콤이 이렇게 둘이 젤 잘어울릴 것 같아요 ㅋㅋㅋ심플하면서 뜻이 있게 푸하항!!!",1.0,1년 전
19,userer1hm8kt7y,"상추(chu )  ""상츄"" 
상은언니의 사랑의 뽀뽀를 담아. 근데 이제 발음은 상추인ㅋㅋㅋㅋ
3만명 축하해요 짝짝짝!!!     ",1.0,1년 전
20,userjy3pe9ml8e,"구독자 3만명 축하드랴요️ 우리는 상은언니한테 메컵을 배우는 쪼꼬미덜이니까 상은언니 동생 너낌으로 하은이는 어떠신가욤,,️ 항상 유용한 튜토리얼 공유해 주셔서 감사해요️‍🫶",1.0,1년 전
21,bhu1107,일반인 메이크업 초보 클래스 너무 듣고싶어요 ㅜ ,3.0,1년 전
22,userwf6jb3ys8n,"구독자 3만명 축하드려요️️
상은언니 하면 몬가 자매님들? 언니가 우리 자매님들~~하면서 불러주시는고 상상하는데 귀여울꺼같아요!!",2.0,1년 전
23,yu0hyun,구독자 3만명 축하드려요 늘 영상을 통해 메이크업 많이 배우고 있습니다 !  상은 언니를 사랑하는 마음이 같으니까 사랑둥이 어떤가요 ?,2.0,1년 전
24,userly3be8eo5h,"상은언니는 언니 자체로 뷰티계의 트렌드 ""세터""잖아요. 
세터가 배구나 축구에선 스트라이커(공격수)가 공격할 수 있게 공 올려주고 서포터 해주는 팀에서 없어서는 안되는 존재인데
언니에게 저희가 뷰티 관련 많은 정보를 받고 그런 정보를 토대로 
저희가 실전에서 직접 적용해보고 사용하면서 좀 더 나은 화장법과 좋은 제품들을 쓰면서 피부가 좋아지는 등 좋은 결과로 이끄는게 꼭 득점을 내는 것 같은,, 너무 스포츠인같았지만  스포츠와 문외한 사람입니다..
그래서 스트라이커 의미로 라이커?라이?라익? 등 좋은 의미가 될 수 있을 것 같아요 ㅎㅎ
라이커 하면 ..뭔가 liker해서 언니 좋아하는 사람들 같기도 하고.. 영상은 저번에 보고 지금 밥먹으면서 언니 인스타보는데 언니가 소개하면서 뷰티계의 트렌드세터라고 소개하는게 갑자기 와닿아서 밥먹다가 생각나서 써봤습니당 ㅎㅎ",0.0,1년 전(수정됨)
25,dlgpdlscjdtn,"상은언니! 구독자 애칭하면 당연히 동생이 딱 먼저 떠오르는데, 그냥 동생은 밋밋하게 느껴지니까-
샵 바다에 선장의 느낌인 상은언니가 계시다면 우리는 선원이 되는걸로!
선원들 어때요? ㅎㅎㅎㅎㅎㅎ",3.0,1년 전
26,ABCDor8ul,"""바당""
상은원장님 구독자 3만명 달성 축하드려요>_<
인스타와 유튜브로 메이크업 영상 너무 잘 보고있어요♡
구독자 애칭은 샵 이름과 동일한데, 귀여운 느낌으로다가
바당이로 하시믄 어떨까요! 헷헷︎︎
바당이들~~~~~~~",2.0,1년 전
27,useryq4yw9eb7z,크…감격️ 이전에도 댓글 달았던 상동(상은언니 동생) ️ㅋㅋㅋㅋㅋ 앞으로도 상은언니의 파워 최강 유투바를 기대합니다 축하드로용,1.0,1년 전
28,usergo8he7zq1p,"상은언니가 언니의 샵이름이자 저희한테 바다처럼 큰 존재로 다가오는만큼 언니에게 속해있다는 의미이자 소중한 존재라는 의미로  
️️️“쏠티”️️️어떨까요?!?!?
뭔가 입에도 찰떡으로 붙고 좋은 것 같아요!!!",1.0,1년 전(수정됨)
29,dalinsla89,구독자 3만명 축하드려요~~~!! 우리에겐 언제나 상은언니니까 상은 언니는 하이 시스터~~~ 는 어떨까요 부롸더 앤 시스터 느낌으로 다가ㅋㅋㅋㅋㅋㅋ,1.0,1년 전
30,gooodthing3342,"애칭 ""상상이들"" 이요 일단 입에 잘붙고 귀엽지않나여>__< 
상은언니 이름에 ""상""도 들어가서 연관도 되고 !! 여러분의 상상을 이루어 드립니당 노하우 대방출!! 나만 따라와~~~ 뭐 그런 너낌으로요...",1.0,1년 전(수정됨)
31,ksjmj0102,상은언니가 뷰티계의 트렌트세터니까 언니보고 빠르게 트렌드를 따라가는 구독자님들은 얼리어답터 줄여서 얼리 얼리님들 어떠세요? 채택되고픕니당,3.0,1년 전
32,jjinzero3127,"구독자 3만 너무 축하드랴요!!!!
항상 유익하게 잘 보고있어용
상은언니의 구독자 애칭은 ‘하동’이들 어떠신가요??
상-하 / 언니-동생 에서 하동생 줄여서 ‘하동’
하동이들~~ 너무 귀엽고 애칭있는것같아요!!
항상 영상 잘 보고있습니다 감사합니당️",2.0,1년 전
33,wWgj4pk,"상은언니는 상큼이니깐 구독자는새콤이요
라임맞추려면 시큼이 맞는데 쪼오금 애매하니깐 새콤이 귀엽고 방범업체 생각나구 여러의미로 좋은거같아요",5.0,1년 전(수정됨)
34,userhq8wf7rp7y,"바블리 : 바다 +러블리!!
상은언니 동생들은 모두가 다 사랑스러운 존재이길 바라면서!!! 좋은 댓글만 쓰구 좋은 영향만 끼치는 존재가 되길요!!",1.0,1년 전
35,userwn8wm4bm5b,"꺄아아 소싯적 나만알던 피치베리가 이렇게 크고 구독자3만명이라니~~ 너무뿌듯해요 
저는 애칭은 1. 상은언니를 따르는 동생들 ‘막둥이들’
2. 희동이! 둘리에나오는 아가의 상징이자 언니의 배움을 받아야하는 존재로서, 상은의 ‘은’밑이 ‘동’인것도 의미하는 희동이요~~~~",1.0,1년 전
36,kangrosy7165,"3만명 너무 축하드려용~~~
상은언니 = 은언니 = 은갈치 어때용 ㅎㅎ
좀 코믹한 애칭도 좋더라구요>.<",2.0,1년 전
37,userwq3ty4pt6k,상둥이 🫶  상은언니의 사랑둥이같은 느낌으로다가 ㅎ ㅎ ,3.0,1년 전(수정됨)
38,sanya6407,"구독자 만명도 안될때부터 구독했는데 벌써 삼만이라니  축하드려용 🫶 저는 담백하게 ‘동상’이요!! ㅋㅋㅋ 상은언니-상은언니’동생’ 느낌인데 약간 사투리처럼+상은언니의 ‘상’ 넣어서 귀엽게 동상들~~ ㅋㅋㅋ
그리고 영상에 나온 브러쉬들 정보 궁금합니다ㅠㅠ!!!",1.0,1년 전(수정됨)
39,nahi3221,축하드려요 언닝..ㅎㅎ드뎌 애칭을ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ상상이들 어때요?!!! 입에 촥 붙어용,1.0,1년 전
40,eunheejung5625,"로즈님들~로즈 어때요? 상은님하면 떠오르는게 갠적으로 꽃중에 장미거든요. 레드드레스,레드립도 잘어울리고 세련된 도시적인느낌? 장미에 가시가 있어서 다가가기 어렵지만 한편으론 대표적인, 대중적인꽃이고 흰색,핑크색 장미컬러에따라 순수와 여리함도 공존해요~(결론 카멜레온같은 상은온니ㅎㅎㅎ️)",1.0,1년 전
