,youtube_id,comment,like_num,comment_date
0,hamster4616,저도 스그는 발매 초기에 리셀로 사서 소장하다가 가격이 오르길래 팔았었는데 최근 떡락해서 초기에 샀던 리셀가보다도 저렴하게 다시 들였습니다. 저렴하게 산 덕분에 바로 파워 실착 중이지요ㅋㅋㅋㅋㅋ,23.0,11개월 전
1,useroi2zh9nw9o,"상자님 잘봤습니당 제가 조던1하이를 255신었을때에 새끼발까락발볼이 진짜아아아아주쪼금 압박이 있어서 담부턴 미드,하이는 260살려고 하는데요..예전에 짐레드영상에서도 가죽재질에따라서
착화감이 차이가 있다고 하셨기두하고 요번영상도 그렇고  근데 걸을때에는 뻣뻣한 가죽차이가 있을지언정 가만히 있을때에 발볼은 하이가 편하면 미드도 똑같이 편할려나요?키가작아서 사이즈업하는게  부담스러워서요 ㅠㅠ",4.0,11개월 전
2,ljk99667,아 요즘 정말 신발들 구매하기는 좋은 가격대가 온것같습니다. 두 제품 다 사고싶지만 있는거나 잘 신으려고합니다 .ㅠㅠ,25.0,11개월 전
3,momthoketchupthief,"신다보니 하이에 손이 더 가는건 맞지만
미드여도 스그는 존예....범용성 범고래급
어디에다 신어도 어울림ㅋㅋㅋ",10.0,11개월 전
4,superkorea,정가 초과해서 구매하는건 별로라 인기없어도 다른색 신거나 타협하는데 이건 예쁘네요,4.0,11개월 전
5,jypee,소신발언~ 하면서 하는 얘기들 구구절절 팩트 ㅋㅋㅋㅋㅋㅋ 요즘들어 더 재밌고 유익한 채널이 되어가는듯합니다 ㅋㅋㅋㅋㅋㅋ,5.0,11개월 전
6,upen,"전 미드 짐레드 16만원에 사서 잘 신고다니는데
소름돋는건 제 친구가 영상에 나온 저 회색 조던
비싸게 주고 사고싶어했었다는... ㅋㅋㅋㅋㅋ",3.0,11개월 전
7,jsjang3720,"ㅇㅇ ... 범고래 포스 요번에 구해 보려 했는데 
순삭 당했어요...
일본 나이키 들어가보니 아직도 남아 있던데... (아니 일본은 포스고 뭐고 왠만하면 울 나라 처럼 순삭 당하지 않는...)

한국이 나이키 정말 잘 팔리는 것 같아요...",3.0,11개월 전
8,userpi6zc3cn8u,상자님 리뷰 한 신발보다 신고 오신 신발이 더 이뻐요 ㅎㅎ,2.0,11개월 전
9,hgsfgd,짐레드 색상 실물이 넘 아쉽더라구요 좀  색빠진 느낌 주황색 로고도 별루고ㅠ 그나저나 와 라이트스모크 그레이가 한때 70까지 갔었군요 ㄷㄷ 거의 다크모카급이네요 ㅎ,2.0,11개월 전
10,yadooon,이거 60주고살려다가 뉴투파 45주고 샀는데 진짜 판단 레전드였네...,2.0,11개월 전
11,jordanchewinggum,영상퀄이 날이갈수록~ 좋다~,3.0,11개월 전
12,2gin,ㄹㅇ 미드가 리셀이 되는게 충격이었지 ㅋㅋ 지금 이 가격도 솔직히 이해안되는데,24.0,11개월 전
13,userbi8lo7qo5p,스모크 그레이랑 컬리지 그레이랑 고민하고 있는데 어떤게 더 범용성이 있을까요? 가격은 2만원 차이라서요 고민이네요,0.0,10개월 전
14,usercc3dd2nn9f,"와 이거 가격 겁나 내려왔네요 60 70일 때 엄청 사고 싶었었는데,,,",1.0,11개월 전
15,flyhigh3343,그냥 터무니 없이 비싸면 안 사는게 상책인듯 해요,0.0,11개월 전
16,XL275,왜또 하셨나했더니 재영입하셨군요 ㅋㅋ 야외촬영도 좋네요! ,1.0,11개월 전
17,userpx1qn1rh7e,전 상한가에 팔았어요 ㅋㅋㅋ 사놓고 개봉도 안한 상태에서 까먹고 있다 어 이거 왜 올랐지 하고 찾아보니 있어서 팔았어요 ㅋㅋㅋ 왜 그때서야 기억났는지 실착하려 샀었는데,8.0,11개월 전(수정됨)
18,usernj5mu4iq5e,존버하다 스그 19에 샀는데 근본없다뭐다해도 솔직히 개예쁘고 싸게 잘 신고 다님ㅋㅋㅋㅋㅋㅋㅋㅋ,1.0,8개월 전
19,Idontlikechinahn5pf,중국사는데 너무 과장해서 얘기하시는 거 같네요 ㅠㅠ 저 신발 중국에서도 구하기 꽤 어려워요 리셀로 구매해야됩니다!,3.0,11개월 전
20,jepufry,상자형 리뷰가 젤조앙,2.0,11개월 전
21,userjd6br5ty3i,"소신발언!덩크 하이, 조던 미드는 인정못해!",2.0,11개월 전
22,garisani186,"국내도 스니커즈 앱 나올 때 재출시 되길..!
* 오타 제보: 7:43 감소 -> 감수",2.0,11개월 전(수정됨)
23,i185hdrrhiiib,"그레이랑 덩크 그레이 고민하다....
덩크샀는데..3배뜀..아놔",1.0,11개월 전
24,papayalove28,"요즘 미드가 색감이 이쁘더라구요 ㅋ
저는 리버스 모카 하루 신고 새끼 발가락에 물집 집혔었어요 ㅡㅡ 역시 조던1..",2.0,11개월 전(수정됨)
25,msymsy9588,조던 처음 입문했던 신발이네요 스그 ㅋㅋ 21인가 주고 크림에서 삿던 기억이,0.0,10개월 전
26,usersq8im2ku1f,스모크그레이 비싸서 앤트러사이트 샀었는데 이젠 가격이 비슷해졌네요,1.0,11개월 전
27,blackblackdw4dk,이래서 가격 떨어질거 생각하면 하이사는게 이득인거 같음...,0.0,10개월 전
28,userru3ex7lo6d,드디어 대리셀시대가 끝이보이네요,1.0,11개월 전
29,willfefaith,ㅋㅋ재밋는 스토리 이맛에 스니커질하죠,0.0,11개월 전
30,carpediem3429,와 미드가 70이 넘었었다고? ㅋㅋ,1.0,11개월 전
31,usergl9rf5rz1o,제 사이즈 기준 현재20만7천원.. 50할때 살까말까 하다가 미드인데 너무 비싸서 안샀는데 홀린듯 구매..,1.0,11개월 전(수정됨)
32,userjz1sw9xd7z,"헉,,,,제가격을 찾은 느낌으로 돌아왔네요,,",1.0,11개월 전
33,dzz9840,애초에 저건 떡상할 신발도 아니고 대한민국은 유행 컬러 트렌드에 민감할뿐 아직 멀엇어 대한민국은.  영상 말대로  가격을 형성 하던 중국에서도 조던은 이제 버림,0.0,11개월 전(수정됨)
34,Ruudxu4nn,군화 신발 270 신는데 스그 270이면 안될려나요..?,0.0,10개월 전
35,userwk1qp4kw2j,다시 리셀 올라 갈 확률이 있을가요?,1.0,11개월 전
36,usernx9wg3hr5v,대 무지성의 시대..,6.0,11개월 전
37,userwe6qd7sg7z,저걸 90주고 산 사람은 뭘까,174.0,11개월 전
38,lIlIIIIIll,Og고 미드고 모르겠고... 천연가죽 만져보면 인조가죽 못신겠음...,1.0,11개월 전
39,hkim2652,미국에선 usc라고 하더라고여 그 학교 색깔이라,0.0,10개월 전
40,sjpark340,이젠 나이키시대가 가고있는거겠죠...ㅠ,1.0,11개월 전
41,onesushistewplz,곧 클론될거 같네요..,0.0,10개월 전
42,seonwoopark4272,아 몰라 신발은 편하고 움직이기 좋은게 최고지 ㅡㅡ > 신다보니 기왕이면 이쁜거 신고 싶네.. 근본? OG? 그런건 관심없고 이쁘면 장땡 > 신다보니 근본인 이유가 있네.. 역시 이 정도 신어줘야 근본이지 > 신다보니 이것도 질리고 하.. 되팔까.. 걍 내 눈에 이쁜게 최고네 역시 > 아 몰라 신발은 편하고 움직이기 좋은게 최고지 ㅡㅡ > ...,6.0,11개월 전
43,usergn1kp8rm5z,"싸구리 가죽과 인조가죽로 된 미드 따위를 뭐하러 재구입하셨나...
미드 따위에 23만원을 태우다니 ..돈 아깝..",0.0,2개월 전
44,usercm1qj1dm2k,하..스모크 그레이 그거 발목 검정인거 샀는데 내가 사는거만 떡락이고 유행 지나고 ㄹㅇ 개빡침 징크스 ㅇㅈ?,0.0,11개월 전
45,userjl8ye6zy8z,그제 하나 질럿드랬죠.ㅋㅋ,0.0,11개월 전
46,sonsungwoong,흔 저걸 70이라..,0.0,11개월 전
47,userxn1ij8sd1f,이 신발 이제 구매할만 하나요?,2.0,11개월 전
48,raekyung,지금 크림가 18만원됨..ㅋㅋ그레이,0.0,9개월 전
49,userul1cl8lc6i,스모크그레이 지금 똥값이네여ㅋㅋㅋ,0.0,10개월 전
50,userwp3zd1he8u,득템 나이따,1.0,11개월 전
51,sttay,오늘 18만원에 삿네요 ㅎㅎ,1.0,10개월 전
52,userfx2nl3ch3p,이걸 떡상하다 떡락했네,0.0,10개월 전
53,2345pok,거품이 엄청나게 빠졌네요,1.0,11개월 전
54,usergl9rf5rz1o,워 진짜 언제 이렇게 떡락했지?,2.0,11개월 전
55,xxlf3kn,행님 상의하의 이쁩니다 정보점요,1.0,11개월 전
56,Dawn93,리셀붙는신발은 쳐다도 안봄,1.0,11개월 전
57,userll5rp3vb2r,상자형 지금 신고있는 신발뭐에요? 알려주세요,1.0,11개월 전
58,gunlee1422,미드의 시대는 갔다,2.0,11개월 전
59,TVsg3qw,이거 또 가격뛸일이 있을까요?,2.0,11개월 전
60,userbw1wi7vd6d,60주고 샀는데…,0.0,10개월 전
61,oopswow,애초에 미드는 근본이 아님,0.0,11개월 전
62,useryd1wj4jp2j,지금 신고있는 신발 뭐에요??,1.0,11개월 전
63,userxj7xx2mg1r,피고래ㄷㄷ,1.0,11개월 전
64,userhe7gb1kr9q,ㅠㅠㅠ,0.0,11개월 전
65,userww5mw6ns4r,니면상도 차이나스러워용~짐레드굿,0.0,10개월 전
66,userdz1es1rm5q,조회수1 못참취~,1.0,11개월 전
67,jinwookkang9493,일반인같내,0.0,8개월 전
68,useryb7jo1li8j,28에사세 40에 팔았는데 개꿀,2.0,11개월 전
69,dragong8971,살수있는 사이트 아시는분 링크 부탁드려요,0.0,11개월 전
70,supremelee940,저딴 말같지도않은 모델을 돈주고 사는게 근본없고 조사력이 없단거다,1.0,11개월 전
