,youtube_id,comment,like_num,comment_date
0,haileylee4280,코옆이랑 얼굴 전체적인 붉은기가 진짜 가라앉고 피부 완전 좋아지셨네요~안그래도 EGF 제품 궁금했는데 한번 써봐야겠어요!,2.0,10개월 전
1,whykikibf8hm,오ㅏ.. 효과 대박아닌가 ; 광고라도 제대로 써보시고 리뷰해주시네욤ㅠㅠㅜ 이번에도 믿고 한번 써보겠슴돠!!,2.0,10개월 전
2,boreumdal,뉴트럴톤 화장 많이 많이 부탁드려요~ 밝고 소프트한 느낌으로 하면 좋대요! (이제껏 여름뮤트 가을뮤트로 살았는데 큰일이에요 ㅠㅠㅠㅠ),1.0,10개월 전
3,HIce7jg,"새얀님 영상 잘 봤습니다!
저도 붉은 피부에 민감성 피부 인데요 ㅠㅠ 지금은 염증성 알레르기도 올라오고 그러네요~
새얀님 추천 받고 바이애콤 써보려 하는데,
퓨어 카밍 앰플이랑 EGF 앰플은 어떻게 다를까요?!
혹시 더 추천하시는게 있을까요!!",1.0,10개월 전
4,boreumdal,브러쉬 너무 좋아하는데!! 고민되네요오오오옹 ️️️️,2.0,10개월 전
5,userbj8qc9te1v,새얀님 너무 멋져요,2.0,10개월 전
6,userny1ik1ox7m,저도 샀어요 좋아요 특히 앰플 좋아요ㅎㅎ,0.0,8개월 전
7,userch5ol1el6q,렌즈 정보도 알려주세요!,3.0,10개월 전
8,maspqnmn7070,건성 민감성도 잘 맞을까요?? 여드름은 잘 안나고 건조 + 홍조 피부에여ㅠㅠ! 새얀님 피부 타입 뭘까요?,2.0,10개월 전
9,userqx7ic2te5r,온ㄴㅣ 다른 색조템들도 ㄷ ㅏ 알려주세용..🫶,2.0,10개월 전
10,Kaylin,화농성 여드름에도 좋나요..,1.0,10개월 전
