,youtube_id,comment,like_num,comment_date
0,jessie3286,오늘 너무 예쁘신거 같아요! 히히. 트윌리는 진짜 은근 활용도 높고 겨울에 은근 보온성도 좋아요. ㅎㅎ 겨울되면 최애템♡,3.0,9개월 전
1,raheeliulee,Happy 8th wedding anniversary Sungmin & Saeun!!  Love U both ,1.0,9개월 전
2,SitiKumiko,You didn't post on instagram like previous years so I will wish you here... happy wedding anniversary Shan and Liu ,0.0,9개월 전
3,userxh8bg9yj6m,언니보니 진짜 성탄절이 코앞인게 실감나네요ㅎ,3.0,9개월 전
4,userhn6yx5tx7q,늘 잘보고 있어요~ 가격도 적어주시면 더 좋을것 같아요ㅎㅎ,3.0,9개월 전
5,useryc8nz3fl9j,아아아아악 입으신 옷 정보도 궁그매요..,3.0,9개월 전
6,sumi2629,역시 향기추천은 여기가맛집이지~,2.0,9개월 전
7,userui6dg5je4e,믿고 보는 향토끼언니,0.0,9개월 전
8,userzy6kd2hj9q,샨토끼님 너무 예쁘십니다,2.0,9개월 전
9,userje4hq1el1u,이정도면 향토끼~,6.0,9개월 전
10,dandelionlily,산타마리아 노벨라 꼭 사 봐야겠어요..,2.0,9개월 전
11,SitiKumiko,Are you a first daughter? You give that feeling  anyway merry christmas~~~,0.0,9개월 전
12,jaquelinmedina1644,Shantokki pretty ,0.0,9개월 전
13,jaeheeo3o,"선물템 좋디좋디요
이렇게 보다가 나에게 선물도하고ㅋㅋㄱㄱ",2.0,9개월 전
14,raheeliulee,,0.0,9개월 전
15,alecia2023,Hello Shantokki! I love you!! :),0.0,9개월 전
16,ppappiyongs,깡총!!,1.0,9개월 전
