,youtube_id,comment,like_num,comment_date
0,jessie3286,영상 감사해요 ㅎ 웨메 사기에는 뭔가 아쉽거 그렇다고 안 사기에는 또 아쉬웠는데 비교 너무 감사해요♡,3.0,3개월 전
1,alee9731,해외 살아서 한국에 들어가면 늘 화장품 쟁여서 오는데 샨토끼님께서 이렇게 좋은 정보 알려주셔서 넘 좋아요 늘 감사합니다,2.0,3개월 전
2,usereu7hx6xd8j,"언니소식 기다렸어요~
오늘도 너무 예쁘군요.
여름쿠션  넘 좋아요.
또 사야죠~^^  고마워요 ",4.0,3개월 전
3,userwx2yg6wu6u,언니 너무너무 예뻐요 여름쿠션 살때 도움되겠어요 잘봤어요,4.0,3개월 전
4,usernh9tk8wp2s,언니 제가 얼마나 기다렸는지 알아여ㅠㅠ이제라도 영상올라와서 다행이당 ㅠㅠ,5.0,3개월 전
5,userch3zv9cx9h,건성이라 힌스 글로우 쿠션 썼다가 땀땜에 다 지워져서 고민인데 매트쿠션쓰면 또 건조해서 뜨더라구요 ㅠ 파우더도 해봤는데 저한테는 건조하더라구요 에스쁘아 벨벳은 커버력은 괜찮은데 지속력이 별루라 쿠션 뭘 써야할지 고민이네요 ㅠㅜ,0.0,2개월 전(수정됨)
6,o33ochap,오홍 .. 에스쁘아.ᐟ 낼 올영갈건데 아주아주 제대로 참고하겠습니댜.. 샨토끼님 추천으로 산건 매번 실패란게 없네요 진쨔로요... ෆ ෆ,5.0,3개월 전(수정됨)
7,yunjoojin7107,앗 저도 하나 쿠션 다시 또 사야지 하고 있기만 하고 알아보지 않았는데... 에스뿌아로 고고 !!!! ,2.0,3개월 전
8,userhh5dj1jb2p,얼굴에여드름자국이많은데에스쁘아쿠션생각해봐야겠네요!언니생얼도이뻐요!^^,3.0,3개월 전
9,ppappiyongs,깡총!!!! 샨토끼 타임!!!,5.0,3개월 전
10,userzy6kd2hj9q,쿠션 리뷰 잘 볼게요,4.0,3개월 전
11,Chogusungwife,?.. 19호요?? 대박 피부 하얘지는 법 같은 건 없을까요,0.0,3개월 전
12,smls4921,,0.0,3개월 전
13,3gt2,English please ,1.0,3개월 전
14,akinuakinu2087,,3.0,3개월 전
15,jaquelinmedina1644,Shantokki,2.0,3개월 전
