,youtube_id,comment,like_num,comment_date
0,userse5hh7bo3q,"안녕하세요 소리쌤입니다!
요즘 잔머리 스타일링 안 하고 다니시는 분들 없을 정도로 많이 하고 다니시죠? 그래서 제가 얼굴형에 맞게 정말 쉽고 예쁘게 연출하는 법 준비했어요~! 애교머리 더듬이 머리 등등.. 생각보다 너무 간단하고 쉬워서 별거 아닐 수 있으나,, 몰랐던 방법도 있을 수 있으니!? ㅎㅎ 끝까지 봐주세요~ 긴 얼굴형 이신분들, M자 이마이신 분들 도움 많이 되실거라 믿어요~

감사합니다!!



01:00  1. 생머리 더듬이
02:06  2. 볼륨 더듬이 
06:29  3. 앞머리인듯한 잔머리
09:55  4. 시스루 앞머리
13:24  5. 베이비 펌 스타일 




^^*",6.0,1년 전(수정됨)
1,useriy1ju3wj1x,와... 이렇게 하나하나 진짜 사소한 것까지 완전 디테일하게 알려주시는 분 처음봐요... 대박,2.0,4개월 전
2,userxe5wz2ch3o,잔머리 스타일링 한 번에 모아볼 수 있어서 너무 좋아요!! 매번 쉽게 스타일링 하는 법 알려주셔서 감사해요,4.0,1년 전
3,useryn7gm6cc9h,역쉬 소리쌤 쵝오입니다!! 다른 디자이너들에게도 영감을 주시내요!! 디자이너들을 위한 클래스 개설해주세요~~~,4.0,1년 전
4,ddo4592,우와 설명 너무 간단하고 좋아요 ️️ 감사합니다,1.0,7개월 전
5,userxv2yf3br8e,"소리쌤 진짜 금손,,, 뚝딱뚝딱 머리 진짜 잔머리로 다양한 스타일 만드시는거 신기해요",4.0,1년 전
6,useryg5tm6km1i,와 잔머리 표현으로 느낌이 다 다르네용 신기 +_+ 좋은영상감사합니다! ,5.0,1년 전
7,userez9rc3tu6v,진짜 금손.. 너무 꿀팁이라 다른 영상도 정주행중입니당 ㅎㅎㅎ,1.0,6개월 전
8,userxd6us1kg4p,머리 묶는 영상 보고 쌤 채널 구독해서 보는데... 최근 영상보고 다른 사람인가? 긴가민가? 해서 몇개 더 돌려봤어요..ㅠㅠㅠ 쌤 건강관리 잘하셔요...ㅜㅜ 건강 잘 챙기셔서 영상 오래오래 올려주셔요 ~~~~,2.0,6개월 전
9,userop3oi8ec3c,꿀팁들이 너무 많은 영상인데용 !! 한 번 도전해봐야겠어요 ㅎㅎ,2.0,1년 전
10,sungjoonkim2048,"오랜만에 왔는데, 넘 말라지신것 같아요
지금도 아름다우시지만, 이전이 훨씬 더 이쁘셨던 것 같아요
다이어트 넘 많이 하지 마세욤~~충분히 이쁘세요!",3.0,1년 전
11,eus2j,앞머리투혼!!! 너무 잘봤습니다^^,0.0,4주 전
12,userxd6nx3pg6q,스프레이 무슨 제품인지 알려주실수있나용? ㅠㅠ,0.0,11개월 전
13,userdm2gd2kn3j,제가하면 그냥 떡진머린데 소리쌤은 너무 아름다워요!!,0.0,1년 전(수정됨)
14,nyk7141,고데기는 어떤 제품 사용하셨어요??,2.0,1년 전
15,LEEfj7jk,살이 너무 빠지셨어요 ㅠㅠ 많이 아프셨나봐요 잘챙겨드세요 영상감사합니다,8.0,1년 전
16,yun4346,오늘첨봤는데 머리스타일링영상만올리는건가요?아님 샵도 같이 하시는지 궁굼합니다,0.0,3개월 전
17,userqt4vf5ti4d,쌤 살진짜많이빠지신것같은데 다이어트영상찍어보시는건어때요???♡♡응원합니다,2.0,1년 전
