,youtube_id,comment,like_num,comment_date
0,ACoreanaBeauty,"https://www.bycos.com.br/
A Bycos está oficialmente lançada!
(Produto vegano, natural, Pracaxi o ingrediente da Amazônia , limitado e único no mundo ""BYCOS"")
-바이코스 제품 구매
(아마존 원료 쁘라까쉬, 비건, 자연주의, 세상에 하나밖에 없는 스킨케어 *한국 배송 가능
http://pf.kakao.com/_qlJxfxj",13.0,10개월 전(수정됨)
1,andreacavalcanteac,Pele maravilhosa! Tomara que um dia esses tratamentos e cuidados coreanos com saúde e beleza cheguem ao Brasil e se tornem acessíveis a todos.,36.0,10개월 전
2,tatysouza6421,"Deveria ter esse tratamento no Brasil, adorei!!!",1.0,8개월 전
3,claudiosr1en,"Nossa Soyeon, todas as coreanas tem pele assim tão perfeitas ? Incrivel ! Fantastico como fazem - eu diria - o check up, facil, facil, só um sorinho de vitaminas... país serio é outra coisa mesmo.. estão de parabens !!! fantastico !!",10.0,10개월 전
4,iasmwn5739,Amei como a moça das vitaminas é super sincera e tem uma pele maravilhosa ,4.0,10개월 전
5,mayladossantos4210,"Soyeon faça um vídeo falando sobre exercícios como:yoga,pilates,por favor!",12.0,10개월 전
6,martajanetemachado4798,"Nossa que incrível por isso que vocês da Korea yem essa pele maravilhosa ,preciso dessa vitamina no meu sangue. ",1.0,9개월 전
7,ELILTA,"Brilliant video, can you please make a video for teenagers into skincare but have no products at all? Thank you.",32.0,10개월 전
8,mari3793,Simplesmente amei o resultado,7.0,10개월 전
9,oakasis,"Thank you for sharing! Your skin looked amazing after the LHA La Fill treatment, I wish we had this in the US. Please continue sharing more about treatments to get in Korea, I would love to try when I visit!",0.0,10개월 전
10,Priska08,Ficou ótimo o resultado ️,2.0,10개월 전
11,karinafirmino3568,"Soyeon, a Senhora da clínica compartilhou as dicas da pele dela? Conta pra gente ",2.0,10개월 전
12,emmal3080,Deseo probar distintos tipos de tratamientos para la piel como tú  ♡,0.0,10개월 전
13,mauriaraujo1994,Da muito trabalho cuidar da pele MAS e isso que conta afinal🇰🇷🇰🇷,9.0,10개월 전
14,soniagarciamartinez6002,Que tratamientos tan buenos y eficaces. Aquí en España no existen esos tratamientos y la atención allí en Corea es maravillosa. A mí me daría miedo hacerme la inyección,2.0,10개월 전
15,soumyasagarika1628,I love your channel. You make me wanna take care of my skin. Love from India🇮🇳,2.0,10개월 전
16,IslaSaiure95,Ameii! Tem alguma coisa parecida aqui no Brasil? Ou algum lugar que você indica que talvez faça?,0.0,10개월 전
