,youtube_id,comment,like_num,comment_date
0,soytube,"안녕하세요 소신이들
우선.. 입이 돌아간(?) 관계로 목소리만 출연한 점 양해 부탁드립니다 ㅠㅠㅠㅠ(저도 넘나 속상..)

오늘은 피부과에대한 막연한 두려움으로 
아예 시도조차 못 하시는 분들을 위한
'좋은 피부과 찾기' 기초 가이드 영상을 만들어봤어요!

추가적으로 저같은 경우에는,
가기전에 전화를 먼저 돌립니다
특히나 미용시술의 경우에는 정확히 내가 원하는 니즈를 말하고,
너희 병원에서 이것을 해결해줄 있는 방법이 있는지
시술 전 원장님 진료를 원하는데 가능한지 등등 
확실하게 체크하고나서 방문해요
직접 여러 병원을 왔다갔다 상담받으러 다니는 건 저도 솔직히 조금 부담스럽더라구요..

여러분도 너무 겁먹지 마시고, 휘둘리지말고.
내가 원하는 부분만 확실하게 얻어오시길 바래요


인스타 www.instagram.com/soyisland_",30.0,6개월 전
1,useryi3rf7ji3l,영상 길이는 짧은데 피부과 선택에 도움되는 내용이 정말 알짜배기로 가득 차 있네요. 내공이 장난 아니신듯합니다. 의료도 쇼핑의 시대라는데 목적에 따라 방문할 병원을 달리해야 한다는 내용에 절로 고개를 끄덕이게 되었습니다. 특히 특정 지역이나 병원을 편향되게 추천하는 것이 아니라서 더 신뢰가 갔고요. 앞으로 피부과 갈 일이 생기면 꼭 말씀하신 내용 참고하겠습니다. 유용한 내용 잘 보았습니다.,0.0,5개월 전
2,userer8gj7jb6d,"구체적으로 어떻게  피부과를 결정해야 하는지
상황에 따라 나누어 설명해 주셔서 너무 도움이 됩니다.
바로 써먹을 수 있는  실질적인 방법이라 너무 좋았습니다.
약간 응용하면 다른 진료과 병원을 고를 때도
사용할 수 있을 것 같아요.",0.0,5개월 전
3,userlq9tm3yi7n,"평소 피부과에 가 본 적이 거의 없는 사람이긴 하지만, 영상에서 안내해 주는 내용은 매우 유용하다는 생각이 듭니다. 무엇보다 피부과에 가는 이유가 보험진료 목적이냐 피부 미용 목적이냐에 따라 적당한 병원 찾는 방법을 너무나도 상세하게 알려주시네요. 그냥 모두가 비슷해 보이는 병원들인 것 같았는데 이렇게 분류가 가능하다는 것이 놀랍기만 합니다. 치료를 목적으로 가는 것과 미용을 목적으로 가는 것은 큰 차이가 있는 것이니 아무래도 목적을 효과적으로 달성할 수 있는 병원을 찾는 것이 절대적으로 필요하지 않을까 싶습니다. 특히 치료를 목적으로 가는 경우는 더더욱 목적에 맞는 병원을 찾는 것이 필요할 텐데, 영상에서 알려주시는 내용이 정말 좋은 지침이 될 것 같습니다. 피부과 의원이라고 적혀있는 병원 찾기, 의료진 프로필을 통해 경력 있는 원장님 찾기, 홈페이지 정보를 통해 치료 전문인지 학인하기 등 모두 고급 정보를 알려주시는 것 같습니다. 그리고 피부 미용을 목적으로 하는 경우에도 방문자 리뷰가 많은 곳, 홈페이지에서 원장님의 실력을 확인할 수 있는 방법, 피부 미용에 적절한 원장님 찾는 방법 등 유용한 정보를 알려주시네요. 이러한 기준에 따라 병원을 찾게 되면 그만큼 후회할 일이 줄어들지 않을까 기대됩니다. 좋은 자료 정말 감사합니다.",0.0,5개월 전
4,ssongkv4bd,"정말 공감되는 영상입니다!
병원. 특히 피부과는 정말 선택하기가 너무나도 어렵습니다.
소중한 피부를 아무나 한테 맡길수도 없고, 그렇다고 큰 비용을 무작성 들일수도 없으니까요
그런면에서 영상에서 말씀하신 후기 사진은 물로 경험많고 디자인감각있는 젊음분이 정말 정답인거 같습니다.
정말 극 공감됩니다^^
생활에 도움되는 좋은영상 감사드리며 앞으로도 좋은영상 기대할께요~~",0.0,5개월 전
5,uservc4ek7ux5k,"오오 3분 정도 영상이지만
3분이었는지도 모를 만큼 좋은 의미에서 길다면 길고 짧다면 짧다고 느낀 3분이었습니다.
그만큼 내용도 군더더기 없이 알차고 구성도 좋고 흐름도 흡입력있고 정말 잘 만드신 것 같아요.
 
사실 저는 남자라서 미용 시술 같은 것에 관심이 없는데
내용을 들어 보니 피부과를 찾을 때 정말 딱 필요한 판단 기준을 제시해줘서 정말 유용할 것 같습니다.
굳이 피부과가 아니더라도 비슷한 의료 니즈를 충족해야 할 때 참고하면 될 것 같아요.
 
특히 일반적인 피부 질환 치료나 관리가 목적인 보험 진료와 쁘띠 시술 등 미용 진료로 나누어 
각각의 특징별로 어떤 병원을 찾아가야 하는지를 정말 명확하게 설명하주시는 것 같네요.
 
들으면 딱 이해되고 외우기도 쉽게
* 보험 진료: 전문의, 원장님 경력 확인 (실력, 경력, 경험이 중요)
* 미용 진료: 전문의 여부 무관, 방문자 리뷰 많은 곳, 후기 사진 확인 (경력 보다는 젊고, 미적 감각이 있으신 분)
완전 딱 떨어지네요!
 
여튼 소의튜브님 미용쪽에 조예가 있으셔서 그와 관련된 정보와 지식을 진짜 맛깔나게 잘 전달하시는 것 같은데,
차후에 다른 분야도 공부하시고 경험하신 것을 풀어내시면 그쪽에서도 대박나실 것 같아요.
목소리도 좋으시고, 발성도 좋으시고, 대본 준비하시는 것도 좋으시고!!
정말 재능이 넘치시는듯
앞으로도 계속 좋은 콘텐츠 기대할게요~!",0.0,5개월 전
6,bbbbrii,"최근 손에 난 피부이상 때문에 피부과를 찾아야 하는데 막연한 두려움과 찾는 방법을 누구한테 조언을 받아야 하는지 막막해서 검색을 하던 중 
소의튜브님이 피부과를 고르는 목적과 찾는 방법을 아주 자세하고 친절하게 알려주셔서 저에게 맞는 피부과를 찾는데 많은 도움이 되었어요.
대한피부과의사회에서도 전문의 인지를 알수 있군요!
꿀팁 고마워요!!   ^^",0.0,5개월 전
7,userox8oj1ij6w,저에게 정말 중요한 영상! 어릴때부터 여드름으로 고생했는데 성인이되어도 성인 여드름이 꾸준히 나더라구요. 이럴때마다 어느 피부과를 갈지 무작정 찾아가야하는지 아프진 않을지 걱정으로 쉽게 발이 떨어지지 않았는데 일단 홈페이지부터 방문 해야겠어요! 왜 이 생각을 못했는지.. 그리고 담당 원장님 잘 고르는 팁도 알려주셔서 감사합니다! 유용해요!!!,0.0,5개월 전
8,userqs3vf1sr9h,"마침 오래 다니던 피부과에서 새로운 곳으로 옮겼어요! 전에 다니던 곳은 지인에게 소개 받았던 곳이고 가격이 합리적이어서 다녔던 곳인데,, 주사피부염인걸 모르고 저에겐 좋지 않은 방법의 흉터 시술을 해주셨었더라구요,,, 
새로 옮긴 피부과 원장님은 누가봐도 여드름 및 흉터 치료에 진심이시고 블로그에 직접 그림 그려서 장단점이나 원리 설명하셔서 포스팅 하시길래 냉큼 갔습니다!!! 장비에도 투자를 아끼지 않으시는 분인 것 같아서 이번 병원에서는 오랜기간 달고 살던 여드름과 새롭게 알게된 주사피부염을 완치시키고 싶어요ㅠㅠ
워터타입 클렌저, 쿨렌징오일, 아하바하, 닦토 금지 당했는데 다행히 소의님 덕분에 클렌징워터 거품용기에 담아서 쓰는 방법을 알고 있어서 오일 클렌징을 포기할 수 있겠어요…. 
항상 좋은 정보 감사합니다 ",8.0,6개월 전
9,film2161,평소 대한피부과의사회 들어가서 늘 피부과 찾아보고 가는편인데 유용한 도움되는 다른 정보들도 많아서 도움많이됐어요! 최고최고 ㅎㅎ,3.0,6개월 전
