,youtube_id,comment,like_num,comment_date
0,soytube,"여러분 추석연휴 잘 보내셨나요~~
저는...... 많이 먹고 많이 자서 살이.. 쪘어요 ㅎ_ㅎ/
아무개와 네이트판 현실토론은 정말 필터없이(편집을 하긴 하지만) 나오는 이야기들이라서
조금 불편하신 분들이 계실 수 있는데
생각의 차이라고 생각해주시고 재미있게 봐주셨으면 좋겠습니다

타임라인
00:10 사연1. 결혼하면 그놈이 그놈이라는 말ㅋㅋㅋ 
03:37 사연2. 데이트비 비슷하게 내는 여자들은 자존심도 없고 외모 부족 남미새 많음
08:51 사연3. 스스로하면 될 것을 vs 분위기 좀 맞춰주면 될 것을 
 
지난 영상 보기
남편과 네이트판 현실토론...1탄 https://youtu.be/5Dyy5fOUB7o
남편과 네이트판 현실토론...2탄 https://youtu.be/R2bn-zjQ7W8
남편과 네이트판 현실토론...3탄 https://youtu.be/68SOJ1cR4_Q
남편과 네이트판 현실토론...4탄 https://youtu.be/SyyvplW4hW4
남편과 네이트판 현실토론...5탄 https://youtu.be/RNMBZVcsMB8
남편과 네이트판 현실토론...6탄 https://youtu.be/UBVxcwWGBbg
남편과 네이트판 현실토론...7탄 https://youtu.be/jWEk0ZbfuUQ
남편과 네이트판 현실토론...8탄 https://youtu.be/So4T78CPcEM
남편과 네이트판 현실토론...9탄 https://youtu.be/Sk_82h-6j3c

소의 인스타 www.instagram.com/soyisland_",13.0,1년 전
1,smink1023,"이렇게 달라도 어느 지점에서는 잘 맞는다는 게 정말 찰떡궁합쓰..♡
이렇게까지 오래 시리즈물로 나왔다면
어디 피디님께서 연애코멘트예능 같은 데라도 섭외해주셨으면ㅎㅎ 연옌분들이 대본에 맞춰 코멘트하시는 것보다도 더욱 현실성 있어서 좋다구여",1.0,1년 전
2,zez,영상에선 모자이크신데 썸네일에선 얼굴이 너무 잘 보여요..!,127.0,1년 전
3,ninataetie,이 컨텐츠 너무 좋아서 꼭 챙겨보게되고 만나는 사람한테도 너는 이거 어떻게 생각해? 이렇게 물어보게 됨 ㅋㄱㅋ 다양한 입장 차이와 각각의 논리 들어보는거 재밌음,6.0,1년 전
4,userxd1kf4xy9j,"남미새 얘기할때, 주체에 따라 글의 포인트가 달라지는 점을 기가 막히게 찝어주시네요 아무개님.. 논리적이어서 멋져요",7.0,1년 전
5,ssunny100,아무개님은 진짜 합리적이고 말씀을 넘 잘하심!!,11.0,1년 전
6,ppassung7217,소의님 과 남편분은 아닌거 같으면서도  천생연분같아요  행복한모습 보기가 너무 좋아요,5.0,1년 전
7,userkp6cy3gj1p,"저는 항상 저 좋다는 사람이랑 어영부영 만나왔고 데이트비용 낸적 없었는데, 잘생기고 똑똑하고 너무너무 착한 이상형을 만난 뒤로는 뭐든 더 해주고 싶어서 퍼줍니다ㅎㅎ 물론 남친도 마찬가지에요. 서로 사랑해서 더 잘해주지 못해서 안달이면 이런 문제는 문제가 아니게 되는 것같아요.",14.0,1년 전
8,seongeun813,ㅋㅋㅋㅋㅋ아 이 툭 끊기는 소의님식 영상 편집 느무 좋아요 제가 젤 좋아하는 네이트판 읽기 ㅜㅜ 기다렸는데 행복..,7.0,1년 전(수정됨)
9,userwv8dv2vt2f,두분다 말잘함 ㅋㅋㅋㅋ 좋은 부부 ,7.0,1년 전
10,usersd2wl5fz9v,말씀을 너무 잘하세여 두분다ㅋㅋㅋㅋㅋ,0.0,1년 전
11,Parkspring,남자분 진짜 말 잘하시네요 배우고싶다,11.0,1년 전
12,sujub,최애컨텐츠다!!! 자주해주세요 네이트판토론️️,8.0,1년 전
13,userev9vx8hm4s,"아 마지막 남편 대박웃기네 ""메인메뉴안시켰는데 배가불러?""ㅋㅋㅋ이말 ㅋㅋㅋ그지 메인메뉴를 안시켰는데 배부르면 나도 화남 ㅋㅋ",0.0,9개월 전
14,codmsxodid,헉 드디어 ㅠㅠㅠ 이 시리즈 너무 좋아요 !!,3.0,1년 전
15,usergc6zs3pg5b,갑자기 끝나는거 너무 웃겨요ㅋㅋㅋㅋ영상 끊긴줄ㅋㅋㅋㅋ,2.0,1년 전
16,l22earthh7,아무개님 진짜 말씀을 어쩜 드저렇게 잘하시나요...,2.0,1년 전
17,selfcheers9846,이런 토크토크 넘 좋아요>.<,0.0,1년 전
18,userxz4ws5pu2r,소의님 저랑 생각이너무똑같아요 ㅋㅋㅋㅋ저번에 isfj라고 하신거같은데 저도거든요 ㅋㅋㅋ 그리고 감정을빼면 안된다는말 너무공감합니다 ㅋㅋ,0.0,1년 전(수정됨)
19,userev7rs4jb6d,"데이트통장이든 더치페이든 여자들은 남자가 잘생기면 자진해서 내줌ㄹㅇ 요즘 여자애들 남자아이돌에 자진해서 선물,돈갖다 바치는것만봐도 알수있지않나?
근데 그게아닌거보면 여자가 돈 내줄정도로 그 남자랑 사귀고싶단게 아닌거. .
그냥 본인이 딱 그정도급이라는거임
매너로 내주는 사람도있겠지만
남자가 아쉬우면 더 내는거고 여자가 아쉬우면 더내는거 이게 맞죠",35.0,1년 전(수정됨)
20,alswl9917,ㅎㅎ 언니 다른얘기인데 언니 너무 오밀조밀하게 예쁘게 생겼어요,7.0,1년 전
