,youtube_id,comment,like_num,comment_date
0,rightvv,솔직 털털하셔서 넘 잼나요 군더더기 없이 담백한 영상이네요 정보 알아보다가 재밌어서 계속 보게돼요 ㅋㅋ 매번 사실적인 정보 공유도 감사해요 떡상하세요,3.0,3개월 전
1,coo190,지방이식 혹시나 절대 하지마세요 ,0.0,1개월 전
2,useryc8nz3fl9j,"자주 올려주셔서 넘 조와용..
와 유튭 보고 병원 정보 알고 싶은건 첨이에오… 급 관심 생겻서요,,,,",1.0,3개월 전(수정됨)
3,usermu7qz2ek6d,시술 자연스럽게 너무 잘된것 같아요! 수도권이라면 혹시 병원이랑 선생님 정보 여쭤봐도 될까요?ㅠ,2.0,3개월 전
4,sssolzzz,"팔자필러 여러분 조심하셔요 
금방 부해보이고 이동하면 광대쪽으로밀려나갈수있어요.
딱 맞고 괜찮아보이는건 한두달
이후로 애매해서 자연스러워질때까지 없어질때 기다리는게 한 일년걸릴수있어요.",0.0,2개월 전
5,userws9qn2fk5v,룩북 찍어주실수있을까요ㅠㅠ 영상 볼때마다 항상 개성있게 입으세요! 유행따라가지않는 자기만의 개성으로 입으셔서 제 스타일이에요,0.0,3개월 전
6,Heomangduck,애교필러 ㅠㅠㅠ 넘넘 예뻐요 메일 드렸는데 답장 꼭 부탁드링게요 ,0.0,4주 전
7,usernl3qw8yd3o,아현님. 8월 30일에 병원 문의 메일 보냈습니다 정보 공유 좀 해주시면 감사합니다,0.0,2주 전
8,useryb6vg3oo4s,팔자필러 정보 너무 알고싶어요ㅠㅠㅠ,0.0,3개월 전
9,arnimkiller733,당신은 너무 멋져요,0.0,3개월 전
10,Kingkong77221,언니 ..... 나 언니가 너무 좋아요 ㅠㅠㅠㅠㅠㅠㅠ 이런 꿀정보 감사해요 글구 여름룩북 찍어주 실 수 있나요 ? ㅠㅠ 언니 감성 넘 젛아요 ,0.0,3개월 전
11,bgbbh6791,저두 메일루 병원 정보 문의드렸어요!! ㅎㅎ확인하심 답변 부탁드립니닷!!!,0.0,1개월 전
12,userfe5og8yc3u,병원정보랑 필러 종류알수있을까요?,0.0,3개월 전
13,dynesenso3968,애교살 필러 정보 알 수 있을까요 ?ㅠㅠㅠ,0.0,3개월 전(수정됨)
14,aaaaaaac6915,메일로 병원 정보 문의드렸는데 확인하시묜 답변 부탁드립니다 :)  !!,0.0,2개월 전
15,userqy2pv5ou7z,팔자필러 맞으신 병원 정보 알 수 있을까요 ㅠㅁㅠ 메일주소를 댓글에 적어야하나요 ㅠㅠ ?,0.0,3개월 전
16,usertd7fk7fh1k,언니 너무 예뻐요... 팔자 해주신 선생님 정보 여쭤봐도될까용....,0.0,2개월 전
17,userej4gz4ss6s,일다하고 왔어요,0.0,3개월 전
18,useret7vk2my1b,이뻐용 귀걸이 정보 알 수 있을까요!,1.0,3개월 전
19,yummyyummy693,헉 저 여기어딘지알거같아요.. 대기하실때 배경이 너무익숙 ㅋㅋㅋㅋㅋ설마비슷한곳이겠죵,0.0,2개월 전(수정됨)
20,userei3ru8dc3k,2:05 혹시 이때 위에 입은 파랑?보라색 옷이랑 줄무늬 옷 정보 알 수 있을까요?,0.0,3개월 전(수정됨)
21,cindyc5377,와 완전 신민아같아요,1.0,3개월 전
22,usertd5fk8sg6p,,0.0,3개월 전
