,youtube_id,comment,like_num,comment_date
0,AHYEON,"당첨자 발표
참여해주신 모든 분들 감사드립니다️
늦은 피드백으로 기다리신 분들께 사과 말씀드립니다..!

조완이
대추차
하끌레어 HAHAHA",2.0,5개월 전
1,usercx3kk7qy2w,아니 제가 얼마 전에 퍼스널컬러 진단을 받았는데 이런 이벤트를 들고 와주시다니..🫣 저는 지금까지 제가 가을 뮤트인줄 알고 살아가고 있었는데 진짜 충격적이게 겨울 쿨톤이라는 진단을 받았어요ㅋㅋㅋ 그래서 화장품을 지금 싹 다 바꿔야 하는 상황이라 괜찮은 조합으로 구성된 섀도우를 찾고 있었는데 언니 덕분에 리즈다라는 브랜드를 처음 알게 되었네요!!항상 섀도우를 사면 쓰는 색상만 쓰고 안 쓰는 색상들은 아예 손도 안 대서 너무 아깝다는 생각이 들었는데 리즈다 무드 핏 팔레트는 퍼스널 컬러에 맞춰 나와서 진짜 다 쓸 수 있을 것 같아요 뭉침이나 가루날림도 없다니 이건 그냥 너무 완벽한 제품 아닌가요🫶 저는 제 퍼스널컬러에 맞는 4호 딥 플럼 톡을 꼭 소장하고 싶습니다ㅎㅎ 오늘도 여전히 이쁘신 아현님 매번 영상 볼때마다 뭔가 힐링돼요 항상 응원할게요️,0.0,6개월 전
2,userxh4bl9bv7h,"아현님과 같은 가을뮤트라서 매번 메이크업 영상 잘 챙겨보고있었는데 유독 이번 메이크업이 이뻐서 봣는데 이벤트까지 열어주시다니,,🫠 아현님이 쓰신 3호 웜베이지 톡과 6호 뮤티드 로즈가 진짜 너무 이쁜거 같아요,, 손민수 각 게다가 요즘 환절기라 그런지 너무 건조하고 입술에 각질때문에 매트립 바르기 너무 힘들었는데 글로우립 꼭 바르고 싶네요ㅠ 이런 이벤트 열어주셔서 감사합니다!️",0.0,6개월 전
3,grasslp,"앗 언니 처음부터 얼굴공격,,
눈부셔서 덕분에 선글라스 끼고 시청했어요
메이크업 영상 잔잔하고 힐링돼서 넘 좋아요~~!
섀도우는 언니 말처럼 팔레트 하나로 다 해결할 수 있을 것 같아 마음에 들어요
게다가 퍼스널컬러별로 다양하게 나와서 고민없이 픽할 수 있네요 
틴트는 5:46 여기서 현실감탄! 안 묻어나오는데 이렇게 글로시할 수 있다구요??
틴트는 다 맘에 들어서 색상별로 소장하고 싶어요
저는 섀도우는 1호, 틴트는 7호가 좋네요
아현언니 이번 영상도 넘 잘봤어요 ㅎㅎ!",0.0,6개월 전
4,cherrymoon0111,"퍼스널컬러 별로 팔레트가 있다는 게 너무 마음에 들었어요! 팔레트를 사러갈 때마다 봄웜컬러만 있는 브랜드가 많아서 많이 아쉬웠었는데, 갈웜이 사용할 수 있는 색상들이 한 팔레트에 모여있는게 너무 좋았어요 어떻게 발라도 색조합이 너무 이쁘게 되어서, 이 제품은 평소에 정말 손이 많이 갈 것 같다는 생각이 들었어요!
소개해주신 틴트도 너무 마음에 들었어요! 물먹틴트라는 게 어떤건지 보자마자 마음에 들었어요! 특히, 6호 뮤티드 로지컬러가 너무 이쁘고 가을뮤트인 언니의 립에도 착 붙어서 이 제품이 제일 마음에 들었어요",0.0,6개월 전
5,saekomi3,"오랜만에 아현님의 메이크업 영상이라 그런지 너무 반가워서 호다닥 들어왔네요! 애초에 저는 가을뮤트도 아니지만 아현님 메이크업을 좋아하는 사람인지라 매번 꼭 챙겨보게 되는...️
리즈다라는 브랜드는 원래 몰랐던 브랜드이고 이번에 아현님 덕분에 알게 되었는데, 색조를 정말 잘하는 브랜드라는 걸 알게 되었어요! 더도 말고 덜도 말고 딱 소비자들의 니즈를 알고 거기에 잘 맞춘 느낌이랄까? 그래서 그런지 제 취향을 저격당해버렸답니다
그중에서도 틴트가 눈에 딱 들어왔는데요! 원래 매트립을 좋아해서 항상 립스틱만 사용했었는데, 틴트만 할 수 있는 유리알 광택이 요즘 너무 끌리더라구요️ 이런 와중에 만나게 된 리즈다 글로우 핏 물착 틴트....
앞으로도 이렇게 좋은 브랜드와 아현님만의 감성이 만나 좋은 시너지를 뿜뿜 내뿜는 영상들이 많아졌으면 좋겠어요! 아현님만의 감성을 듬뿍 담은 좋은 영상들로 많이 만나볼 수 있길 항상 응원하겠습니다",1.0,6개월 전
6,userzn2oo5ot4r,1호 누드 피치 톡 너무 예쁜것같아요 퍼스널컬러별로 사용하기 진짜 좋을것같아요!! 아현님 메이크업도 너무 잘어울리세요 진짜 너무 예쁘세요 틴트는 7호 글레이즈드 스타가 예쁘네요!!♡ 최근에 구독하게 되었는데 앞으로도 열심히 응원하겠습니다:),0.0,6개월 전
7,userpk8py8tj2m,"가을뮤트라서 아현님 메이크업 많이 참고하는 편인데 이번 영상은 정말 교과서 같은 느낌이네요! ㅋㅋㅋㅋ3호 윔베이지 색상 너무 이뻐요!  과하지도 않으면서 데일리로 잘 하고 다닐 색상이네요!  여초인 회사 다니면서 화장은 주말에만 하고 다녔는데 이번에 신입이 들어왔네요? ㅋ 괜히 한개 더 찍어 바르고 출근하게 되는데 색조, 틴트 영상보면서 따라할수 있으니 너무 좋은것 같아요!  저랑 피부톤이 맞아서 이대로 따라만 한다면 솔로 탈출 각 인가요?ㅋㅋ괜히 영상보면서 입꼬리가 씰룩씰룩 ㅋㅋㅋ 봄 되니 마음도 살랑해지면서 꾸미고 싶더라구요!  ",0.0,6개월 전
8,happpyyeye,"리즈다 라는 브랜드는 오늘 처음 알게 되었어요! 색조가 차분해서 봄이 다가오는 요즘 같은 때에 사용하면 좋을 것 같아보이네용  퍼스널컬러 진단 받고 색조를 이것저것 찾아보고 구매하면서 많은 제품들을 많이 봤는데 퍼스널컬러 별로 색 조합이 되어있는 팔레트라 더 맘에 드는군뇨...🥹 모든 팔레트 색이 다 너무 이쁘지만 여름과 겨울에 걸쳐 있는 여쿨인 저에겐 2호 플랫 핑크 톡, 4호 딥 플럼 톡 이 두 컬러가 제일 맘에 들었는데요 정말 둘 다 제 취향 그 잡채였지만 4호가 시크한 컬러들이라 매력뿜뿜인 것 같슴당  평소에 짝눈이 매력있어서 좋아하는데 애교살이 짝짝이신 이현 님도 매력 있게 느껴져용..(사투리까지 진짜 매력 왕창) 고양이 울음소리에 답 해주세는 모습도 너무 귀여우신..ෆ 틴트도 색이 다 너무 이쁜데 제가 요즘 꽂힌 물먹틴트라 더더 이뻐보입니당 ㅜㅜ 틴트 또한 쿨하고 차분한 8호 아이시핑크 컬러가 젤 맘에 드네유..",0.0,6개월 전
9,kimminson315,"섀도우 3호 웜베이지 톡,  글로우 핏 물착틴트 6호 뮤티드 로지 가을뮤트인만큼 관심이 가네요~ 적당한 발색과 컬러로 봄에도 데일리하게 사용하기 좋아보여요 ️",0.0,6개월 전(수정됨)
