,youtube_id,comment,like_num,comment_date
0,songesonge,"뽀송이들 안뇽 ⸜( ˙ ˘ ˙)⸝♡
날씨가 따뜻해지니 많은 브랜드들에서 봄신상 와랄라 쏟아내고 있어요
기존에 여러분들이 좋아해주셨던 브랜드 +
제 채널에서 처음 소개하는 브랜드들까지
알차게 데려왔어요!!
기획전 놀러가면 더 많으니 기획전까지 구경하고가세요 ~


 23 S/S 캐주얼 브랜드 스웨트 셔츠 기획전 
https://musinsaapp.page.link/mWXv",14.0,6개월 전
1,userey9oz6jj7i,헐 후드티 다 너무 예쁘다ㅠ 전 부터 눈독 들이던 후드도 있는데 세일이라니 당장 달려가!!아 그리고 영상 보면서 느꼈던건데 설명 진짜 깔끔하게 잘 하시는 것 같아요! 그래서 옷 보면서도 쉽게 이해할 수 있어서 언니 영상을 자주 보게 되는 것 같아요!,2.0,6개월 전
2,userlr3lq5uc4g,못고를만큼 다 갖고 싶어요 다 사려고 이번달에 열심히 알바했나봐요ㅋㅋㅋㅋ 개강기념 봄맞이 기념 질르러 가야겠어요ㅜㅜ하 후드 하나하나가 너무너무 귀엽고 트렌디해서 보는 내내 눈이 즐거웠어요!! 그리고 옷 설명하기 전에 브랜드에 대해 간략하게 설명하는 부분도 늘 잘보고 있습니다,0.0,6개월 전
3,kkong7,랭킹에 있는 제품들이 아닌 신상들로 찐 송이님픽들이라 너무 좋아요!! 처음 보여주시는 브랜드들도 많아서 새롭네요 무신사들어가서 쇼핑해야겠어요 텅장이지만 행복해요🥹,0.0,6개월 전
4,userir9tn4wg9l,아니 이정도면 저랑 생각 공유하고 계시는거 아니냐고요 어쩜 이렇게 맨날 딱 필요한 것들만.. 항상 감사해요 사랑해요..,1.0,6개월 전
5,userhg8gz4zm4i,송이님이랑 취향이 수상할만큼 겹쳐서 너무 행복해요..🥹🥹,23.0,6개월 전
6,userbw4mb1ps8q,앙앙앙 펌킨치마 너무 조아용 ㅠㅠ 언니때메 좋아진것도 관심생기는것도 많아져요 의식주 중에 의를 책임져주는 송이언니 절때 붙어있어,0.0,6개월 전
7,userbe8rr1mw8k,후드랑 맨투맨은 너무 무난한 느낌이라 오히려 고르기 어려운 느낌 ... 오늘도 겁나 예뻐요,0.0,6개월 전
8,Zzqb3pe,미친거 아니냐구요. 취향 너무 똑같고 언니 영상 올라올 때마다 눈 돌아가요.. 다음에 좀 안흔한? 독특한 브랜드도 추천해주세요!‘,1.0,6개월 전
9,userwc5mx8xb7p,봄맞이 룩도 송이님덕에 걱정없이 쇼핑할수 있네요🫶🥹🥹,0.0,6개월 전
