,youtube_id,comment,like_num,comment_date
0,usergx7yi4pi7x,셋업 너무 이쁜데 할인율도 미쳤네요 ㅠㅠ 이런 영상 너무 좋아요 항상 감사해요,4.0,1년 전
1,mingmiing,"웅니 룩1 롱 원피스 모야요,,, 넘 조하,,, 언니는 매번 룩북마다 여러 취향들 저격할만한 옷들 모아오는게 존경스러워 증말,,,,",6.0,1년 전
2,aranchini301,언니 너무 귀여워.. 진짜 구독자 만명때쯤부터 본 사람인데 이렇게 꾸준히 계속해서 영상 올려줘서 고마워요!!,0.0,1년 전
3,userqm4do5ne2i,웅니야 무리 금지... 3년 전부터 보던 사람으로서 영상 너무 자주 올라와서 난 너무 좋지만 하나도 쉬지 않는 것 같아 언니의 건강이 너무 걱정돼유... ｡ﾟ( ﾟஇ‸இﾟ+)ﾟ｡,15.0,1년 전
4,rvnrwn,"언니 요즘 영상 자주 올려 줘서 너무 좋아요
제가 언니 영상 처음 봤을 때가 고2 때였는데 벌써 21살이라는 게 믿겨지시나요 허허
가을 옷 사야 했는데 참고해서 살게요!! 항상 응원해요",6.0,1년 전
5,miineee,교복에 잘 맞는 거 찾고 있었는데 필드웅니진짜사랑해요....,1.0,1년 전
6,usertv9bt9qx2l,여성 구독자들도 잘 챙겨주시는 필드언냐...체공,0.0,1년 전
7,useryh2we5mb9h,필드웅니... 사랑해요 이런 여자구독자들을 위한 컨텐츠 너무 조아요,0.0,1년 전
8,userev6vz5pq7f,필드언니의 대학시절을 보는 느낌... 색다릅네요..🫶,0.0,1년 전
9,chxrrycokk,오늘 영상으로 열일해준 쏭누나에게 박슈,0.0,1년 전
10,becky3756,진짜 옷잘입으심 ,0.0,1년 전
11,mogubong2021,"ㅎㅎㅎㅎ필드언니 쵝오~ 개강해서 슬프지만,, 필드언니 영상은 죠아",0.0,1년 전
12,pop0o0,나 방금 옷 샀는데 또 사게 생겼네 언니 너무해..,0.0,1년 전
13,juhihihyds,언니 너무 멋있어요 ㅠㅠ,0.0,1년 전
14,hsifles2910,이번 영상도 너무 아름다우십니다!!,0.0,1년 전
15,usercz5rv1un5f,셋업 너무 예뻐요ㅠㅠㅠ 블랙 사고싶어요!!,0.0,1년 전
16,userrf9mv8kg5c,헉 너무 이뻐용 ㅠㅠㅠ,0.0,1년 전
17,loving2s933,쏘 힙하고 귀여운… 언니 비니!!! 추천도 올려 주쎄요오 작년과 달라지거나 맘에 드는 브랜드가 있으신지 궁금해요 ,1.0,1년 전
18,uservm3xo4ui6c,벨벳 셋업  가격이 엄청 착하네용~!,0.0,1년 전
19,userqh9no7gt6z,할인율 뭐지 진짜ㅋㅋㅋ싸긴싸네요 사러가야징,0.0,1년 전
20,uservt1mh8zi3d,셋업 이쁘네요!!!!!!ㅎㅎ,0.0,1년 전
21,userbn9fe9kn7f,"헐 언니ㅠㅠ  교복에 입을 만한거 고민하고 있었는데ㅜㅜ 감사해요오🫧
아니 근데 언니 왜이렇게 말랐오요🫣 몸매가 너무 이뻐,,",0.0,1년 전(수정됨)
22,userem4hi3ki9m,언니 첫번째 착장 신발 정보 너무 궁금해요ㅠㅠㅠ,0.0,1년 전
23,userub5dq8wl2m,웅니•• 사랑해 마지막 고등학교 3학년 보내는 중잉데 추천해주서 고마워요 바로 사야지,0.0,1년 전
24,useruo3rk7hx2v,믿고 봅니다 진짜ㅎㅎ,1.0,1년 전
25,useror7ju1gj1f,와... 스쿨룩에 찰떡이네 지르러가자~~!!!,0.0,1년 전
26,thugequality,아주 유익한 영상!,0.0,1년 전
27,userhx6dl4gb7w,언니ㅠ 첫번째 룩 니트랑 같이 코디한 바지 알 수 있을까요??,1.0,1년 전
28,userhr8eq6ik7u,환절기라 그런지 다들 감기 걸리고 비염 때문에 고생하시던데 날씨는 시원해져서 좋은데 그래도 감기 조심햐요!!,0.0,1년 전
29,bangjja,첫번째 코디 신발이랑 원피스 바지 정보 궁금해요ㅠㅠㅠ,0.0,11개월 전
30,hereandnow2828,콘크리트구독자로서 행복합니다 ,0.0,1년 전
31,ncg2976,하프집업이랑 매치하신 바지 정보 여쭤봐도 괜찮을까요!?? ?,0.0,1년 전
32,usernu4yc4cv1o,언니 .. 첫번째 니트 무슨일인가요 너무 예뻐서 반해부럿어요……. ,0.0,1년 전
33,userzv5zu3os8d,역시 무신사 셀럽!!,0.0,1년 전
34,usernx2ue5lf1l,하프집업이랑 같이 매치하신 모자 정보 알려주실 수 있을까여 !!,0.0,1년 전
35,palbang55,학생1 매우 감동...,0.0,1년 전
36,userxz1fx4ts1v,,0.0,1년 전
37,userud3lk2ni7h,언니 첫번째착장 원피스 정보 궁금해요ㅠㅠ!!!,0.0,1년 전
38,xx7833,ㅠㅠㅠㅠㅠ 온니 첫번째 착장 바지 궁금해요..,1.0,1년 전
39,uservt2ms3pr1y,"혹시,,, 남자도 입을수 있을만한거 추천해 주심 안됄까요,,?",79.0,1년 전
40,userds7oo8mg2d,1번 니트 사이즈 정보좀 알 수 있을까요?,0.0,1년 전
41,useryv2kj7xm3i,사랑해요 누나!!!,0.0,1년 전
42,useryj2th2oe9w,누나 원피스 잘어울려요!!,0.0,1년 전
43,bvvmiy,렌즈 정보 알고싶어요......렌즈 넘예...,1.0,1년 전
44,userrd6me3bs4l,혹시 첫번째 착장 원피스 정보 알 수 있을까요..?,1.0,1년 전
45,userqr4yp5dp6u,언닝 두번째룩에 스커트 정보좀 주실수 있나용🥹,0.0,1년 전
