,youtube_id,comment,like_num,comment_date
0,yogaportman,딱 한번 가본 첫 해외여행이었던 도쿄가 너무 그리운데.. 이렇게 봐서 너모조아여…….. ㅎ 진짜 자세히 보는중,2.0,7개월 전
1,userkt5bx4iy3k,대박... 도쿄 아직 못놀러가봤는데 이렇게 영상으로 대리만족하네요 ㅎㅎㅎ,0.0,7개월 전
2,oreo1896,"꼼데랑 콜라보한 운동화, 사이즈 있는데 안 주려고 했던 게 원래 예약? 스톡? 했던 사람이 취소를 했나봐요!! 8:52에서 cancel(キャンセル-캰세루)라고 하네요!!",2.0,5개월 전
3,nanabbi19,도쿄 쇼핑시 현금 카드 사용비율 어느정도 인지 궁금해요! 예산대비 환전을 얼마나 해가야 할지ㅠ,2.0,7개월 전
4,rebecca5633,"수리님, 안녕하세요!
다름이 아니라 저도 4월에 도쿄 여행 계획 중인데 혹시 썸네일에 있는 도쿄타워랑 찍으신 사진은 어디에서 찍으신 건지 알 수 있을까요?

분위기가 너무 예뻐서 알고 싶어요...️",2.0,7개월 전
5,87yenamom,도쿄 또 가고싶네요,0.0,3개월 전
6,ssensossenso9936,레인부츠 투마로우 넘 귀여우시다.  얼른 보고싶네요.,2.0,8개월 전
7,oiioxx,"영상 잘 봤어요 도쿄 여전히 너무 예쁘네요 
혹시 언제쯤 가신 건지 알 수 있을까요??",1.0,7개월 전
8,userxv3uz6cc5i,정보도 쏠쏠하고 영상 대리만족하면서 잘 봤어요! 혹시 촬영은 뭘로 하셨나요?,0.0,2개월 전
9,dao304,여행 가고싶어서 영상만 계속 보는데 .. 저랑 동생의 최애 영상이 되었다능 ㅎㅎㅎ 혹시 언니분도 유튜브 하실까요?,0.0,7개월 전
10,kieun22396,시엔느 가디건에 착용하신 가방 정보 궁금해요!!,3.0,8개월 전
11,userhb7ph8vk5w,레인부츠 사셨나요!!! ㅋㅋㅋ 여기서 끊는게 어딨나요 !!!,1.0,8개월 전
12,tkdd3ji,"일본 어서오세요.  
혹시 서울 맛집이랑 예쁜카페 추천 해주실 수 있을까요?? 3월에 여행가요",1.0,8개월 전
13,MrLbow515,같이 다니시는분!!! 패션에 관심이 정말많으시내요! ㅋㅋ 모네패션~~~!,1.0,7개월 전
14,kkukkakkukka9747,다음 영상 궁금해용!!!,1.0,8개월 전
15,userii2jz7wp7r,헉!! 기다렸어요,1.0,8개월 전
16,songmisunset,"영상너무잘봤습니다~!!!부츠 사셨는지 다음영상 기대됩니다!!! ㅎㅎㅎㅎ 
 혹시 동행하셨던분 실버컬러숄더백 어디껀지 알수있을까요?!! _",1.0,8개월 전
17,lactosefreemilktea7348,혹시 가신 컨버스 매장이 어디지점인지 알수 있을까요?,0.0,5개월 전
18,usergk9dr6jd6z,꼼데 신발은 얼마에 구매하셨나요?!!,0.0,8개월 전
19,userwc6ie2bb6p,나도 꼽사리 끼고싶은🥹 담편 마치 드라막 막방기다리는 느낌,1.0,8개월 전
20,byoung9928,헐 저기 안에 빈티지 샵에 19:25 곽토리님!!,0.0,7개월 전
21,woojing,컨버스 어디 지점인가요???,0.0,7개월 전
22,ivoryivory7882,안녕하세요! 혹시 언니분이 메고 다니시는 실버 가방 정보 알수 있을까요??!,0.0,7개월 전
23,jiyunchung6663,안녕하세요 조만간 일본가서 영상 잘보고 가요^^ 혹시 사용하셨던 일본어 번역기는 어디 어플인지 알 수 있을까요..?,0.0,5개월 전
24,0forest431,영상 넘 잘봤어요! 혹시 회색가디건 정보 알 수 있을까용?><,2.0,8개월 전
25,minjigogo,입고계신 블랙진 정보 부탁드려용!,0.0,7개월 전
26,allaboutymark,그레이 조끼 니투 넘 이뻐요오 어디 제품일까요 수리님,1.0,8개월 전(수정됨)
27,bubbly5781,이치라 라멘 레시피 궁금해요,0.0,7개월 전
28,jkj8875,지도는 무슨 앱 사용 하신건지 알 수 있을까요?,0.0,8개월 전
29,uservl9th7xb1l,"우연히추천영상에뜨구 영상하나하나다보았어용
이전영상중시에 리뷰하시는거보고 시순이됬지뭐에용..
혹시실례가안된다면 ㅜ 시에플랫링.래디언트링 두가지 구매하려는데 검지레이어링or검지약지 둘중 고민중인데 추천해주실수있나욤?",1.0,8개월 전
30,aaaalee9447,착용하신 검은 스키니 어디서 구매처 알수 있을까요오~?!!,0.0,7개월 전
31,siri3433,"젤 처음에, 운동화 편집샵같은 매장이 kith 매장인건가용..1?",2.0,7개월 전
32,userlv5ru8su8q,백종원이 추천한 꼬치집 어딘지 알 수 있을까용?!,0.0,7개월 전
33,userkg9ks8pb8s,컨버스 에코백 가격 얼만가요..?,0.0,6개월 전
34,xyxxyxjxxg,아비에 무아 폰 놉 붙이신 투명 폰 케이스 구매처 알 수 있을까요?,0.0,8개월 전
35,userfw6lp8hv9h,긴자 샤넬 아무나 못 들어가요? 인터넷으로 밖에 안 사서 오프라인 매장은 첨이라서,0.0,2개월 전
36,juhee1886,프라페 드신 카페 어딘지 알 수 있을까용~?,0.0,8개월 전
37,userzv8nh9km1s,부당한 경제 보복을 당하고도 일본에 가고 싶나요 대한민국 국민이면 잘한번 생각해보세요 한국인한테 와사비 테러도 하는 나라인데...,0.0,7개월 전
