,youtube_id,comment,like_num,comment_date
0,fallautumnlove,첫번째룩부터 정말 가을이 왔구나~ 느껴지는 룩이었어요! 특히 미니 스커트 가을+빈티지 느낌이라 너무 마음에 드네용,0.0,11개월 전
1,sunnyyv5oo,첫번째 자라 빈티지룩 너무너무 이뻐용!!가을 느낌에 요즘느낌 낭낭브라운 컬러 롱부츠 진짜 모든 코디에 착붙이네여,1.0,11개월 전
2,gracejs6071,"프리너 옷 예쁜 수박님이 입으시니 넘 예쁘네요.  니트세트랑 코듀로이 스커트, 덕분에 쇼핑 잘 할게요! 소개하신 제품 전부 다 예뻐요.",0.0,11개월 전
3,userlo4bg6zb8b,"와오늘 정말 올려주신 룩으로 가을 겨울 너무 행복해요. 진짜 수박온니 피부가 요즘  더 더 빛이 반짝 반짝 한 느낌!! 이번주안에 꼭  쥬네뷰 재품 주문할래요 .자라 레더자켓 설명 해주시면서 올 레더자켓 빈티지 트렌드 설명해주시는거 너무 좋았어요 .그리고 마지막에 나이키 빈티지 리폼 스웻 너무 이뻐요. 메종드커리어 에코레더 트렌치도 이쁘구요 프리너 라는 브랜드도 나무 이쁘네요. 가디건이랑 코듀로이 스커트 이뻐서 장만 욕구가 뿜뿜합니다. 아낌없이
  퍼주는 수박온니.최고에요.",0.0,11개월 전(수정됨)
4,LEESEULKI316,이쁜거 천지네요~~ :) 언밸런스 니트 원피스가 컬러랑 디자인이 젤 예쁘네요~ >.<,0.0,11개월 전
5,summer8189,나이키 팬트 딱 수박색이네요~~ㅎㅎㅎㅎㅎ 오늘도 예쁜 제품들 잘봤습니당,0.0,11개월 전
6,userty3qg3ov8q,프리너 미쳤다… 첨 알게된 브랜드인데 ㅋㅋㅋ 넘 귀여워요,0.0,11개월 전
7,userfd4bj4cb3f,"친절한 수박온니~
영상에서 보면볼수록
이쁜게 나와서 
고민고민!",0.0,11개월 전
8,ongrim3105,날씨가 급 쌀쌀해졌네영 프리너 제품 넘넘 예쁘네요! 오늘 영상 참고해서 옷장만해야겠어요!,0.0,11개월 전
9,misorll,당장 자라는 못 가지만 수박언니 영상 보면 집에 있는 옷 어떻게 매칭해야 하나 꿀팁 많이 얻을 수 있어서 느무느무 좋아요,0.0,11개월 전
10,helloimdongyeop,"누님 컬러매칭 너무 잘하시는 거 아닌가요,, 유니클로 렉토 자라 영상 보고 바로 구독해버렸습니다",0.0,10개월 전
11,meneau0,"메종드커리어 느무 고급지다 영롱  그잡채
P.S. 이번 플리마켓은 못가융ㅠ 아쉽아쉽 다음 기회에 또 언니 보러가야쥥~~",0.0,11개월 전(수정됨)
12,userwl1tk6dc3r,"옷 그만 사려고 했는데 귀여운 건 못참아,, 아가일 가디건 우리 집으로 가자 ",0.0,11개월 전
13,dpwlrkd,"오늘 코디도 하나같이 다 예쁘네요
언니! 혹시 반원아틀리에 이벤트 발표되었나요? 기다리고있숩니다...히히",1.0,11개월 전
14,arj6896,왤케 자주 오냐뇨! 더 자주 와요 ,0.0,11개월 전
15,userxk4kc9xd5v,수박온니 10월달도 행복하세요,0.0,11개월 전
16,RANIwr1yz,하 이언니 진짜 내스타일이야ㅠㅠ,0.0,11개월 전
17,everglow2573,언니 비율이 넘좋아요 수박언니답게 녹색이 찰떡인데요 ^^ 중간에 신은 갈색부츠 어디브랜드예용??,1.0,11개월 전
18,won7162,영상에 입고 있는 남색맨투맨 정보도 부탁드려요!,0.0,11개월 전
19,userxr4jl5sh5o,10:30 나이키 바지 색깔 진짜 이뿌다,0.0,10개월 전
20,rim7252,전 나이키에 꽂혔네요 ㅋ 나이키에 입으신 탑 정보도 줌 부탁드려요!,0.0,11개월 전
21,userne6nb3eu6c,"나이키 초록팬츠 따라샀는데 제가 수박님이랑 체형이 비슷하거든요 그래서 하의를 허리때문에 수박님하고 같은 사이즈를 사거나 한 사이즈 크게 사는데 
이번에 xs 사봤는데 역시 수박님보다 작은 사이즈를 사진 말지어다 ㅋㅋㅋ 아래쪽은 통이 좁아서 좀 아쉽더라구요 그래도 교환 귀찮아서 그냥 입으려구용",0.0,10개월 전
22,akinuakinu2087,,0.0,11개월 전
23,usermq1zl2tq2e,프리너 착장때 신은 갈색 부츠는 어느 브랜드인지 알 수 있을 까요?,0.0,11개월 전
24,userng9iw8mp3u,"안녕하세요, 착용하신 귀걸이는 어떤건지 궁금해요~",1.0,11개월 전
25,userdh6bc8te9w,프리너 가디건 사러 갑니다~~,0.0,11개월 전
26,dusdl3411,자라롱부츠 살까말까하던중인데 넘예쁘네요...굽이높아서ㅠ 착화감어떤가요?,0.0,11개월 전
27,Youngmari818,"언니 제발...내 통장 좀 지켜줘요 ㅠㅠㅠ
옷 추천 기가막혀서.. 아흐 증말 못살아 ㅠㅠ
내가 언니때문에 또 자라를 갑니....ㄷ...",0.0,11개월 전
28,sibalee5105,언니 키가 어떻게되세요?,0.0,11개월 전
29,userkv2uo3mg8x,가죽자켓에 코디한 데님팬츠 정보알수있을까요?,0.0,11개월 전
30,mihua0221,아….음….,0.0,11개월 전
31,karakuwa553,"今日も1日お疲れ様でございます♪今は雨で朝の23℃から一気に急降下しました♪今は肌寒いです♪明日は寒くなり、明後日は11月上旬並の寒さになります♪これから日が短くなると思うと元気を無くします♪冬は苦手です♪寒いのは嫌いです♪冬が長く感じてしまうのは自分だけでしょうか？本日も素敵な動画をありがとうございました。

ウチも雌猫を飼っています♪動画もあります♪良かったらご覧下さいね♪コメントやチャンネル登録もして頂けると嬉しいです♪",0.0,11개월 전
