,youtube_id,comment,like_num,comment_date
0,Sooandyou,"궁금하신 개인적인 질문은
@sooandyou 디엠으로 부탁드려요 

상의 : https://m.smartstore.naver.com/dddaon/products/7253887897
렌즈 : 하파크리스틴 원앤온리 크리스틴 그레이",8.0,11개월 전(수정됨)
1,userbz7ui3qc5n,아니 이건 지갑을 지킬수 없는 영상! 여쿨라의 가을 이런 분위기가 필요했어요!,3.0,11개월 전
2,0310,인스타 스토리 보고 기대하고 있었는데 헤어부터 메이크업까지 너무 예뻐요 ,6.0,11개월 전
3,zzeng1167,진짜 요즘 쿨톤 가을 메이크업만 찾고 있었는데 너무행복해요ㅠㅠㅠ,4.0,11개월 전
4,fffuckinglife,"와 미칫다……. 아니 색감은 완조니 언니랑 찰떡인 쿨한색감 그대로인데 가을처럼 깊어지고 분위기있는 느낌이 확 나요… 진심 색감천재 메컵천재 그냥 언니 다 해라 아주,,,,🥹",0.0,11개월 전(수정됨)
5,HONEth2qj,언니 메이크업 영상 오랜만이라 너무너무 행복해용ㅠㅠ 섀도우 블러셔 립 전부다 언니랑 찰떡이고 옷도 너무 잘어울려요! 오늘도 너무너무 예쁜 영상 감사하고 사랑해요 공주님,1.0,11개월 전
6,userwi3bd6eb6w,"넘 예뻐요 요즘 뷰티 영상은 수연님 거만 봐요... 웜톤 파우치 털기 보고 유입됐는데 알고 보니 쿨톤이라고 하셔서 마음이 쓰렸지만... 말씀하시는 게 뭔가 듣기 좋고 수연님 영상만 봐도 신상, 유행템 다 알 수 있어서 좋아요 특히 겟레디가 짱️",0.0,11개월 전
7,userqt1mq3cj9x,제가 유일하게 꼭 영상 챙겨보는 유튜버.. 여쿨라템들 많이 추천해주셔서 넘 좋아요ㅠㅠ 그리고 화장법도 넘 예뻐서 참고하기도 넘넘 좋아요. 파스텔 색감 옷도 자주 입으시고 여쿨라 맘 넘나 편안-   이번 화장법도 넘 예뻐요!ㅠㅠ,7.0,11개월 전
8,userst2lt6zw4l,와.... 팔레트 진짜 예뻐요!!! 쿨톤 화장 너무 잘하세요 영상 볼때마다 지갑이 드릉거려요,0.0,10개월 전
9,Ysji6wz,"이젠 쿨톤유튜버의 대명사가 된 수연언니 
언니가 짱이에요 🥹🥹️️ 본업천재짱짱유튜버",5.0,11개월 전
10,JOOWON518,데이지크 진짜 섀도우맛집ㅜㅜ..신상너무너무예쁘네용 수연님이랑 잘어울려요,3.0,11개월 전
11,userky8gu6br3y,왜 수앤유님이 쓰시는건 다 예뻐보이죠?️️ 이것두 영업당해서 샀는데 가을에 쓰기 넘 예쁜것 같어요,0.0,8개월 전
12,yaerim972,진짜 핑크가 너무너뮤 잘 어울려요 …. ,1.0,11개월 전
13,so0so13,오늘도 넘 예쁘신 수앤유님 ..️ 완전 메이크업이 가을 너낌 낭낭~ 하네요! 그리고 다음에 학생 메이크업 해주실수 있을까요? 학생 메이크업 하셔도 예쁘실 것 같아요 ,0.0,11개월 전
14,usersq1zz3sn9h,진짜 개이쁘다 렌즈까지 찰떡이에요ㅠㅜㅜㅠ,0.0,11개월 전
15,hilamN,이번 메컵 진짜 레전드인 것 가타요.....,1.0,11개월 전
16,userny7hk8ki6f,진짜.. 너무 예쁜 팔레트 ㅠㅜㅠ 펄 안 써서 고민되지만 너무 갖고 싶은 그런 팔레트…,1.0,11개월 전
17,uservn3gs7ig4l,가을~겨울 데일리룩 추천도 해주세용...,0.0,11개월 전
18,moungmi,수연님 웰컴백 너무이뿌세용 데이지크는 항상 사랑합니당 마스카라부터 색조다 넘좋아요 ㅎㅎㅎ,0.0,11개월 전
19,Cozy,오옷 새영상 !!! 탁기 절대 안 받아서 이 팔레트 궁금했는데 잘볼게요  그리고 담에 한 번 겨쿨 브라이트 메이크업 해주심 안 될까요 ? 궁금해요 ,0.0,11개월 전(수정됨)
20,userxo6nr6rz8q,얼굴이 더 갸름해지신 것 같아요!! 데이지크 섀도우 색감부터 디자인까지 너무 제 취향이라 사아겠어요..ㅠㅠ 언니 사랑행용,0.0,11개월 전
21,usertr2vi8sl8q,한달동안 언니얼굴못봐서 공기없이 사는 기분이였어여 이제야 상쾌하네여 하~,1.0,11개월 전
22,buung,진짜 인간 여쿨라… 존예….,1.0,11개월 전
23,aya125,"저도 오늘 사용했는데 너무 이뻐요 
슬프게도 이쁘게 화장했는데 약속취소됨..",0.0,11개월 전
24,userjv8km5lh5z,헤헤 바이올렛 니트 살까말까 하다가 수연님이 뭔가 영상 찍어주실 것 같다는 생각에 샀는데 맞췄네요ㅋㅋ!!!!! 오늘도 넘 이뿌신..,0.0,11개월 전
25,soocandoeverything,상의정보까지 올려주는 당신은...... the love.... 오늘도 잘볼게용!!!,0.0,11개월 전
26,userog1ln4fy1p,힝구리모브에 푸시아바이브가 머박적 조합이란말에 긴가민가했지만 힝구리 샀는데 수앤유님이 가지고계신걸보고 후회업는 소비 라고 확신을…,0.0,11개월 전
27,userdy4ge2lx7j,"아니 갑자기 반말모드 된 거 넘 웃교ㅋㅋㅋㅋㅋㅋㅋㅋㅋ온니 네일 정보도 알랴줘요 짱이뿜,,,,",0.0,11개월 전
28,usermn2cy9ue5f,역대급! 너무 이쁘셔요! 구매각!!,0.0,11개월 전
29,userpe3wl3pv6u,"메이크업 넘 예뻐요ㅠㅜ
그리구 상의도 너무 예뻐서 구매하려는데ㅋㅋㅋ
혹시 기장 많이 짧을까여?",1.0,11개월 전
30,usertu1ns4oc9t,젭알... 여쿨라의 겨울 쇼핑 영상을 달라..,0.0,11개월 전
31,SKjw5ot,존대말도 듣기 좋은거 같아요,0.0,11개월 전
32,usernv8nf7zo7d,어쩜이렇게 피부가 하야신거예요?,0.0,11개월 전
33,userbd8wk2ki3j,웨메 쿨토프블러링 활용법도 궁금해요!!! 샀는데 노활용,1.0,11개월 전
34,userch3zv9cx9h,저두 퍼스널 컬러 겨쿨 진단받아서 쉐도우 고르는데 애먹었어요 ㅠㅠ 게다가 속쌍이라 보라색 사면 눈이 부어보여서 고민인데 저 제품 써봐야겠네요 전 21호 피부입니다,0.0,11개월 전(수정됨)
35,yeonjoono1,"요즘 데이지크만보면 좋지만 또 열받는기억땜에 짜증나기도하는데 그래도 색은 이뻐서 또 좋고...하..참 싱숭생숭해요...
저 바이올렛니트 오늘드림으로 주문했다가 누가 그걸 훔쳐가갖고 다시 재주문했는데 며칠있다가 누가  그 훔쳐간거 그대로 저희집 문앞에 다시 갖다놔갖고 바이올렛만 두개되버렸거든요ㅠ",0.0,11개월 전
36,hyesu1209,오늘 진짜 레전드...!!!,0.0,11개월 전
37,paulek9zg,응원합니다^^,0.0,11개월 전
38,userme7cm1to4s,가을 쿨톤 메이크업이요 영상제목이네요 ,0.0,11개월 전
39,userqe6sp8ud4t,수앤유님 너무 예쁘십니다,2.0,11개월 전
40,usertd3kj6nq3q,조녜,0.0,10개월 전
41,userfd7nb4rs4c,사투리 너무귀여우십니댜 ㅎㅎ,1.0,11개월 전
