,youtube_id,comment,like_num,comment_date
0,userwr8ri9mw6i,이렇게 가끔씩 올려주시는 패션하울 진짜 사랑해요 앞으로도 원기옥 모아서 패션 컨텐츠 들고와주세욤,4.0,1개월 전
1,usertg3ln2qe5f,저는 언니 하울이 너무 조아요... 언니가 소개하는 아이템 전부 다 너무 취향이라 매번 언니 손민수했는데 이번에도 또 손민수하고 싶은 것들이 잔뜩... 항상 예쁜 아이템들 소개해줘서 고마어요 언니가 최고야...,1.0,1개월 전
2,SONto4ip,수앤유 Sooandyou님 여름 데일리 룩북이 너무 잘 어울리시네요.,0.0,1개월 전
3,userog2jv6rm4t,언니 겨울에도 꼭 패션영상 찍어주세요,0.0,1개월 전
4,topockey562,넘 이뻐서 기절.... 진짜 손민수를 부르는 힘이 있으셔 최고에요,4.0,1개월 전
5,userbf7tg7tr8g,"항상 손민수 하게 만드는 수연님,, 수민수(?)하다보니 제 방에 수연님 템이 많아요ㅎㅎ 더보기란 보니 이사준비중이시던데 이사가기 전 준비과정이 너무 힘들더라구요ㅠ 유튜브하면서 같이 하기 힘드실텐데 영상 올려줘서 감사해요",0.0,1개월 전
6,usercy3qn7gp4f,"아무리봐도 케이스 넘 예뻐서 손민수해야겠오요,,,",0.0,1개월 전
7,fffuckinglife,언니… 나ㅜ지금 캡쳐만 몇 장 한건지 모르겠어… 특히 언니가 보여주는 미쏘 옷들이 넘 이쁘다ㅠㅠㅠ 나 깔끔한 페미닌 광인인데 레알 다 내 취향저격이야하….🥹 언니는 진짜. 손민수를 부르는 재능이 있는 것 같아… 언니가 쓰면 다 좋아보이고 다 이뻐보임️,1.0,1개월 전
8,userhn6ch2pq6z,"전영상에서 디올 립맥시마이저 라즈베리 추천하셨는데, 쉬머스트로베리도 써보셨는지 궁금해요️️",0.0,1개월 전
9,userpe3wl3pv6u,진짜 다 예뻐... 너무 내서탈~~ 수앤유님 취향=내 취향🩵,1.0,1개월 전
10,userrx3kw7vy1p,웅니 쿨톤 렌즈 추천이나(한 번도 못 본 거 같아서!) 요즘 하는 데일리 메쿠업 영상도 보고싶어용! 오늘도 영상 잘 보구 가용!,1.0,1개월 전
11,hyesu1209,"옷까지 잘 입어???
나한테 톤그로만 아니면 다 손민수 했다 진짜... 여라는 부러워 수연님 있어서ㅠㅠㅠ",2.0,1개월 전(수정됨)
12,Sweet,"ㅠㅠ 드디어 기다렸는데 ..🩵
올리신다구 고생했어요🫰🫰",1.0,1개월 전
13,lj2132,아니 아이템들 보다가 .. 수연님 립에 더 집중하게 되는 저는 뭐죠 (?),0.0,1개월 전
14,userkn7zj6on7q,수앤유님 넘 이뿌세용 ㅎㅎ 영상 잘보규갑니당 더위조심하세용,0.0,1개월 전
15,shaezalnoor6763,Unnie plzzzx make a detail video on your skincare routine plzzzzxwith English info and sub .I don't know Korean language,0.0,1개월 전
16,userie3bh7nk6n,언니가 여쿨라 영상 최고에요 .. 항상 너무 고마워요 🥹 아 혹시 히니크 숏팬츠랑 입고 나오신 그물망 흰색 니트도 정보 있을까욥 ..?,0.0,1개월 전
17,userzl5wi1cb4z,안녕하세요  영상 넘 잘봤어요 캡쳐만 몇개햇는지🩵 혹시 7:45 검은색 목걸이 정보 알수있을까요?,0.0,1개월 전
18,HONEth2qj,어제 피곤해서 기절했는데 공주님이 영상을 올렸다니.. ㅠㅠ 당장봅니다,0.0,1개월 전
19,shaezalnoor6763,Plzzzx sister make a complete video on your skincare routine plzzzxwith English info and sub. I don't know Korean language,0.0,1개월 전
20,userbj8qc9te1v,수앤유님 너무 예쁘십니다,0.0,1개월 전
21,shaezalnoor6763,Siater plzzz make a complete video on your skincare  routi6ne plzzzzwith English info and sub .I don't know Korean language,0.0,1개월 전
22,shaezalnoor6763,Sister plzzz share your skincare routine plzzzx complete with English info and sub I don't know Korean language,0.0,1개월 전
23,userhn6ch2pq6z,언니~여쿨라인데 화장처음이라 아이라이너랑 애교살템 추천해주실수있나용?,0.0,1개월 전
24,userme7cm1to4s,쇼핑 하울이요 영상제목이네요 ,0.0,1개월 전
25,SsAaxv7kq,スアンユ姫可愛いです,0.0,1개월 전
26,userxk4kc9xd5v,수앤유님 감기 조심하세요,0.0,1개월 전
27,userjh1zz3vr8c,블루진 셔츠랑 입으신 흰색 원피스 정보 알수있을까욥?ㅠㅠ,0.0,1개월 전
28,akinuakinu2087,,0.0,1개월 전
29,userzo7hd7hd2d,"언니 너무예쁘세요  옷이 다 언니한테 잘어울려요  혹시 언니 다이어트 하세요?
만약 다이어트 한다면 다이어트 비결을 알려주세요 ㅎㅎ",1.0,1개월 전
30,Ysji6wz,웅니.. 나 지금 지그재그 장바구니 꽉 찼어요 수민수 달려🫡️,0.0,1개월 전
31,mare11279,로라로라 니트 구매처 혹시 알 수 있을까요..?ㅠㅠ,0.0,1개월 전
32,tastesearcher,"아니 162요…??? 166은 되어 보이세요,, 비율 무엇…",12.0,1개월 전
33,goldstoneing,스튜디오 어딘지 알 수 잇나요오옹 🩷,0.0,3주 전
34,userme7cm1to4s,예,0.0,1개월 전
35,ilyoungjung4937,미쏘 베이지 치마바지 제품명 몬가요ㅠ,0.0,1개월 전
36,skksla6220,스펙 알려주새용,0.0,1개월 전
37,userbp5xl9ok3f,언니 손민수 할게요 후후,0.0,1개월 전
