,youtube_id,comment,like_num,comment_date
0,seulalovesyu,"안녕하세요 여러분!
1년만에 돌아온 스라테티션 스라입니다..!

스파를 오픈한지 어언 1주년.. 바쁘다 바빠 현대사회를 살다보니 유튜브는 제 손에서 멀어진지 오래였고 이제야 잠시 쉴틈이 생겨 오랜만에
유튜브 영상을 업로드해보았어요!

가끔 인스타로 안부여쭤봐주시고 기다려주셔서 정말 감사합니다.
앞으로 영상을 얼마나 자주 올릴수있을진 모르겠지만 그래도 시간날때마다 열심히 촬영해서 올려볼게요!

이제 겨울냄새가 나는데 다들 감기조심하시구요!
늘 행복하세용!",11.0,10개월 전(수정됨)
1,drummakidd,진짜 매번 유툽들어올때마다 새 영상 기다렸어요ㅠㅠㅠㅠ 1년간 많이 발전해오신것축하해요  캘리포니아에도 꼭 분점 내주시길!! 콜로라도한인분들 부럽네요오,2.0,10개월 전
2,YIFEI4U,"우와!!! 진짜 오래간만에 영상 업로드 하셨네요. 그 동안 스라님 소식 궁금했는데 축하 드립니다. ㅎㅎㅎ
앞으로도 계속 대박 나시고 유튜브 채널도 대박나세요. ㅎㅎㅎ
그리고 앞으로도 언니분 기절시키는(?) ASMR 컨텐츠도 기대할게요. ㅋㅋㅋ",1.0,9개월 전
3,joy0415,"SLA medical spa 일주년 축하해요!! 스파도 대박,유튜브도 대박나자 ️",1.0,10개월 전
4,youngyoung5212,준비열심히 하고계실때 봤는데 이렇게 잘 운영하고계시다니 너무 신기해요 ㅎㅎㅎ앞으로 영상도 기대할게요:),0.0,10개월 전
5,rehansprayer,"와~ 벌써 1년이네요^^ 그동안 궁금했는데 정말 축하드립니다
저도 내년에 이민준비 하고 있는데 스라메디컬스파에 취직해서 분점내고 싶은 생각이 들어요^^
영상 자주 업로드 해주세요~~",0.0,10개월 전
6,ZeroJoon99,"결혼하셔서 아이낳을 준비하시는줄 알고...굉장히 바쁘고 행복한시간을 보내고 계셨나봐요 얼굴이 더 밝아지셨어요 좋은 방송 기대합니다
항상건강한 기운 나눠주셔서 고맙습니다.",2.0,10개월 전
7,usersk7wi8iq2z,"왁 스라님 돌아오셔서 너무 기뻐요ㅠㅠ! 미래에 해외로 취업 준비 계획 중인데 
영어로 면접 질문 대답하기 찍어주실 수 있을까요!? 다른 유튜버분들 예문 찾아봐도 테라피스트와 딱 맞는 건 없어서 원어민처럼 면접질문 대답하기 알고 싶어요!",0.0,6개월 전
8,jinnys248,안그래도 궁금했었는데...!! 스파 오픈 1주년 진심으로 축하드려요!!,0.0,10개월 전
9,alc9536,"스라님 임플란트 영상 쭉 보다가 양치영상 봤는데, 양치법이 요즘엔 새롭게 연구결과가 나와서 많이 바뀌었거든요 한번 다시보고 잘 관리해보아요",0.0,9개월 전
10,userjl3ij8ny7g,"영상 너무잘봤어요
저는 미동부에서 샵준비하고있은데
가까웠다면 실무배우러 가고싶에요ㅠㅠ
원장님! 주마다 법이 다 다르겠지만
사용가능한 기본기계들 소개 좀 받고싶어요 절실합니다",0.0,6개월 전
11,keelle2495,우와아 너무 오랜만이에요ㅠ! 앞으로도 꾸준히 영상 올려주세용ㅎㅎ 스파 일주년 축하드립니당!,1.0,10개월 전
12,usernx6xl6yv5o,근황 너무 기다렸어요ㅠㅠ 일상영상도 많이 올려주세욥 ㅠㅠ!! 썰 같은것도 많이많이요!!!!,0.0,10개월 전
13,ullala2126,"정말 오랜만이에요. 언제 복귀하시나 했는데, 드디어... ㅎㅎㅎ 왜 알람이 안왔나 모르겠어요. 한달이 지나서 지금에서야 봤네요. 자주 자주 올려주세요. ^^",0.0,9개월 전
14,userii2dv5be5v,저도 현직 피부관리사인데 저기 취업하고 싶을정도네요 혹시 괜챤으시면 손님응대시 쓸수있는 영어표현도 만들어주세용 ㅠㅠ,1.0,10개월 전
15,userbn6fy9hw6o,"안녕하세요?
제가임플란트암두고걱정이많았는데스라님덕에좀맘이편해졌어요^^구독하고갑니다.",0.0,7개월 전
16,somtube8511,와...안그래두 언제 새로운 영상이 올라올까나 기다렸다구용ㅎㅎ넘 좋아용,2.0,10개월 전
17,Summeroq4sm,우와… 근황 궁금했는데,9.0,10개월 전
