,youtube_id,comment,like_num,comment_date
0,swanmensbeauty,"https://naver.me/xWi4VzYO
모집기간 : ~6/9(금) 밤 12시까지
발표 : 6/30 개별 공지
(보내주시는 사연들 좀 자세히 읽어야 할 거 같아, 좀 오래 검토하고 공지드리겠습니다) 

생각 있으셨던 분들은 가벼운 마음으로 지원 해주세요! 시작이 반, 아니 그 이상 입니다!",30.0,3개월 전(수정됨)
1,moongeneral,"지원자분들 모두 유튜브 잘돼서 
난 아무것도 안 올려도 관련영상 떠서 채널 조회수 올라갔으면 좋겠다
진심으로 응원하겠습니다..",55.0,3개월 전
2,Selinakd3dt,여자지만 스완님 도움 엄청 받았어요 애초에 관리 시작 영상을 스완님으로 시작해서 차차 넓혀가고 피부 가꾸는 법을 가르쳐 주신..  항상 응원합니다 :),15.0,3개월 전
3,userkk2us1sk4s,몇 년뒤에도 꼭 다시 했으면 좋겠네요. 장래희망이 딱 이 분야와 비슷한데 현재 군인이기도 하고... 나중에 다시 기회가 생기면 꼭 신청해보고 싶습니다.,2.0,3개월 전
4,userye7fv5we9u,관리법에 관심생기고 아마 제일 먼저 구독했던분이 아닐까 해요 살도 빼고 배운대로 메이크업 하고 옷입고 나름 신경쓰면서 재밌게 살고있어요 영상 보면서 어..나도..? 했지만 나이도 많이 먹었고 지원하기에도 양심없어서 스완님처럼 좋은 정보 공유해주시는 새로운 유튜버분들 많이 오셨으면 해서 응원댓글 남깁니다 누구든 되시는 분들 꿀템 미리 잘 얻어갈게요ㅋㅋㅋㅋㅋㅋㅋ,1.0,3개월 전
5,HJfh8rz,"좋은 영상 만들어주셔서 감사해요 정말ㅠㅠ
여드름이 정말 심했던 사람인데 
스완님 영상보고 
계절, 제 피부 타입에 맞는 2번 세트쓰고 나서 
여드름이 안나요.. 정말 제 구원자 이십니다",0.0,3개월 전
6,sijumhyunsoo,"스완님 영상 잘보구갑니다:) 항상 고민만 하다가 유튜브시장은 같이하는, 같은유튜브에서 배워야 
더 커질것같다라는 생각에  용기내서 지원드렸습니다..! 유튜브에 용기내서 지원해봅니다..! 
시작이 반,아니 그 이상이라는 말에 와닿았습니다 감사합니다!",2.0,3개월 전
7,userqe1ou5cz1b,"좋은 일 추천!! 제가 맨즈뷰티 쪽 진로로 확실하게 꿈꾸고 있었으면 의향 있었을 거 같아요 ㅎㅎ 올해 말부터 인턴 나갈 거 같아서 안 될 거 같아서 다른 좋은 분이 좋은 기회 얻으셔서 잘 되시길 !! :) 이런 거 넘 좋아여 형 사랑해 나 4년 전부터 구독했어,, 4년 전 21살에 구독했는데 벌써 25살 취준생이야.. ㅜ",2.0,3개월 전
8,userpl7kz7ph8e,"2019년?인가 그쯤부터 유튜브 봐오고 있는데, 확실히 코로나 전후로 채널이 엄청 커졌다는게 저도 느껴집니다. 2년전에 '아 나만 알고 싶은데..' 했던 기억잌ㅋㅋㅋㅋ;, 정말 화장품에 대한 남성분들의 접근에 큰 기여를 하신 거 같아요 앞으로도 탈 없이 잔잔하고 오래 가시길!!",7.0,3개월 전
9,yongkoon9096,와 이런컨텐츠를..기획하시다니.... 파이를 키워보자는 생각을 하시다니..................................................... 지린당... 똑똑해.... 유튜브판에서 그게 진짜필요한건데... 스완님 좀 스마트한거 다시한번 느끼네요 ㅋㅋㅋ,3.0,3개월 전
