,youtube_id,comment,like_num,comment_date
0,swanmensbeauty,"라보에이치 제품증정 이벤트 당첨자(10명)
- 지성트러블(5명) : 쏘믈리에 / 춘샷건 / 잘사는사람 / lastday / 누리아 
- 건성일반(5명) : HJ Y / 권도 / 꽃다람쥐 / 곱막대 / 이루비 
축하드립니다

--

 제품별 구매링크
**본 채널 판매링크는 일부 쿠팡 파트너스 링크를 공유합니다. 링크를 통해 판매 발생 시, 일정 수수료를 지급받습니다. 온라인 가격은 시기에 따라 차이가 있어, 로켓배송이 아닌 경우 최저가가 아닐 수 있음을 알려드립니다.

1. 코스알엑스 그린 히어로 카밍 패드
70매 / 온라인가 1만원대 초반
https://link.coupang.com/a/EKxSW

2. 라보에이치 댄드러프클리닉 2종
*올리브영 기획전 종료되어 이후 링크는 아래
- 지성용 : https://link.coupang.com/a/NOEbl
- 일반&건성용 : https://link.coupang.com/a/NOEnV

3. 코털가위
(다이소 등 원하는 곳에서 구매하기)

4. 덴티스테 후레쉬 브레스 스프레이 
15ml / 온라인 개당 6~7천원대
https://link.coupang.com/a/EKyaR

5. 일리윤 프레쉬 모이스처 바디로션
350ml / 온라인가 1만원 초반대
https://search.shopping.naver.com/catalog/18915332542?cat_id=50000408

6. 오더이터 풋 스프레이
113g / 온라인가 1만원 초반대
https://link.coupang.com/a/KF1AZ",32.0,9개월 전(수정됨)
1,bumjunkim7587,"작은 것부터 다 챙겨주는 이 남자 ..
다른 것보다 제품 테스트할 때 사용자의 다양성을 항상 고려해주시고 장단점을 알려주셔서 너무 감사합니다 :0 !",46.0,9개월 전
2,usercr5pn2ef1m,"요즘 들어 관리에 눈을 떠서 열심히 하는 중인데
머리에는 그냥 아무 샴푸나 쓰면 되지 뭐가 달라라고 생각을 했었는데 이렇게 영상으로 접하니 괜스레 호기심도 생기고 10년 연구, 특허기술도 있다고 하니 다른 제품들과 다른 점이 기대가 되네요!
비듬 없고 촉촉한 두피? 자신감도 더 생길 것 같아요! 
라보에이치로 곧 추운 겨울 두피까지 촉촉하고 깔끔하게  지내보고 싶어요!!",5.0,9개월 전(수정됨)
3,bluerain0315,"스완 님 영상 보기 시작하면서, 자기관리 하나하나 시작하면서 주변 사람(남여 모두)한테 '깔끔해졌다, 밝아졌다. 꾸민 거 같다'라는 소리 자주 듣게 되었습니다. 스스로 자존감도 많이 올라가더라고요. 기본적인 헤어, 피부는 하고 있으니 이젠 좀 더 디테일 한 부분을 라보에이치로 챙겨보고 싶어요! 꼭 받아서 더 멋진, 깔끔한 제가 되고 싶어요!! 항상 배워갑니다!",43.0,9개월 전
4,useruk2zv7yh2b,진짜 당장 챙겨야 할 정보 한가득이네요ㅠㅠㅋㅋ 최근 두피 건강 신경쓰면서 라보에이치 찾아보고 있었는데 댄드러프 클리닉 제품도 직접 써보면서 느껴보고 싶네요! 앞으로도 좋은 영상 부탁드립니다ㅎㅎ,10.0,9개월 전
5,useryc1dm7qe2e,"진짜 딱 남성분들이 알아야 할 + 알면 훨씬 좋을 정보들만 가르쳐주셔서 여자인 저도 홀리듯이 보는 영상… 화장에 선입견 있는 남자분들한테도 스완님 영상 추천해주니까 오히려 좋아하더라구요 ,, 체고",6.0,9개월 전
6,Leerl2ml,스완님 영상보면서 항상 좋은 정보 많이 얻어갑니다!! 제가 두피가 별로 좋지 않아서인지 어렸을땐 없었던 비듬이 요새 생기고있더라구요 ㅠㅠ 스트레스를 많이받기도했고 다른 비듬샴푸로는 효과를 많이 보지 못했었는데 이번에 소개해주신 샴푸는 효과가 얼마나 좋을지 기대가되기도하고 사용해보고도 싶습니다 ㅎㅎ,1.0,9개월 전
7,userkw2xh2bu2m,"진짜 안그래도 비듬때문에 너무 짜증이 많이 났었는데 해당 제품 너무 기대됩니다ㅠㅠ,,,,스완님은 진짜 나만 알고 싶지만 더 알려졌으면 좋겠는 유튜버네요",1.0,9개월 전
8,yang00,남자관리는 스완님 영상만 보면 진짜 다 해결되는 것 같아요..ㅜㅜ 매번 좋은 영상 감사합니다.. 피부가 극지성이라 그런지 두피도 엄청난 지성이더라구요..기회가 된다면 라보에이치 제품 써보고싶습니다:) 후기 보니까 제품에 대한 기대치도 더 높아지네요️,8.0,9개월 전(수정됨)
9,mgo5245,매번 이렇게 빠르고 핵심만 잡아서 친절하게 다 설명해주시는데 이거 보고도 관리 안 하면 진짜 사람 아니다…,1.0,9개월 전
10,bobbiiiii,진짜 겨울에 검은옷 입었을때 비듬떨어지는거 때문에 항상 어깨체크 하는데 라보에이치 꼭 써보고 싶습니다!! 스완님 추천템은 항상 만족하고 있어서 이번에도 매우 기대가 되요 ㅎㅎ 꼭 효과 보고싶습니다 ㅠㅠ,2.0,9개월 전
11,userxr7pc7xt4f,"나름 관리를 잘하고 있다고 느꼈지만 영상을 통해서 보니 놓친 부분들이 있었네요.. 요즘 겨울철이라 두피가 더 건조해져 비듬이 날리는데 검은색 옷을 자주 입다보니 신경을 안쓸 수 가 없더라구요. 기회가 되면 라보에이치 댄드러프 클리닉 사용해서 눈에 띄게 달라진 두피,모발 상태 자랑 할 수 있으면 좋겠습니다!",1.0,9개월 전
12,leehoo24,"기존에 라보에이치 프로바이오틱스 탈모완화 두피강화 샴푸를 사용하고 있습니다  벌써 반통 넘게 흡족하게 사용하고 있어요 ㅎㅎ

그런 만큼 라보에이치 댄드러프 건성용 역시 기대가 되는데요. 건성이다 보니 지성과 다른 촉촉함을 스완님 영상보고 기대가 됐답니다 ㅎㅎ 두피 관리할 수 있는 제품 사용해보고 싶어요! 두피 트러블 없이, 비듬은 멈추고 남은 머리카락 한올 한올(?) 정돈될 수 있기를 이 제품에 기대해봅니다 ",1.0,9개월 전
13,leehoo24,"3번...은 진짜 치명 ㅋㅋ 주1회 관리 무조건 해야해요  

기존에 쓰고 있는 제품들도 나와서 엄청 반갑고, 안 써본 거 사러가야겠네요 ",1.0,9개월 전
14,userfj5ge2bg1o,"항상 깨끗하게 머리 말린다고해도 반나절 지나면 비듬이 생겨나는데 이 제품 추천해주시니까  꼭 써보고싶네요.
아직까지 비듬, 탈모샴푸 안써봤는데 사용한다면 얼마나 효과있을지 궁금하네요!",2.0,9개월 전(수정됨)
15,userbi8ur5vy6z,"매번 잘 챙겨보고 있습니다
전에 올리신 라보에이치 추천영상이 있어서 봤는데 막상 집에 남은게 있어서 구매하기 망설여지던데 지성두피염을 앓고 있으며 이번 기회에 꼭 도움 받았으면 합니다 

꼭 도움 받아서 후기 남겨두릴게옹",0.0,9개월 전(수정됨)
16,ksy0907,여자지만 항상 잘 보고 있어요! 깔끔하게 정리해주셔서 감사합니당,39.0,9개월 전
