,youtube_id,comment,like_num,comment_date
0,swanmensbeauty,"출연해주신  @saylog5154  님 감사합니다

 시향 할 수 있는 곳
- 비레디 : 올리브영 일부매장
- 탬버린즈 : 탬버린즈 공식매장 (서울 삼청동, 가로수길 등)
- 로이비 : 가로수길 공식매장 & 올리브영 일부매장
- 메종프란시스커정, 딥티크, 트루동 : 백화점 입점 매장 (주로 현대백화점) 
* 올리브영 입점 브랜드는 올리브영 웹사이트에서 '구매가능매장확인'기능 쓰면 확인 가능
* 백화점 입점 브랜드들은, 네이버지도에 브랜드명 검색하면 근처 매장 표시됨!",21.0,3개월 전
1,zxc0110318,와 미친!!! 스완님! 저 향수 검색하고 찾아보는중이였는대 .... 항상 구매하는대 선택폭을 넓혀줘서 고마워요!! 바로 시청하고 구매 갑니다아아ㅏㅏ!!!!,1.0,3개월 전
2,userui8tg6lb6r,지금까지 향수 관련 영상은 제품 추천만 주로 나왔던 거 같은데요. 단독영상은 아니더라도 관리 영상 중간에 입문 관련 혹은 실생활 활용법도 알려주실 수 있을까요? 학생이라 무작정 사서 쓰기엔 과하거나 잘못쓸까봐 무서운게 있네요,10.0,3개월 전
3,iliank2643,"니치향수만 200개 넘개 보유한 향돌이로서 너무 좋은 향들은 다양하지만, 입문자들이 호불호 없이 여름에 가장 쓰기 좋고 무난한 향수들은 아쿠아디 파르마에 미르토나 조금더 들여서 제 최애브랜드인 킬리안의 문라이트 헤븐 추천드려요~!",5.0,2개월 전
4,tyul2st,"자금여유있으시고 인위적이거나 남성적인 향보다는 자연스럽고 풀향, 꽃향 이런 생화향 좋아하시는분들은 바이레도 인플로레센스도 추천은합니다!! 대신 개비싸고 지속이 짧아요 ㅎㅎ; 향은 엄청 좋고, 조말론 블랙베리보다 개인적으로 더 자연스럽고 좋다고 느꼈어요. 솔직히 저만 알고싶은 향이지만 바이레도에선 블랑쉬나 라튤립이 유명해서 혹시나 단종될까봐 ㅠ",0.0,3개월 전
5,userwu4dm8ul2w,이 영상을 보고 프랜치니들 구매했어요..흔하지 않으면서 너무 만족 스러우요,2.0,2개월 전
6,userkm1ls8ny8e,스완님 비레디 향수는 종류가 3개 있던데 각 향마다 어떤느낌으로 추천하시는지 알수있을까요?,1.0,3개월 전
7,j6354,고마워요 형. 형 영상 공부하고 관리한 뒤로 피부 좋다는 소리 매일같이 들어요. 형 덕분에 자존감이 많이 올랐어요,2.0,3개월 전
8,usereh9xr5kq7o,향수 뭐 살지 고민이였는데 오늘도 잘 보구 갑니당~~,0.0,3개월 전
9,cityboy1358,"스왼님 내년 시험 때문에 하루종일 집에서 공부하는 학생인데요.

지성이라서 그런가 집에 있으면 기름이 많이 올라와서 여드름이 나는거 같은데, 혹시 집에서 무기자차 선크림을 바르면
기름기를 잡아줘서 여드름이 덜 날까요?

아니면 선크림도 결국 화장품이라 바르지 말고, 기름기가 올라오더라도 피부를 쉬게 해주는게 맞을까요??",1.0,3개월 전
10,userww1vo6nq7k,이 영상보니까 원래 페브리즈 뿌리고 다녔는데 이제 향수로 가야겠네여 땡큐,2.0,2개월 전
11,usertv8np8ll9s,아쿠아 유니버셜리스 여름에 쓰기 좋아요 ㅎㅎ,0.0,3개월 전
12,chakhan1217,오오 그기향기?부터 이젠 바디향기 까지 책임져주는 스완님,2.0,3개월 전
13,lmw3953,수완이형 에어샷이나 힐러같은 디바이스도 리뷰 해줭,1.0,3개월 전
14,gskang5647,스완님 오늘도 존잘이십니다...,4.0,3개월 전
15,PJB12,좋은 영상 감사합니다,0.0,3개월 전
16,kokku1486,"향수 초심자들은 그냥 조말론 씁시다...
조말론 싫다고 하는 사람 여태 한 번도 못 봤고, 실패 하는 경우도 한 번도 없음.
이상한 거 잘못 뿌리면 사무실에서 서로 인상 쓰게 되는데, 살면서 조말론 뿌려서 머리 아프다고 하는 사람도 못봄.",1.0,1개월 전
17,usernh7uh2pe9c,이 형 또 내 지갑 빈털터리 만들어주네 ㅋㅋㅋㅋ 감사링,0.0,3개월 전
18,userez8fc8fu5o,"지금까지 써본 향수 추천(주위에서 향 좋다고 한 것만)

러쉬 - 빅, 제스티, 트와일라잇(남자보다 여자가 좋아함)

마르지엘라 - 레선모, 버블바스

클린 - 웜&쿨 코튼, 퓨어솝

CK - 에브리원

여름에는 ck에브리원, 러쉬트와일라잇 빼고 다 잘어울림",12.0,3개월 전(수정됨)
19,useryb3nt2hm8e,10만원까지 쓰실 수 있으신 분들은 디올 옴므 코롱 개강추합니다,1.0,3개월 전
20,usernw5bb2ks1u,혹시  향수 세일 일정 있나요?,0.0,3개월 전
21,zd4077,"형~~~ 형 팬인데요 혹시 시간나시면 짧은 머리 처음 시도해보는 남자가 머리 손질 시 
꼭 발라야되는? (딴건몰라도 이런건 발라야된다) 이런거랑
(왜냐면요 다른사람들 영상 보면 헤어에센스, 포마드, 모시기 등등 너무 많은것같아서)
그런거랑 쉽게 하는방법 추천해주는 영상 하나만 만들어주세요,,,,,,
형 보고 머리손질하는 남자가 되고싶어용 형",0.0,3개월 전
22,furia8446,향수존버햇다!!,0.0,3개월 전
23,fadosol5,헉 세이로그님? 대박이네!!! 둘다 보던 유튜버다!!!,0.0,3개월 전
24,kkoedol947,왜 점점더 잘생겨지는거야!!! 안녕히가세요!!,1.0,3개월 전
25,userwx8rg8df5q,템버린즈 향수 지속력 쎈가요!?,0.0,3개월 전
