,youtube_id,comment,like_num,comment_date
0,usercr5pn2ef1m,"형 저번에 샴푸부터 이번에 블레미샷 앰플까지,, 잘 쓰고 있습니다~! 항상 이벤트 해주셔서 감사해요
감기 조심하시고 오늘 영상도 잘 보겠습니다~!",0.0,4개월 전
1,baaaaae,"스완님 px화장품 지성 건성 복합성으로 선크림까지 정리해주실수있나요 ㅠㅠㅠ 돈은아끼고싶은데 px화장품 뭐가뭔지모르겠어서 스완님이 추천한 스킨케어 2번세트사용중..
피부가 복합성이라 더 어렵네요ㅠㅠ
(옛날에 올려준것도 물론 봤지만 요즘 px에 없어진것도 있고 새로 추가된 화장품들도 많아요!)",1.0,4개월 전(수정됨)
2,userpb5yt6ih9j,뻔하지 않아서 좋네요 유니크한 선물이 될 것 같아요 고마워용!,0.0,4개월 전
3,gskang5647,밤마다 스완님 영상 다시 보면서 피부관리 공부하고있습니당,0.0,4개월 전
4,carpediem163,ㅋㅋㅋㅋㅋㅋㅋ 여친/여사친 선물 언급할때마다 표정 너무 웃기신뎅 ㅋㅋㅋㅋ,1.0,4개월 전
5,userfn2lo4rc3o,스완님 예전에 닥터자르트 시카페어 카밍 젤크림이 리뉴얼 되면서 자타입으로 바뀌어서 혹시 대체할만한 튜브타입이 있을까요? 메이크프렘은 여름에 사용하긴 어려울것 같아서요,0.0,4개월 전
6,lxxdnqls,인센스 스틱도 생각보다 반응 좋아요~,0.0,4개월 전
7,netting9665,썬크림이 너무 많아서 이노랩 멀티 프로텍션 썬크림 혹시 여드름피부에 사용해도 적합한가요…,0.0,4개월 전
8,userqn7rf7we5l,"스완님!
얼굴을 보면 여드름과 블랙헤드가 많은데  세안을 하고 나면 얼굴이 땡깁니다

이렇게 기름이 별로 안나와서 건성피부같은데 이런 건성타입도 얼굴에 트러블같은게 많이 생기나요?",0.0,4개월 전
9,userpo1tf1gh9v,"형!!쇼츠 보다가 궁금한 게 생겼는데요
유기자차 선크림 바르고 무기자차 위에 발라도 효능? 면에선 갠찮을까요??",0.0,4개월 전
10,userte4mi6cd2l,여자친구가 좋아하겠네요 소소하게 주기 좋네용 감사합니다!,0.0,4개월 전
11,usereh5hs8mi3t,행님 겨울부터 지금까지 여드름 피부여서 아토베리어 365로션 쓰고 있었는데 거의 다 써가지고여 이거 여름에도 계속 써도 될까요?? 추천좀용,0.0,4개월 전
12,useryq3mz2pt4p,스완 형! 앰플 너무 감사합니다ㅠㅠ,0.0,4개월 전
13,usergg3ch5xf3f,스완님 그 노스카나인 트러블세럼 은 보습도는 어느정돈가요?,0.0,4개월 전
14,kimjim8922,난 이런 센스있는 추천이 좋더라~~~,0.0,4개월 전
15,VNAJxm5uy,오 물멍조명…선물말고 내가 사서 써야겠다 ㅋㅋㅋㅋㅋ,1.0,4개월 전
16,userhq4uv3ql3t,스완님 오늘 피부 물광 머선 일?? 오늘 얼굴 폼 미쳤다,0.0,4개월 전
17,usercx1jo8jy7i,"아비브 어성초 카밍부스트 토너, 비욘드 엔젤 아쿠아 수분크림 보습감이 몇인가요?",0.0,4개월 전
18,userrz3ek8ki7c,"저녁에 기초 바르면 티존에 유분이 올라오고 볼은 건조해서 수부지같습니다
근데 수분을 엄청 먹이고 화장을 하면 티존이 엄청 건조하고 화장이 갈라지고 뜨는데 이건 어떻게 해야 할까요…. 도와주세여ㅕ….",0.0,4개월 전
19,userjc5tf3op4u,2023 ver인 메이크업 영상을 제작해 주세요,0.0,4개월 전
20,userng8ib2mi3b,볼때마다 잘생겨지네 ;;,1.0,4개월 전
21,kjh9739,갈수록 잘생겨지네,0.0,4개월 전
22,KiKiMooD99,지금 영상 속 상의 정보 알 수 있을까요??,0.0,3개월 전
23,jackkim115,다슈 맨즈 멀티 커버 스틱 파운데이션 이거 리뷰 부탁드립니다!,0.0,4개월 전
24,usercr5pn2ef1m,위에 자켓 정보 알 수 있을까욥,0.0,4개월 전
25,HYNIM,형이 사라고 하는 것도 벅차 애들 안챙겨!!,0.0,4개월 전
26,userjd5cn2el5i,"2023년 스킨로션 추천은 언제 하나요?
스킨 앰플 로션 바꿔보고 싶은데~~",0.0,4개월 전
27,userum2wd2ir9g,형 오늘 왤케 잘생겼어,0.0,4개월 전
28,nananacorn,에센허브 바디워시 프로모션 해주세요!!,0.0,4개월 전
29,userfk7gb2bt9g,"복합성피부인데 2단계를바르면 u존은 괜찮은데 t존에.기름이 폭발하네요
T존만 좀 가벼운 화장품을쓰고 나머지는 그냥 2단계발라도되나요?
지금 이마쪽은 스킨만바르는중이네요....",0.0,4개월 전
30,userjs4vb1gn1f,저 세안후 피부 땡기고 화농성여드름 많이 생기고 하는데 피부 타입이 뭘까요?,0.0,4개월 전(수정됨)
31,userwo6bt9bu3b,되게센스있다 ㄱㅅㄱㅅ,0.0,4개월 전
32,userys1vq3ut9c,형님아 여자친구 부모님 선물로도 괜찮을까...? 용돈 꽂아드리기엔...,0.0,4개월 전
33,useroe8vs4fh7y,막안사는남자들 인줄 졸라 설렜는데,30.0,4개월 전
34,userpf1xu9ph1q,형 혹시 에센허브 바디워시 마켓 계획있어? 없으면 그냥 올영가서 바로 사게,0.0,4개월 전
35,sulsong,,0.0,4개월 전
36,usercy7le7fv6f,스완 화이팅,0.0,4개월 전
37,furia8446,,0.0,4개월 전
38,uservt6tr8cf9c,선물 줄 친구가 없다 ㅠ,0.0,4개월 전
39,useruw6cp4wj2p,오버핏  부드러운  겨울  차콜  블랙라벨  밍크후드집업점퍼  좋아하나요?,0.0,4개월 전
40,userbm7tq1hf5f,스윽 둘러봅니장,0.0,4개월 전
41,usermd3nm4nw4x,1등 ,0.0,4개월 전
42,usertq5db4kg4n,집들이 갈 여사친이 없어요,0.0,4개월 전
43,userbg8et5ke6u,1,0.0,4개월 전
44,useref1xu3fm2d,3:06 있겠노?,3.0,4개월 전
