,youtube_id,comment,like_num,comment_date
0,shannonhughes9354,I used to watch your videos all the time but went on a YouTube break about two years ago. It’s so nice to see that you are still making such soothing content! I love all of your recommendations,0.0,1개월 전
1,useryz7bv4nf4b,아침에 어울리는 잔잔한 모닝루틴이네요! 영상 너무 맘에 들어요~,0.0,1개월 전
2,userud6mj1pg4q,언니 피부 진짜 너무 좋은거 같아여..,0.0,1개월 전
3,everyeah,진짜 피부 넘나 좋으세요,0.0,1개월 전
4,my188cm,피부결 진짜 최고다 최고.. 투명한거 너무 좋네요,0.0,1개월 전
5,dal247,선크림 탐나요 완전 수분감 넘치고 피부가 편안할것 같은 느낌!! 펜슬 언더말고도 활용하기 좋네요~ 역시 수빈님은 딱 이곳저곳 활용팁을 알려주셔서 좋아요.. 그나저나 이제 봤는데 채널명 바꾸셨네용!!,0.0,1개월 전
6,userdp3dp3nr8q,꾸안꾸 느낌으러 너무 이뻐요 ㅎㅎ,0.0,1개월 전
7,beelee3521,"제일 사랑하는 뷰-티 유튜바…용안도 뷰-티 메이크업도 뷰-티 스타일도 뷰-티..그냥 뷰티 그잡채..내추럴 메이크업의 최강자..종종 올라오는 프렌치 시크, 락시크 무드 메이크업도 최강자..그냥 메이크업 유튜바 원티어..사랑한단 이야기입니다..",1.0,1개월 전
8,userrq6wh3rr9w,"꾸안꾸 느낌의
최고!!!",0.0,1개월 전
9,userwhitewhite,진짜 피부가 다했어요..... ,2.0,1개월 전
10,usermd5gx9ee9b,"진짜 피부과가 가장 싫어하는 피부 ㅋㅋㅋㅋ
결점이 없어....",0.0,1개월 전
11,usernb6sz8ew2u,저도 한번 써봐야겠어요,0.0,1개월 전
12,userqi4kf5ll7t,제가 사용하는 제품들이 몇개 겹치네요 신기하넹 ㅎ,0.0,1개월 전
13,userho7oi1ln8t,,0.0,1개월 전
14,jennak2720,잘 봤습니다!,0.0,1개월 전
