,youtube_id,comment,like_num,comment_date
0,somevely,"자매님들 아무래도 이번달 색조 영상 마지막 일거같은데.. 재미있게 봐주세요^^!
비올라인: 진주12mm / https://smartstore.naver.com/violain/products/6288684881
목걸이 : 미니 타입 / https://smartstore.naver.com/violain/products/6137597377
  반지 / 볼진주 / https://smartstore.naver.com/violain/products/5922604267",10.0,1년 전(수정됨)
1,mgo5245,"명품립 모음집 또 올려주세요ㅜㅜ!!! 
언니는 진짜 립 맛집이라 추천해주신 제품마다 쇼핑 성공해서 넘 좋아요… 너무 예뻐서 다 쟁여놓고 유통기한 때문에 끝까지 못써도 하나도 안 아깝고 소중하더라구요",9.0,10개월 전(수정됨)
2,userqy4fj5vi1z,와 진짜 ... 지속력 발림성 같은거 다 적어주셔서 너무 유용하고 진짜 대박이에요 ㅠ ㅠ ,8.0,1년 전
3,ljls0115uv,확실히 썸블리님한테 디올립이 찰떡이네요! 라카 드리밍도 엄청 옙뻐요ㅠㅠ 오늘 애교살.. 짱예임당,7.0,1년 전
4,usereq5sb7rf5i,와 … 머지 ..? 썸블리님 영상들 1시간전부터 홀린듯이 리뷰 계속보다가 이거보게 됐는데 이 영상 스타일링 완전 인어공주같아여 … 너무 이뻐서 한달지난 영상이지만 댓글달아욬ㅋㅋㅋㅋㅋ 리뷰들에 진심이 느껴지셔서 조아요  구독하구 갈게요옹,1.0,1년 전
5,usertb4cn4oy8d,"쿠션부터 틴트까지 언니 믿고 사서 다 성공..
이번엔 머지 틴트로 인생 틴트 등극 꺄..
사랑해용",1.0,1년 전
6,seonyeong3994,글로시 립 안좋아하는데 썸블리님말처럼 머지 틴트 최근에 매일 사용하고 있는 템이에요 ㅠㅠ 진짜 썸블리님 영상 항상 보고 추천 템 많이 샀는데 댓글달기 쑥스러웠는데 오늘은 달아보아요.. 늘 섬세한 표현이랑 추천해주시고 추천템 사면 후회하질 않고 잘 쓰고 있어요 감사해요️️,0.0,1년 전
7,userzk3zd8lf6l,유효성발림 꼼꼼히설명해주셔서너무 좋아요,0.0,1년 전
8,userjustsori,"예전부터 너무너무 잘 보고있어요! 이번 영상도 넘나 이뻐요ㅠ 하나하나 제품 제형, 지속력 등등 설명도 너무 감사합니다!!
평소에는 화장 많이 안 하고 썬크림만 바른다고 하셨는데 선크림 추천영성도 부탁 드려도 될까요~?!!️",0.0,1년 전
9,userhy1pn5xx9z,영상보고 머지 핑크헤이즈 구매했는데 ... 세상에 완전 여쿨라 립으로 찰떡입니다 지속력도 좋고 살짝 마르면서 픽싱돼서 종이컵에도 안묻어요 세상 여리여리 핑크 너무 감사해요,0.0,5개월 전
10,uuooo0920,오우 마자여 갓기천사 존예 ㅋㅋㅋㅋㅋㅋㅋ 저는 베이스로 좀더 진한 핑크 발라주고 그위에 갓기천사 올려주면 적당히 화사해지더라구요 ㅋㅋ 어쩔체리도 겁나이뻐여!!,1.0,1년 전
11,yeah7066,와 요즘 핫한 여쿨템 한번에 모아서 볼수있는 영상은 썸블리님 영상에서만 볼수있는 컨텐츠🥹🥹,1.0,1년 전
12,userix7yg1gs4b,"이언니 추천 너무 잘해줘서 올영 달려갑니다
완전 내스타일 ㅜㅜㅜㅜ감사해요🫶",2.0,11개월 전(수정됨)
13,userbs7fc2lm5j,디올 옙부다.. 영업당하는중 ㅠㅠ  오늘 블러셔도 넘나 찰떡.. 영상에 나왓는데 놓친걸까요.. 어떤건지 궁금해요!! 넘나 여쿨템 ㅠㅠㅠㅠㅠㅠ,1.0,1년 전
14,userpe9ul9lc1r,영상 퀄리티 그저 최고...!!!,0.0,1년 전
15,gdg1326,제가 백화점브랜드 고집하는 사람이 아닌데 확실히 디올 립은 거를 타선이 없는 거 같아요!,20.0,1년 전
16,userhy1pn5xx9z,아니... 머지 핑크헤이즈 영업당하고 디올까지 영업 당했는데 첨엔 뭐지 너무 웜한 코랄이잖아 했는데 연하게 레이어드 두번하니까 완전 찰떡이예요 제 완전완전 최애가 됐어요 평생 죽을때까지 살거예요!!! 왜 그렇게 말하신지 알거같아요 감사합니다,0.0,4개월 전(수정됨)
17,userns8kb9od1j,너무유용한 영상 !!!!!!감사해요~♡목도 언능 회복잘하시길 기도할께요~~~~!!,0.0,1년 전
18,sooyummy3005,"언니 ㅜㅜ 아프지마요 흑흑 ㅜㅜ 스토리 보구있는데 답장 많이올거같아서 디엠을 따루 안보내써요,,,, 언넝 회복하길 기도할게요 !!!!! 틴트 리뷰도 최고  ",1.0,1년 전
19,Ellie,"역시 언니 추천템은 내 파우치템,,, 디올451 진짜 요새 잘쓰고있었는데 갑자기 반갑네옄ㅋㅋㅋㅋ 그나저나 오늘 영상 베이스(파데?쿠션?)어떤거 쓰셨어요?!",6.0,1년 전
20,intokorea3017,매트파데들좀 한번 정리해주세요! 지방시랑 겔랑 신상파데 뽀아르 이런거 궁금해요 .,0.0,8개월 전(수정됨)
21,userwz8it9xj6i,"언니 오늘 메이크업 어니 맨날 올라오는 영상들 다 진짜 찐쿨톤인으로서 너무 예뻐여… 진심 메이크업 영상 원해여ㅜㅜㅜㅜㅜㅜ언니 욜라 예쁘세여,ㅜㅜㅜㅜㅜㅜㅜㅜㅜ",2.0,1년 전
22,userrs6vd7ok4o,라카 소다를 뛰어넘을자는 없구나!,0.0,7개월 전
23,qlxm12,술만 먹으면 틴트 맨날 잃어버려서 디올은 담에 사고 머지 사서 가지고 다녀야겠어요    근데 색은 디올이 진짜 예쁜거같아요 그래도 머지도 예쁘니까 꼭 사야겠어요 감사합니당ㅎㅎㅎ 여쿨인데 여쿨템들 사면 항상 실패했는데 무ㅜㄴ가 썸블리님이 추천해주신 제품들은 성공할거같은 느낌이 들어요,0.0,11개월 전
24,Selenalj1wm,썸블리님 영상 뜨면 고민도 없이 클릭합니다ㅋㅋㅋ 자동,2.0,1년 전
25,uree,립발색은 썸블리가 최고,0.0,1년 전
26,terinayeka839,저는 가을웜인데 썸블리님이 좋아서 봐요~^^ 디올립타투는 다른 색으로 따라샀지요~~,0.0,1년 전
27,userjb1bd3dj5q,와 넘 이쁘세여 블러셔는 뭐 쓰셨어요?!,0.0,1년 전
28,bjoylove,썸블리님 영상 너무 기다리고 있었어요~ ㅠ,1.0,1년 전
29,usercb4ex2nq1z,썸블립 짱,0.0,1년 전
30,userbj8gt6yf9y,언니 너무 옙버요ㅠㅠㅠㅠㅠ 다 따라 살거야…,0.0,1년 전
31,chloe3206,"앗 립사기전에 볼껄 ㅠㅠㅠㅠㅠ 힝
영상 잘 봤습니다 :)",1.0,1년 전
32,userwj3ql3mg9p,"여쿨메이크업 너무 신비롭고 예쁘시네요
사용하신 쉐도우랑 블러셔 알수있을까요?",0.0,7개월 전(수정됨)
33,userqg3ek5uu8h,"봄웜 여쿨 걸쳐져있는데
디올451 이랑 핑크문 사려구요 좋은 선택이게쬬?!!!!",0.0,2개월 전
34,son7092,썸블리님 틴트 잘 바르시네요.,1.0,1년 전
35,ysabelobviar2405,Really hoping for an English caption  I've been a low key subscriber of yours,0.0,1년 전
36,userpd2vb6tl6o,언니 데이지크 쥬시 듀이 틴트도 리뷰해주실 수 있나요!?!?,0.0,1년 전
37,userqg3ek5uu8h,언니 도입부 헤메 미쳤는데요 상큼청순 여름날 아침싱그러운너낌,0.0,2개월 전
38,winrl6rq,헐 이거 보고 살 걸 ㅠㅠㅠ 유익해용,0.0,1년 전(수정됨)
39,usergs2fp9uk9l,언니 오늘 블러셔 뭐에요?? 너무 예뻐요!!,1.0,1년 전
40,pomip1026,썸블리님 믿구 디올 451 샀어용 ㅎㅎ,0.0,11개월 전
41,userxb9rd4ul6q,블러셔 뭔가요 너무 예뻐요 ㅠㅠㅠ,0.0,11개월 전
42,userdf6wj1tr1o,잘봤어요 ㅎㅎ블ㄹㅓ셔 넘예쁘신데 어떤제품인가용?,0.0,1년 전
43,uservc8jg4gy1z,오늘 알림 울리자마자 달려왔네요 ^^  밖에 비가 오면서 바람이 많이 오네요 ㅠㅠ 잘 보고 갈께요,0.0,1년 전
44,userqg3ek5uu8h,"451 무조건 사야겠어요
악 언니영상보고지금 몇갤 지르고이ㅛ는지 아아가아아아ㅏ아악악악
222도 사고 아워글래스 앤티스도사고",0.0,2개월 전
45,userty4ep2hp6e,저도 디올만쓰다가 비싸지않나 국내제품에서 찾으려고 하다가 그냥 디올사서 씁니다 ㅋㅋ 대체품이업ㅎ어요,1.0,1년 전
46,useriq6jg5nb5r,10:18롬앤 워터틴트 머머틴트,0.0,7개월 전
47,rosepark1192,너무이쁜 블리님,1.0,1년 전
48,novianatjandra436,"What the name of shade amuse tint, in picture 5.00???",0.0,2개월 전
49,thehive6910,안녕하세요 영상 콜라보 협찬 문의 메일 드렸는데 확인 부탁드릴게요 :),0.0,1년 전
