,youtube_id,comment,like_num,comment_date
0,Jinny104,이야 뷰티 유튜바 고인물 짬빠 어디 안간다…..,12.0,3개월 전
1,userxe3nr8qt3l,헐.. 사실 그냥 다들 매트 세미매트 세미글로우 글로우 이렇게 나눠버리고 말던데 어떤 매트는 퍼석하고 어떤 매트는 부드럽게 마무리 되는 그 미묘한 질감 차이까지 나눠주시니까 너무.... 너무 편하고 확 와닿아요......... 각각 장단점까지....... 쩐다... 건성은 다음 영상 존버하겟습니다,471.0,3개월 전
2,userio5lg3lv1q,영상 조회수 안나온다구 스스로 퇴물이라 하시더니!ㅠㅠ그럼에도 불구하고 이렇게 한결같이 아니 예전보다 더 공부도 많이 하고 알찬 컨텐츠 준비해주셔서 너무 고마워요ㅠㅠㅠ안그래도 여름되면서 얼굴이 자꾸 번들번들 해져서 쿠션 바꾸려던 참인데 이거 보고 골라야겠어요ㅠㅠ,744.0,3개월 전
3,usergy4yi8tu2u,솔직히 단순 재미 목적이 아니라 구매를 위해서 유튜브 돌아다닐땐 씬님 영상만한게 없어요... 원래부터 가식 없는 리뷰로 유명하셨지만 이제는 이렇게 솔직한 리뷰 찾기가 저어어어엉말 힘들어져서ㅠ 좋은 제품이든 안 좋은 제품이든 이유를 이렇게 명확하게 말씀해 주시니까 구매할때 확실히 도움되고 실제로 샀을때 만족도도 높아요 옛날옛적에 추천해주신 쿠션도 n년동안 썼는데 이제 슬슬 갈아타야겠네요 감사합니다!!,35.0,3개월 전
4,grp9254,"뷰투바 영상 중 레전드인것같아요 최고에요 역시 씬님,,ㅜㅜ 맨날 유료광고에 협찬 등등 진정성있는 후기를 알기 어려운 영상들만 난무오랜만에 유익한 영상 보고갑니다!!",50.0,3개월 전(수정됨)
5,lllIIlIIIIlllIlIIllIlllllIIIll,와 마침내 쿠션 리뷰.. 이런 올영 비교 영상들 보면서 퀄리티는 진짜 씬님이 압도적이라고 생각해서 쿠션편 언제나오나했는데 드디어,97.0,3개월 전
6,userpv4vk7pd1x,솔직하게 다 실험하고 리뷰 결론 내주는 씬님 최고에요,25.0,3개월 전
7,dr4xt,와 진짜 역시 씬님! 어떤 쿠션을 사야 할지 온갖 리뷰를 찾아보았지만 씬님 영상이 정말 종류별로 나뉘어서 꼼꼼하고 상세하게 비교해 줘서 좋아요ㅠㅠㅠㅠㅠㅠ 화장품을 잘 모르는 저는 남들 좋다는 말에 팔랑거리며 사는 편인데 추천 리뷰가 친절하지 않은 경우가 더 많아서 정확히 뭐가 좋은지도 모르고 일단 사는 경우가 더 많았거든요 그런데 씬님 영상에서는 비교 포인트를 꼭꼭 집어 주니까 진짜 도움이 되네요 게다가 리뷰 상품 갯수 무슨 일이에요 정말 꼭 봐야하는 추천 영상... 감사합니다 감사합니다 다음 편도 기대할게요,15.0,3개월 전
8,minjik881,"와 역시 이정도 퀄리티 이정도 솔직리뷰는 찐 씬님 뿐이다
늘 응원합니다 ",19.0,3개월 전
9,FoxyFoxx,댓글 잘 안다는데 미친 리뷰와 섬세함으로 시청자들이 원하는 부분 팍팍 긁어줘서 감사드려요,22.0,3개월 전
10,youwori,비슷한 재질끼리 묶어서 비교하는 거 너무 좋아요!!!♡ 정성 가득 꼼꼼 비교 리뷰 완전 소중해ㅠㅠ♡♡♡,32.0,3개월 전
11,estherkim6405,"I love this! Thank you for testing through so many kinds of cushions. I appreciate every shot, color swatch comparison, water proof tests and your comments. I learned so much from this video and can't wait to see part 2! You are amazing.",4.0,3개월 전
12,Doevuu,쿠션종류가 이렇게나 많았나요? 와! 대박이다. 하나하나 제품설명을 상세히 해주셔서 씬님 덕분에 인생쿠션 만날것같아요^^,5.0,3개월 전
13,usertf2bl5fh9b,정성이 많이 들어간 컨텐츠임이 느껴집니다,178.0,3개월 전
14,userpn4ug4jh3v,아잉~~시간 가는 거 진짜 싫은뎅 2편 어여 보고 싶어서ㅋㅋㅋ 빨리 일주일 지났으면 좋겠네용ㅋㅋㅋ이런 테스터 리뷰 해주는 씬님 쵝오,9.0,3개월 전
15,sunnyslife6900,"와앙 씬님 예전에 뷰티영상 많이봤었는데
오랜만에 봐요 이전보다 리뷰영상이 더 알차구 좋아요 좋은영상 감사합니댜",1.0,3주 전
16,cero9052,"커버력은 필요없지만 보송하고 깔끔한 피부 표현을 원해서 찾다찾다 겨우 프레시안 썼는데, 리뷰도 너무 없고 다들 모르더라구요 씬님이 좋다고 검증해주셔서 더 맘에 드는거 같아요ㅎㅋㅎㅋㅎㅋㅎㅋㅋ 영상 내용도 알차고 사실적인 테스트까지 오늘 영상 너무 좋아요",4.0,3개월 전
17,BIGKONG,진짜 리뷰할 때의 씬님.. 멋있음 여름 쿠션 색상때문에 잘못사서 새로사려다 테스트 귀찮아서 미뤄놨는데 선크림때처럼 2차 감사합니다 ㅋㅋㅋㅋ,5.0,3개월 전
