,youtube_id,comment,like_num,comment_date
0,stardustfactory8311,Thanks for this video! The transformation and attention to detail was beautiful ,0.0,11개월 전
1,grannyt6819,"Excellent. My nails have some of the same problems and I wasnt sure how to use the e-file for them. Now I do. Thank you! 

Such a beautiful result. You take such good care of the hands.",2.0,11개월 전
2,usercr1ul7sg9e,손톱 갈아내는 파일로 살에 닿아도 괜찮을까용???,1.0,11개월 전(수정됨)
3,usertz6nj5iu5r,우와!!,1.0,11개월 전
4,usersd6xj7dh6q,비트속도는 몇으로 하나요~??,4.0,11개월 전
5,lolxu7vn,기가맥힙니다,0.0,2주 전
6,userbf3qp4wj8g,선생님 드릴을 역방향이랑 정방향으로 왔다갔다 하는 이유는 왜일까용?!,0.0,10개월 전
7,usersy851,bgm 궁금합니다...!,1.0,11개월 전
8,userqu2nz4iw4c,180으로 네일표면 너무 가시는거 같아요..,4.0,10개월 전
9,nail5755,표면 너무 많이 가신다...ㅠ-ㅠ,0.0,10개월 전
