,youtube_id,comment,like_num,comment_date
0,areumsongee,인싸여행이 이런거라면 전 아싸할게요 ...,26.0,7개월 전(수정됨)
1,usersh3xo2vg2q,진짜여행가고싶었는데 대리만족중 ㅜㅜㅜ,1.0,6개월 전
2,fredbigornia1814,"Welcome to Cebu Heaven on Earth, my birthplace. Have fun in the Philippines.  We love Tourist,  visitors and all.",2.0,6개월 전
3,etampus14,"Thank you so much for visiting  my hometown. Greetings from Syd, Aus.",0.0,4개월 전(수정됨)
4,nel6019,Love your vlogs ,1.0,7개월 전
5,userur2zn6cu8h,분량 미쳤서!!!! 한아름송이 사랑해!!!,4.0,7개월 전
6,rogue2791,Omg so funnyyy the hopping tour staff,0.0,6개월 전
7,userqt2ej1rt9c,진짜 언니 븨로그가 젤 재밋다...,0.0,6개월 전
8,usermx8qd7zr1p,나 언니 브이로그만 기다려....️,0.0,7개월 전
9,sunju731,언니.. 욱기구 귀여워.. 증말루.. 브이로그 최고햐,0.0,7개월 전
10,userbj8qc9te1v,아름송이님 브이로그를 재미있게 볼게요,2.0,7개월 전
11,userzj3tr9om7y,화장연한거 너무 옙으다 ..️ 화장이라 할것두 없지만 ...,0.0,7개월 전
12,usergo4zr1zs6z,혹시 세부 체험다이빙은 우리프리다이빙 자격증같이 뭐가 필요하나여?,0.0,2개월 전
13,userju5nz2cz2r,체험다이빙이랑 호핑투어 얼마쯤 하나요???,0.0,5개월 전(수정됨)
14,useryc7wg4gx3x,실례지만 호핑투어 협찬..?인가요???? 아님 원래 유명한 업체인가용 넘 좋아보여요,2.0,7개월 전
15,uservz6dd9ou4x,언니사랑혀,0.0,7개월 전
16,jyjy8456,여행마렵다 ㅠㅠ~~,1.0,7개월 전
17,userft9lb6ju4j,안봤지만 벌써부터 재밌음,4.0,7개월 전
18,userfn7mu2lg4h,영상 잘 봤슴니당!! 혹시 조인호핑투어로 가셨나요? 패키지가 넘 많아 헷갈려서요ㅠㅠ,0.0,7개월 전
19,alaehvlogs5676,🇵🇭🇵🇭🇵🇭,0.0,6개월 전
