,youtube_id,comment,like_num,comment_date
0,iamarxmi,"안녕 구름이 여러분! 오늘은 제가 오랜만에 여름 뮤트 메이크업을 찍어 봤는데요 아니 글쎄 내 옷을 입은듯한 편안함이 느껴지는 거 있죠,, (역시 나는 여름 뮤트인가) 오늘은 어떤 이야기를 할까 하다가 제가 요즘 너무 잘 보고 있는 유튜브 채널을 소개해 드리면 너무 재밌겠단 생각이 들더라고요 ㅎㅎㅎ 뭔가 내 보물 상자를 여는 느낌이랄ㄲㅏ ~ ️구름이들의 보물 상자에는 어떤 분들이 계신가요 ?! 구름이들의 최애 유튜버 분들도 알려주세요 
그리고 오늘 제가 사용한 톤업 크림 진짜 처음 보는 그런 마무리감이어서 쓸 때마다 놀라고 있는데요 ,,, 이거 진짜 한 번씩 꼭 사용해 보셨으면 좋겠어요!!! 이게 떡지거나 흡수되거나 끈적거리는 광채가 아니라 코팅되는 듯한 느낌이어서 아마 지성분들도 잘 사용하지 않을까,, 싶습니다! 그럼 오늘 영상도 재밌게 봐 주시고요! 궁금한 제품 있으시면 댓글로 알려주세요 -! 🫶
렌즈는 렌시스 신디 그레이!",7.0,6개월 전
1,userxj1qp5sw7c,"너무 조급해하지마세요!
충분히 잘하고 있고 잘나아가고잇으니 스스로를 칭찬해주세요♡
오늘도 너무예뻐ㅠㅠㅠㅠ!!♡
전 봄브쪽이라 여쿨 뮤트 대리만족하며 보고잇어요 너무잘봤어용^^",7.0,6개월 전
2,userme7cm1to4s,메이크업이요 이쁘게 하시네요 ,1.0,6개월 전
3,DorothyOZ,톤업크림 괜찮아보이네요! 아름하다님 너무 예뻐요><,0.0,6개월 전
4,uservn3rp8zh6u,홍조 많은 피부라 핑크톤업크림 부담스러웠는데 톤업크림 궁금해요! 아름님 광채 대박...★,1.0,6개월 전
5,illumiere88,아름하다님 믿고 톤업크림 바로 구매했어요! 너무이뻐요!,0.0,6개월 전
6,FitwithYasmine,You're amazing . Keep going ️,0.0,6개월 전
7,userlv2bz3eh3d,"진짜  여름뮤트,,립이 너무 예뻐요",1.0,6개월 전
8,yjh4117,아진짜 제가 퍼스널컬러 여름뮤트가 되고싶다 생각할정도로 너무 아름언니랑 찰떡콩이네용,2.0,6개월 전
9,socialphobia,저는 앞머리 있었음 좋겠다고 생각했는데 드뎌 앞머리가 생기셨네요!! 얼굴이 완성본이셔서 뭘 하셔도 이쁘시지만 앞머리 있으신 게 더 이쁜 것 같애요,0.0,6개월 전
10,userfg8vb3rw8h,거딧말..아름하다님 진짜 동안이셔요..최근에 구독해서그른가 20대 초반이신줄알았어영..영상 보다가 놀라서..댓글 달아봅니당ㅎ 여름 뮤트 메이크업 할때 잘 참고 하겠숩니다!!,2.0,6개월 전
11,userbf4wu2we9b,언니진짜 넘이뽀요,1.0,6개월 전
12,userbj8qc9te1v,아름님 너무 예쁘십니다,1.0,6개월 전
13,userbi2fx4pv6v,"나만 알고 싶은 유튜바 아름하다님 ,,  언넝 더 유명해져서 떼 돈 벌었으면 좋겠는데 유명해지지않규 나만 알고싶고 ,, ㅎr,, 이래저래 마음 복잡 .",5.0,6개월 전
14,userme7cm1to4s,그리고요모습이요맑으시네요,0.0,6개월 전
15,userrk5uc7vr6z,"저는 로즈하님 채널이요!!! 징짜 다꾸도 예쁘고 여행 브이로그도 예뻐서 모든 영상 다봐써요,,ㅎㄹ",2.0,6개월 전
16,LUNAjr7cb,헐 비메이트ㅠㅠ 여기 아이라이너 쓰는데 진짜 좋아요!! 나만 알고 싶은 브랜드ㅠㅠ,2.0,6개월 전
17,useroi4pe6oj4x,"헐 혹시 안경은 어디꺼인가요 그냥 동네 안경집에서 사신 건 가요,,,? 보자마자ㅏ 메이크업 무드랑 안경이랑 너무 잘 어울려요,,,,,,,,,,,",0.0,6개월 전
18,SONto4ip,아름하다님 아주예쁘군요.,3.0,6개월 전
19,userme7cm1to4s,새로운영상이요재미있어요,0.0,6개월 전
20,870h,귀찮으실 텐데 너무 죄송하지만 제가 여름뮤트 메이크업을 하려고 하는데 ㅜㅡㅜ 화장품 정보 모두 알려주실 수 잇을까용…?,0.0,2개월 전(수정됨)
21,userkn5ks3xi7k,안녕하세요! 상의 정보 여쭤볼 수 있을까용!!,0.0,3개월 전
22,Sueeeeeee09,언니 오늘 쓰신 투명 안경 어디거예요? ,1.0,6개월 전
23,kaylajun9669,언닝 인트로에 안경 정보 알려주실수있나용 ,0.0,6개월 전
24,usermm3dl2gs3t,Make you change 쉐리처럼 해보세요,1.0,6개월 전
25,ReneDZuGa,,0.0,6개월 전
26,userbq5hv4gr2q,아름님🩷너무예쁘자나️내사랑,0.0,6개월 전
27,theworldsimine,"하.. 머리 좀 그만 만져주세요.. ㅠㅠ
그리고 일상 얘기보단, 메이크업 방법을 더 자세히 듣고 싶어요

그래도 예쁘시고, 메이크업 센스도 좋으셔서 구독 누르고 갑니당",2.0,6개월 전
28,ksyksy3840,아름님 이벤트 당첨 떨어졌나요 아쉽네요 당첨되고 싶었는데🥹🥹🥹,0.0,6개월 전
29,userch7ld8vg9q,코성형하구 1:25 요렇게 만져도 되나여?!,0.0,6개월 전
