,youtube_id,comment,like_num,comment_date
0,wonjaewoo,ㅋㅋㅋ현지언니는 못 참지 바로 달려왔어요️‍,11.0,3개월 전
1,ellenh2061,현지언니 진짜 왤케 웃겨욬ㅋㅋㅋㅋㅋㅋ 자매 사이 좋은 거 진짜 부럽 ..,647.0,3개월 전
2,userej6ts2wz4r,현지언니 영상 나온다면 일단 기대되는 텐션 ㅋㅋㅋㅋㅋ 지우개패드는 유명한거 알고 있었는데 언니 피부표현 깨끗한거 보니까 여름에 특히 더 잘쓸만한 패드인것같아요,110.0,3개월 전
3,goju11,12시간 근무하고 힘겹게 집 와서 씻고.... 보는 아옳이 언니 영상은 진짜 힐링이에요 내가 직접 그 공간에 있는 것도 아니고 먹고 누리는 것도 아닌데 언니의 좋은 에너지가 전해져서 그런 건가 헤헤 지우개 패드도 이 때다 싶어서 바로 질렀어요 진짜 너무 사랑해요 매번 이렇게 정신적으로나 물질적으로나 제 인생에 활력을 불어넣어줘요 내 주변에 언니 같은 사람 한 명만 있어도 매일이 행복할 것 같아요 🩵🫶,97.0,3개월 전(수정됨)
4,userin5vm7tg2p,ㅋㅋㅋㅋㅌㅋㅋ현지님이랑 나오는 영상은 재미 보장ㅋㅋㅋ 평소에 패드 제품들은 자극이 많이돼서 잘 안쓰게 됐었는데 시카 성분이 저한테 엄청 잘 맞아서 언니가 소개해주는 자극없이 순한 각질패드는 어떨지 써보고 싶어지네용 🫧,120.0,3개월 전
5,lj2132,"제발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 현지언니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 작가님들과 대화하시고 가게 사장님하고도 대화하시는 모습 너무 웃겨요 .. 저도 세상 I 라 절대 못하는데 .. 대리만족하면서도 너무 웃기네요 ㅎㅎ 저도 두 분 같은 자매가 있었다면 너무 좋았을 것 같아요 ㅎㅎ 
+ 깨알 지우개 패드 너무 좋아보여용  올여름 각질 모공 트러블 모두 패드 한 장으로 타파할래요 ",21.0,3개월 전
6,dnnn77,겟레디 진짜 존잼.... 지우개패드 언니가 순하고 자극없다니까 완전 끌려요!!! 이전에 사용하던 패드가  자극적이고 끈적이는 느낌이 싫러서 패드는 쳐다도 안보는데 언니가 소개해주니까 신뢰도 완전 높아요 ㅋㅋㅋㅋ언니 피부 원래 좋기두 하지만 뭔가 패드로 닦고하니까 더 깔꼼해보이는거 같기도 하구 .. 앞으로 겟레디 조오오오금만 더 자주 올려줘요,8.0,3개월 전
7,useryk9uz4ot9j,"13:09 이거 완전 꿀팁같아요!! 아무리 무너짐없는 쿠션이라도 요즘 같은 날씨에 땀나고 기름올라오면 답도 없는데, 지우개패드를 패드케이스에 따로 가지고 다니면서 수정할 때 빠르게 지우고 화장하면 딱인 것 같네요!! 인스타 공구나 유튜브에서 인플루언서들이 쓰는 거 많이 봤거든요!! 그럴 때마다 고민했는데, 이제는 진짜 사야 하나봐요ㅠㅠㅠ 저 영업당했어요!! 높은 할인율과 사은품도 있는데, 이벤트라니..!!! 셀리맥스 더 대박나라!!",11.0,3개월 전(수정됨)
8,cherriii8419,현지언니 나오는건 무조건 믿고보는..,61.0,3개월 전
9,yukikiya,"현지님 나오면 택배기사님 온거마냥 헐레벌떡 눌러서 들어오는 새럼 나야나ㅋㅋㅋ 진짜 자매사이 세상 부럽다며
토너패드 아직 안써봤는데 그렇게 신세계라면서요? 셀리맥스 지우개패드는 리필도 편해서 완전 취향저격 ",10.0,3개월 전
