,youtube_id,comment,like_num,comment_date
0,userph4jl1ey1t,이때까지 본 화장중에 젤 찰떡으로 잘어울리는거같아요,16.0,2개월 전
1,pokieandcola,워낙 귀티나게 생기셔서 어떤메이크업이던 다 잘어울리는듯,2.0,2개월 전
2,iamyejin,메이콥 너무 예뻐요 .. ‎,2.0,2개월 전
3,cymoir,다 사야겠네....넘 예뻐용,1.0,2개월 전
4,Yel926,"우왕 오늘 우연히 봤는데 너무 아름다우시네요!
혹시 퍼컬이 뭔지 알 수 있을까용??!",1.0,2개월 전
5,usermv9nz5cn1q,웅니 사랑혀…….️‍여쿨라는 오늘도 메이크업 영상에 행복해하고갑니다~~ ️,0.0,2주 전
6,solee5187,언니!! 혹시 렌즈도 끼신걸까용??!! 눈동자 색 너무 이뻐요!!ㅠㅠ🩵,1.0,2개월 전
7,userzc8bd8dr5t,으앙 블라우스 넘 예뻐서 구매하고싶은데 솔드아웃이더라구요🥹🥹,1.0,2개월 전
8,ggg3161,여쿨라 영수로서 이 영상 메컵 레전드 …🫶,1.0,2개월 전(수정됨)
9,userho6eq9vt4q,언니! 혹시 그 크림 바를때랑 블러셔 바릉때 퍼프는 어디껀가엽?!,1.0,2개월 전
10,userml7ph4cb8z,"온니 피부타입이 어케 되시나용 .. 
수부지인데 여름되니까 기름폭발인데 웰라쥬 갠차늘까여 ??!??",1.0,2개월 전
11,dangmukto,"미쳤나봐... 나 방금까지 일본여행 정주행 하고 왔수..
영경찌 때문에 내 통장 빈털털이가 되어도 좋아....
알랍뷰..
포에버 영경 영수 -",1.0,2개월 전
12,userzv8ur3vl6w,"엉니 리본 귀걸이 정보쩜여 ,,,,  농햅은행~~",1.0,2개월 전
13,HHsx6pe,엉니 셀프네일 영상도 보고시퍼영,1.0,2개월 전
14,usernj4zu6zd9c,언니 사랑그해여…,1.0,2개월 전
15,koichoi5071,비지엠궁금해요,1.0,2개월 전
16,diveingray,요덩~,1.0,2개월 전
17,userhl6dp2iz7w,다살래요..,1.0,2개월 전
