,youtube_id,comment,like_num,comment_date
0,hyunaya7003,진짜 언니 룩북만 보면 시간 순삭.. 다 넘 예뻐요 🫶️🫶️,12.0,7개월 전
1,userur5ht5gl2q,"진짜...트렌디 그잡채 ㅠㅠ 너무 이쁘자나용 !! 기다린만큼 이번 룩북도 쵝오 !
어쩜 이렇게 옷을 잘매치할까요.. 비결이 뭘까요 암튼 그냥 트렌디해요 ㅎㅎ ",4.0,7개월 전
2,userhi5of7yb3u,진짜 새은님은 자기한테 잘 어울리는 옷이 뭔지를 정확하게 알고계심ㅠ 진짜 입은 옷마다 다 찰떡 내가 입으면 진짜 찐따힙찔이 돼지 그 잡채임 새은님 룩은 새은님만 소화하실수 있음 공주 그자체….️,1.0,5개월 전
3,skdud1593,"언니같은 사람이 학교다니면 소문나겠어요,, 어딜가도 유명인사 슈스 ㅜ 3번째 룩 완전 취저에요 ",9.0,7개월 전(수정됨)
4,useruv1ip2hb1n,하이틴 영화에서 존재 하는 개강룩 넘 이뿌다 친구가 등산간다고 디스커버리 신발이랑 가방 맞췄는데 너무 이쁘더라구요 ㅜㅜ 어쩜이렇게 이쁜 것만 딱 가져와 센스 있게  갓 새은 흥해라,2.0,7개월 전
5,usertj6qv9rt2s,"진짜 조막만한 나는 따라할래야 따라할수가 없다,, 넘사 모델 그 잡채ㅠㅠㅠ넘 이뻐용",3.0,7개월 전
6,mindyvang97,I love your style!! ,1.0,7개월 전
7,sophiaisabelle000,We appreciate your consistency and effort. God bless you.,2.0,7개월 전
8,userho4bp9ou2x,진짜 옷 다다다ㅏ다 잘 어울리시네 ,1.0,7개월 전
9,userec8to6xb9w,핫걸은 개강룩도 남달라..️‍,3.0,7개월 전
10,userdk9zj6mh9z,어쩜이렇게 옷을 잘입을꼬…,5.0,7개월 전
11,usergs1wf8oj8d,이 옷들을 입고 개강하면 하루만에 에타에 올라오겠지만 그래도 언니 룩북 최고야.. 러부,9.0,7개월 전
12,Comonbabe,"언니는 예쁜게 아니야. 예쁜게 언니인거야. 언니의 미모,,,이건 우주의 섭리랄까,,",1.0,7개월 전
13,zozo8salomon422,God I adore your style ,0.0,4개월 전
14,userjs9mn8xv5h,하 이 언니 왤캐 이쁘냐 진짜 세상 혼자 사네…,45.0,7개월 전
15,usertc6yd9bn3j,새은님 코디천재야 진짜 미쳐️,1.0,7개월 전
16,usereo4xw1gq9o,아니 진짜 분위기 미쳤다 y2k분위기카메라에서 아이폰으로 넘어오는 거 너무 좋아요 같은 옷인데 분위기 바뀌면서 다른느낌 나는 거 🫶🫶,1.0,7개월 전
17,SONto4ip,안녕하새은 Saeeun님 겨울룩북이 너무 잘 어울리시네요.,2.0,7개월 전
18,ofhill1142,특히  패딩과 디커 신발 코디 넘 이뻐요~,2.0,7개월 전
19,harleing1801,최고다 진짜 ㅜㅜㅜ 너무 예뻐서 이 영상만 몇 번째 돌려보고이써여,0.0,6개월 전
20,usermi5vf7ve7f,모든 찰떡소화 샌언니 ㅜㅜㅜ넘 예뻐여,0.0,7개월 전
21,userew3dt7ge5n,언니 룩북 목빠지게 기다렷다구우~🫶,0.0,7개월 전
22,mochijams7793,"omg thank you, I needed this ",2.0,7개월 전
23,marijr2qu,진짜 멋있어요!!,1.0,7개월 전
24,kangmln,언니같은 사람이 우리 학교에 있으면 나 강의 내팽겨치고 하루 종일 졸졸 쫓아다닐거에요..,1.0,7개월 전
25,userug5zs3im5s,그냥 뭘해도 이쁘자너ㅜㅜ,0.0,7개월 전
26,nayeonjessicakang695,역시 룩북은언니가 짱!!,2.0,7개월 전
27,ncl8665,I’m so obsessed with ur channel I literally watch all ur videos wtf,1.0,7개월 전
28,useryf2zi1vu4b,멋지십니다,0.0,7개월 전
29,useroc7jz4gn8u,Look 3 완전 취저️️저런 옷 누가 입어 ️ 손민수 하고 싶게 만드는..,0.0,7개월 전
30,ofhill1142,와... 유진스와 고프코어 룩인가요... ,2.0,7개월 전
31,tinkerbel0,"내가 젤 좋아하는 웅니,, 영상 자주올려줘용 ♡",0.0,7개월 전
32,userbw5xf8pi1o,잉 룩북 넘 기다렸어요오 🥹️ 첫 번째룩에서 상의 사이더제품 혹시 링크 알려주실 수 있나욥 아무리 찾아도 없는 거 같아서요 ㅜㅜ,1.0,7개월 전
33,userek3il6qb3x,샌언니••♡ 넘 보고파서 목빠지게 기다리던 중이어써요 난 아직 살면서 언니만큼 HoTGirl 아직 못봐썬 혹시 시간이 남는다면 저 올해말에 영국가는데 영국girl 룩 가능한가요️‍️,1.0,7개월 전
34,userqe6sp8ud4t,안녕하세은님 룩북이 잘 어울려요,1.0,7개월 전(수정됨)
