,youtube_id,comment,like_num,comment_date
0,billiesfq8jd,이때 진짜 존나웃었음 ㅋㅋ,11.0,3주 전
1,usertp1rz3ll2m,주변에 한두놈씩은 있었던 경험이 있을터라서 많이들 웃을듯ㅋㅋㅋ,7.0,3주 전
2,userpc2wq2se8s,"펜디 비니 12만원은 진짜 개웃기네
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",2.0,2주 전
3,songsooyoung7323,시작부터존나웃기넼ㅋㅋㅋㅋㅋㅋㅌㅋㅋ,6.0,3주 전
4,mchwangjun,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아나 역대 영상들중에 제일 웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.0,3주 전
5,OKkv9bd,ㅋㅋ존나웃기네 ㅋㅋ,1.0,3주 전
6,mako5643,조온나 웃기네 ㅋㅋ,6.0,3주 전
7,raf284,패션계의 용찬우네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.0,2주 전
8,usersz5zk6ju4l,ㅋㅋㅋㅋ ㅈㄴ웃기네,6.0,3주 전
9,userjs3ob7ug1w,명작이다,0.0,2주 전
10,userjg5di8ds3q,아 ㅋㅋ 개웃기넴,1.0,3주 전
11,userkt4qx2eb4x,썰 잘푸네 ㅋㅋㅋㅋㅋㅋ,0.0,3주 전
12,l1l1l1l1111,"툭툭 던지는말투 개웃기네 
-운동화는 ㅈㄴ비싼거 신어요~
-아~ 나이키매니아",3.0,3주 전
13,8lackBear,명작,0.0,3주 전
14,moai9804,통화하는 친구가 관심을 안주면 바뀔거같은데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 관심 받는게 좋은가 보네요,1.0,3주 전
15,usertq3sf2ql2x,ㅋㅋㅋㅋ보기좋네,1.0,3주 전
16,userjs3ob7ug1w,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.0,2주 전
17,usermr5ne7fv9w,ㅋㅋㅋㅋㅋㅋㅋ,0.0,13일 전
18,userwu3wx3so7u,싸우레드!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,31.0,3주 전
19,zuxxxxxo,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아,2.0,3주 전
20,userij5zm7gl2h,1,0.0,3주 전
21,kevincho1470,2,1.0,3주 전
