,youtube_id,comment,like_num,comment_date
0,fhq6h380,너무 부담스럽지 않는 가격에 깔끔하면서 포인트가 가득가득한 코디 진짜 울 언니 넘넘 최고,4.0,6개월 전
1,Bill,전신 편집 미쳤다 늘 다양한 각도로 아이템 보여 주셔서 많은 참고가 됩니다ㅎㅎㅎ 마이크로 백 세트에서 소리를 질렀지 뭐예요 가격도 괜찮은데 코디와 함께 하니까 비로소 채워진 느낌이 들어요ㅎㅎㅎ,1.0,6개월 전
2,palangbom,슬림핏 가디건 너무 잘어울리세용유행템부터 기본템까지 다양해서 좋아요,1.0,6개월 전
3,usersj2me1ry4x,오늘 소개 착장도 어김없이 다ㅏ아ㅏ 예뻐요,4.0,6개월 전
4,cinderella,골지 가디건이 유행이라 해서 찾고 있었는데 시티브리즈가 맛집이었네요?! 세일하고 있길래 지르고 왔어요!! 작년에 프롬님 소개한 아티드도 기억나요 레이어드 니트 인상적이었는데 유니크하면서 질리지 않아서 이것도 탐나네요!!,1.0,6개월 전
5,SsAaxv7kq,エイフロムちゃん今日も超絶可愛くて女の子らしくてメロメロが止まりません,1.0,6개월 전
6,usersj2me1ry4x,오늘도 어김없이 다ㅏ아ㅏㅏ 예뻐요,1.0,6개월 전
7,hbru3qp,이번코디 무슨일인거죠?!! 진짜 다너무이뻐요,1.0,6개월 전
8,userfp8qy3wu6y,입고계신 연두 니트 정보 궁금해요!,2.0,6개월 전
9,usercw6os7xg7b,언니 입고 계신 바지 정보 궁금해요!,1.0,5개월 전
10,userfq7wk7ve8s,에이프롬님 옷들이 너무 예뻐요,1.0,6개월 전
11,Peach,살이 쪄서 팬츠 입기 두려운 1인이에요 그런데 밴딩 카고라니… 너무나 행복해요ㅠㅠㅠㅠㅠ 요즘 나일론 소재로 만든 아이템이 많던데 가볍게 입을 수도 있고 땀도 안 나겠어요 그나저나 캘빈 기대 1도 안 했는데 이번에 작정하고 만들었나 봐요 모조리 제 취향…🫢,1.0,6개월 전
12,Leenm9ko,"금요일밤 최고의 선물.. ദ്ദി❁´ω`❁)
이번에도 잘볼게요",5.0,6개월 전
13,useroj7mw6kx6y,에어프님  너무감사 예쁜거  만아서 고마워요,1.0,6개월 전
14,useroj7mw6kx6y,에어프님  롱스커트 넘무이뻐요,1.0,6개월 전
15,shaezalnoor6763,Sister make a video on your skincare routine with English sub and info .I don't know Korean language,1.0,6개월 전
16,userly4ne9zh8f,11:05 언다이드룸 두번째 신발 소개해주실 때 입으신 셔츠랑 슬랙스?착장 정보 궁금해요🥹,1.0,6개월 전
17,userjr5ue8lu7b,크림색 카고 팬츠 정보 알 수 있을까요 ? 넘 예뻐요 !!,1.0,6개월 전
18,userof9yb2lh5h,캘빈클라인 배색크롭티 무슨 사이즈 입으셨나요?.?,1.0,6개월 전
19,shaezalnoor6763,Plzzz make all your videos with English subtitle .I don't know Korean language ,1.0,6개월 전
20,usergu5ye1cq5f,에이프롬님 이번 여름에 실버백 구매하는 거 어떻게 생각하세요오 작년에 고민만 하다가 지금 실버백에 꽂혔는데 넘 늦었을까요오..,0.0,6개월 전
21,shaezalnoor6763,Plzzz make a video on your sl8ncate routine with English subtitle and info plzzzz,1.0,6개월 전
22,useroj7mw6kx6y,청바지 왁 가디건 지금입이면너무이뻐요,1.0,6개월 전
23,usergk9wl1ji3v,시티브리즈 코디 이뿨요,0.0,6개월 전
24,suhyun121,부럽네요...이맛에유튜버하죠,0.0,6개월 전
25,yuuhanx,"안녕하세요 교정한지 1주일차 알고리즘타고 왔습니다. 얼굴형이 진짜 갸름해지셨네요,, 교정하고나서의 만족감이 어떠신가요??",0.0,6개월 전
26,floral4656,프롬님 착장 스펙 어떻게 되나여? :-),0.0,6개월 전
27,piden9629,더아이덴티티프로젝트,1.0,6개월 전
28,rouge7516,안녕하세요 캘빈 크롭자켓 xs 일까요?,0.0,5개월 전
