,youtube_id,comment,like_num,comment_date
0,ellieveryday,"댓글이 지워지고있어요 ㅠㅠ!! 다시 한번 확인 부탁드립니다...!!!

저도 3개월분 구매 완료입니다  저랑 같이 다음주부터 건강한 식사와 함께 저녁에 비비랩 글로시 드셔보실분...!!!!  구매인증 이벤트도 많이 참여해주세요!!!!",20.0,1개월 전(수정됨)
1,hhhhhhdz2ot,콜라겐 함량도 높은데 히알루론산에 비오틴까지 들어있다니 넘 좋네요:) 좋은 제품 소개해주셔서 감사합니당 ,1.0,1개월 전
2,sunyejeong7380,엘리님 좋은제품 소개해줘서 고마워요!!,4.0,1개월 전
3,mcj1129,"20230808-0005055
사은품으로 나가는 다이어트 식품까지 꼼꼼히 먹어보고 소개하는 언니 진짜 감동이에요 ㅠㅠ 유튜브 보다가 소개하는 제품들 솔깃해서 구매하고 솔직히 그냥 그랬고 재구매로 이어지지 않았던 적이 대부분인데 언니가 소개하는 제품은 고심해서 고르고 마켓여는게 느껴지고 또 너무너무 만족도 좋았어요(케어놀로지 쟁여놓은거 재고 줄어들때마다 이젠 불안...)
이기회에 좋은 제품 섭취하고 이너뷰티까지 챙겨볼게요 좋은제품 소개 고마워용",5.0,1개월 전
4,userwi5lp8br4v,"어머 분명히 댓글을 썼는데 확인해보니 사라져있네요🥹 엘리님 말씀처럼 다른 분들도 한번 더 확인해보시는게 좋을 것 같아요! 

20230808-0004514 구매 인증입니다.
좋은 제품 소개해주셔서 감사해요~ 히알루론산과 비오틴, 콜라겐 모두 함께 있어서 더 궁금해지네요~ 얼른 도착했으면 좋겠어요! ",4.0,1개월 전(수정됨)
5,Jjangnyuh717,나이들면서 느끼는게 이너뷰티 정말 중요한거 같아요 히알루론산 필름으로 먹고있었는데 액상이 다 좋을거같아요!,5.0,1개월 전
6,urh4343,"20230808-0004957
마시던 콜라겐 쟁여논거 있는데 엘리님 추천에 완전 기대하며 구매했어요! 일단 마셔보구 효과있으면 있던거 빨리 소진하구 재주문 하려구요!
게다가 납복맛이라니...!하루 마무리하며 마시기 너무 기분 좋을것같아요! 저를 위한 힐링하는 마음으로 구매했습니당",4.0,1개월 전
7,usercb4rb2lf3f,어머 엘리님  비비랩 공구라니 안살수가 옶내용,5.0,1개월 전
8,userti2bn2hp3h,"20230808-0004789
엘리님께서 콜라겐 마켓 하신다고 하셔서 비비랩 콜라겐에 대해 이것저것 알아봤는데 굉장히 유명하더라고요! 이번 기회에 엘리님 덕에 콜라겐 처음으로 구매해봅니다️ 맛이 없으면 손이 잘 가지 않는데 복숭아맛이라 더 기대됩니다",4.0,1개월 전
9,usertm9rl2dh7x,"20230808-0004547
엘리님 마켓 예고 본 순간부터 기다렸습니다 ㅎ 가격대가 있어서 지르기 망설였는데 할인율이 너무 좋아서 바로 질렀어여!! 함량과 성분이 맘에 들어서 지금 기대중입니다!!! ㅎ",5.0,1개월 전
10,lovealdb4,미쳤다 ㅜㅜㅜㅜ언니 얼른 와요 ㅠㅠㅠ,4.0,1개월 전
11,pretty7677,헛! 대박 기대됩니다 알림해놓고 기다릴께요,4.0,1개월 전
12,userhw5du2ih9u,"믿고보는 채널입니다^^
이건 약이 아니니까 위장장애같은건 신경쓰지않아도 되겠죠?",2.0,1개월 전
13,useryr2fu6ps4t,20230808-0005007 저도 마켓 많이 기다렸어요 엘리님^^ 요즘 피부가 칙칙해지고 늘 맘에 안들었는데 달라질 수 있으면 너무 행복할 것 같아요 ! 외적으로도 내적으로도 건강하고 아름다운 엘리님 따라가볼게요^^,3.0,1개월 전
14,myme4195,"20230808-0004699
구매완료! 더운 여름날 콜라겐 지켜! 좋은 가격으로 마켓 열어줘서 감사해요~",6.0,1개월 전
15,userry8xr8mw6z,퇴근중ㅠㅠ집에가서 구매해얄듯요 엘리님 립스틱 이뻐요 멀지 궁금하네요ㅋㅋㅋ,3.0,1개월 전
16,userrp5ir1py7y,"20230811-0000056
케어놀로지에 이어서 이것도 주문했어요~ 얼마전 출산하고 건조해진 피부가 다시 돌아오지를 않아서 한여름인데도 찢어질듯 해요 ㅜㅜ 비비랩 제품 먹고 속건조 잡혔으면 좋겠어요 간절해요.",1.0,1개월 전(수정됨)
17,userrv3hv9fx9i,헉 혹시 콜라겐 몇 달톤인지 알 수 있을까요!! (당장 구매하고픈 맘...!),1.0,1개월 전
18,userey1eg2ot7y,수유부도 먹을수잇나요?,1.0,1개월 전
19,userbk2qv4nj8v,주문완료 했습니다~20230808-0005061 너무 기대되네요 ㅎㅎ좋은제품 감사합니다~유튜브에서 숫자기재되는경우 삭제조치한다는 말이 있더라고요 지난번 공구때도 올렸는데 제 댓글은 삭제되었었는데 ㅠㅠ 이번에는 꼭 살아남았으면 좋겠습니다!! 이번 콜라겐과 함께 다들 꿀피부 되었음 좋겠네요~!!,4.0,1개월 전
20,suneb1ch,"20230809-0000058 
엘리님 영상은 언제봐도 너무 좋은   영상이에요~분말은 먹고 있는데 이번에 액상이 좋아 보여서 주문했어요~마켓 열어 주셔서 감사요~",3.0,1개월 전(수정됨)
21,userww4wp1gx6u,"첫번째 구매인증인가요? ️🫶
20230808-0004425

엘리님 마켓하신다는거 보자마자 구매하려고 기다리고 있었어요! 
안그래도 이너뷰티제품에 관심 많아서 비비랩 제품들 자주 구매했는데 이번 제품은 유난히 더 기대돼요! 고가라서 그런지 함량도 다른 것들 보다 높은거 같고요! 히알루로산 함량이 정말 매력적인거 같아요  요새여름이라 머리에 열이 많은지 머리도 평소보다 영양이 적어 보여지는거 같은데 비오틴도 들어있어서 괜스레 머리결도 좋아지지 않을까 생각돼요! 
고함량이라서 효과도 더 좋을 것 같고 엘리언니처럼 이너뷰티까지 건강하게 관리할 수 있을 것 같아 구매합니다~ 빨리 와서 꾸준히 먹고 촉촉한 피부가 되길 기대하고 있어요!! 앞으로도 이런 마켓 자주자주 해주세요 :)",7.0,1개월 전(수정됨)
22,useryy8ol8nn7i,"20230808-0004727
마시는 히알루론산 콜라겐 드링크라니!!! 엘리님 영상보고 구입안할 수가 없었어요.!! 믿고 쓰는 믿고 먹는 엘리님 픽!!! 
히알루론산 드링크 검색해보니 확실히 다른 브랜드랑 비교해봐도 좋을것 가타요!!!너무 기대됩니당 ",2.0,1개월 전
23,jenk9412,"20230808-0004477
엘리의 친한 지인인데 이건 찐템이라고 추천해서 구매합니다! 너무 기대돼요 

지인추천이라 선구매 후구경했는데 함량 너무 마음에 드는걸요!! 역시 믿고사는 엘리 피부가 초초건성이라 더 기대하는중이에요~ 하루하루 영양제로 세월 열심히 붙잡고 있는 중인데 비오틴에 엘라스틴에 비타민까지 열심히 챙겨먹을수 있겠어요ㅎㅎ
하루라도 더 빨리 먹어서 세월을 조금 덜 맞기를 !!!",6.0,1개월 전(수정됨)
