,youtube_id,comment,like_num,comment_date
0,ellieveryday,발렌티노 뷰티 제품 써보신분!!!! ,11.0,10개월 전
1,usergk7cg4ir5z,와 오늘 립이 엘리님한테 엄청 찰떡이에요! 건강하고 생기있는 느낌! ,9.0,10개월 전
2,userjp8bj5up5q,오늘 너무 이쁘신데요?? 발렌티노 패키지 정말.. 너무 이뻐서 더 뿜뿌오는거같아요,4.0,10개월 전
3,useryu4vk5xo8r,브랜드 홀리데이 컬렉션도 해주세요~~~오늘 화장 진짜 백설공주 같아요!!,2.0,10개월 전(수정됨)
4,dkrkCHO,"제가 제가 이거이거 눈여겨보고있었다가 패쓰했거든요~근데 엘리님쓰시는거보고 바로 써봤는데 구찌랑 샤넬이랑 지방시랑 디올이랑 또다른 에쁨이있어요 ~그리고 이번홀리데이 블러셔중코랄도 샀는데 하이라이터같은 코랄블러셔인데 그것도 진짜이뻐요~
발렌티노쿠션하고 파데도   너무궁금하네요^^엘리님 오늘영상도 너무감사해요^^",2.0,10개월 전
5,urh4343,"블러셔 너무 예쁜거 아닌가요..? 지금 구매 직전인데용ㅋㅋㅋㅋㅋ
나르시소랑 비교했을때 좀더 쿨한 느낌일까요?ㅋㅋㅋ",3.0,10개월 전
6,suryunkang,"꺄 발렌티노 오늘 영상 올려주신다해서 엄청 기다렸다 달려왔어요!! 1등이다~~️️
딱 한국 계절에 맞는 블러셔 컬러이네요! 엘리님은 발렌티노 뷰티 제품 블러셔 말고 다른거 사용해보셨나요~? 쿠션이나 립이나 여러가지 제품들이 많아서 요즘 눈 여겨보고는 있지만 어떨지 몰라서 궁금하더라구요! 너무 궁금했던 제품이라 이렇게 빨리 짧게 핵심만 짚어서 영상 올려주셔서 궁금증도 빨리 해결되고 너무 좋아요! 정말 감사합니다️️",4.0,10개월 전(수정됨)
7,userxg8gm9ek9o,"아이메이크업 넘 이뻐요
제품궁금해요!",3.0,10개월 전
8,dlwl10040,가을겨울 파데 추천 너무너무 기다리고있어요!,0.0,10개월 전
9,usergs3nl3xs8k,이거보구 치크 뽐뿌왔는데 계속 품절이네요 ㅠㅠㅠ,0.0,4개월 전
10,userry8xr8mw6z,발렌티노 제품들 참자참자 하고 안샀는데ㅋㅋㅋ역시 엘리님이세요️️,3.0,10개월 전
11,useriq2mt6is7x,엘리님 블러셔 10호 푸시아일루젼 색도 테스트해보셨을까요? 쿨톤인데 너무쨍할까싶어서요,0.0,9개월 전
12,midu2hv,홀리데이 컬렉션 해주세요~~,0.0,10개월 전
13,usersr3lb8dc2n,립스틱 뭐 바르신건가요?예뻐요,7.0,10개월 전
14,Leehs4gb,"아니.. 한국에 처음 런칭될때 패키징 너무 예뻐서 살까말까 고민했었는데..
사람들 반응이 대부분 패키지나 가격에 비해 질이 똥망이다..
이런 말들이 많아서 안 샀었건만..
너무 예쁘잖아요? 쿠션이 안 좋다는 얘기였나? 쿠션도 좋다는 사람 있긴 하던데..

저 안그래도 저번에 추천하신 구찌 블러셔 한국에 없다가 얼마전 영상보다가 알고리즘으로 구찌블러셔 영상 떴길래 생각나서 검색했더니 들어왔길래 구매해서 오늘 받았거든요? ㅠ
근데 이렇게 바로 또 예쁜 블러셔 추천이라니…
지방시 무슬린릴라는 사기만 하고 써보지도 못했는데… ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

평소엔 화장 오래할 시간이 없어서 하이라이터랑 블러셔 포기하고 간단출근메이크업인데 예쁜 블러셔 너무 많아요 ㅠ
전 요철이랑 모공도 넓어져서 파데나 블러셔 했을때 잘 안 메워지고 덜 예뻐요..
입생 프라이머는 건조함뿐 아니라 모공이 안 메워지는거 같아서 그냥 베네피트꺼 사야하나 고민돼요

예쁘게 발색되는 엘리님 피부 엄청 부럽네요",4.0,10개월 전
15,Purpleoo,ㅠㅠ 예뻐유! 전부다…(엘리님도 !!),2.0,10개월 전
16,useriq2mt6is7x,엘리님지금 립스틱색너무예쁜데 어디거바르신건가요?,3.0,10개월 전
17,userdr9qf1jk3t,보자마자 주문하고 왔어요! 혹시 엘리님 구독자님들 몰려가시면 품절될까봐ㅋㅋㅋ,3.0,10개월 전
18,yeah7066,헐 여쿨이 써도 될까요??? 아니 패키지때메 그냥 인테리어용으로라도 사고싶어요 ㅠㅠㅠ,1.0,10개월 전
19,jinji,예빠용,0.0,1개월 전
