,youtube_id,comment,like_num,comment_date
0,yeondukong,"오늘도 시청 해주셔서 감사합니다🩵
제가 호들갑 떨면서 좋아한 베럴즈앤 제품은 단종된 것 같아요 ",26.0,1개월 전
1,useryi5rf3hm6k,"올리브영 제품 외에도 가격대있어도 좋으니 언니가 써본 백화점 라인 효과좋은 제품도 소개해주세요~
저렴이추천템도 좋지만 매번 같은 컨텐츠여서 다른 좋은 제품들도 궁금해여~~",7.0,1개월 전
2,usereu7wn3dj3e,"언니의 숨겨진(?) 찐템도 알고 좋은 제품들, 언니가 추천해줬지만 잊고 있었던 제품들 알아가요! 오늘도 유익한 영상 감사해요 사랑해요 연두콩 포에버️",1.0,1개월 전
3,jjiniyya,오늘도 찐템 소개시켜주는 두콩 고마워요 또 좋은 제품 알아가요!!,1.0,1개월 전
4,WOw0wovv,와아아 공병 컨텐츠 너무 좋아요 !!! 게다가 재구매 의사까지 알려준다닝 ~,4.0,1개월 전
5,my188cm,"썸네일부터 익숙한 제품들이 보여서 바로 들어왔더요🫶
두콩픽 믿고 써서 잘 참고하고 사고있어요
",1.0,1개월 전
6,userxu6dl3fp8h,"ㅎㅎㅎ 제가 재구매한 아이템과 언니가 재구매한 아이템이 겹칠때마다 기쁘네용 항상 믿고 사는 두콩템입니다 
 더위 조심하세용:)",1.0,1개월 전
7,usernp6ni3lg2p,역시 기여운 연두콩콩콩,13.0,1개월 전
8,useryf9vo5xb1k,저 마지막 AHC 검정선스틱 네고왕할때 샀었는데 너무 좋아서 지금 4통째 쓰고 있어요 3통 더 사놨는데 진짜 개편하고 사용감 좋음 화장전에 얼굴에써도 너무 좋음,1.0,1개월 전
9,userve3ek1pj2s,모공쟁이로써 재구매템 메모메모 한율 크림 몇년째보는건지ㅋㅋㅋㅋㅋㅋ찐 애정템 인정이여!ㅋㅋㅌㅌ,1.0,1개월 전
10,mihyesson9367,맞아요ㅎㅎ 공병보려구 그 보람?도 느끼니깐 ㅎㅎ악착같이 열심히쓰잖아요 ~ 저번영상보구 AHC썬스틱 엄마랑 저랑 하나씩사서 쓰구있어요~ 진짜 바른지안바른지 모르는ㅋㅋ 근데 검은옷입고 바르면안되더라구요 그래도 잘쓰고있어요~ 얼굴에 해도 뽓쏭,0.0,1개월 전
11,userparkpp,"유용한정보 너무 감사드립니당
영상 잘보고가요~",1.0,1개월 전
12,userhm6xq2wo3i,어뮤즈 비건쿠션 넘나리이쁜거 ㅠㅠ 요즘 비건제품들에 관심 갖구 사용하구 있어여 ㅋㅋㅋㅋ 일주일마다 디디다필링기로 아쿠아필링 해주니까 베이스 메이크업하는거에 재미들렸는데 어뮤즈거 한번 써봐야게따!!!><,0.0,1일 전
13,userry7vx6mn2t,상의 제품정보 궁금해요,3.0,1개월 전
14,benecia5272,언니 공병리뷰 너무 좋아요ㅜㅜㅜ 다음에도 공병 모이면 올려주실거죠‽‽( ⚈̥̥̥̥̥́⌢⚈̥̥̥̥̥̀) 두피토닉 영업당해서 사러갈게요 춍춍ㅎㅎㅎㅎ,1.0,1개월 전
15,DDOON,"도토리패드 클로란 두피세럼 메모,,!오늘의 쇼핑목록",1.0,1개월 전
16,jyl7899,혹시 미샤 글로우 쿠션 여름에 써도 갠춘하셨나요? 여름 건성 쿠션 찾기 너무 힘드네요ㅠ,1.0,1개월 전
17,Ayoung,자극적이었는데 다쓰고 나니까 생각나는 엽떡같은 ㅋㅋㅋㅋ ,1.0,1개월 전
18,useryh5zv5ht1s,연두콩님 템은 진짜 믿습니돠이,1.0,1개월 전
19,udon007,클로란 두피세럼 연두콩님 추천으로 샀는데 진짜 넘조아여,0.0,1개월 전
