,youtube_id,comment,like_num,comment_date
0,jjiniyya,카톡 선물하기까지 추천해주는 두콩 최고다️ 쿠키세트는 진짜 이득이네요!!!,10.0,10개월 전
1,useruu8rb4jo7n,퇴근하자마자 두콩님 영상? 이건 못참아요… 선물 추천템 영상 잘 볼게요!!,7.0,10개월 전
2,ourownsummer,"빼빼로데이 줄 이성은 없지만,,,, 친구에게도 나에게도 셀프선물 하기 좋을거 같아유 카카오톡에서 선물 고를 때 은근 고민인데 언니 덕분에 센스있는 선물 알아가요!",4.0,10개월 전
3,userxp3rt2do4t,"언니 진짜 영업왕 ,,, 친구 선물 뭐해줄까 하고 들어왔다가 제가 더 많이 샀어요",4.0,10개월 전
4,UCmqUortyh1nfiCyRvoPDaQ,진짜 언니한테 영업당하는게 제일 재밌다…,15.0,10개월 전
5,itcx1ry,추천 감사해요ㅠ개인적으로 다른 영상들도 다 봤는데 뻔하지 않은 실용적이면서도 가격대비 너무 센스있는 선물들 같아서 좋아요 눌렀어요 다음에 또 선물할때 참고 하러 오겠습니다,0.0,6개월 전
6,singingRia,선물 추천 컨텐츠 넘 좋은 것 같아용!! 가격도 적당하게 골라주셔서 부담도 없고! 근데 문제는 일단 내가 가지고 싶음…. 일단 쿠키부터 장바구니로….ㅋㅋㅋㅋㅋㅋ,1.0,10개월 전
7,carrotj,"두콩님 넘나 영업왕이구 저에게 올영 베이글칩 신세계를 열어준 분이지만..
쿠키 취향은 넘나 안맞네요
""제니쿠키맛있다 느꼈던분들, 버터 고급진 풍미 좋아하는분들""은 두콩님 추천 쿠키는 믿고거르세욤....ㅠㅠ 몇년 전(?) 노브랜드 쿠키(엄청 저렴한 통에든 것) 맛있다는거 보고 알아봤어야했는데.....ㅠㅠㅠㅠ",0.0,10개월 전
8,userxm7dq4zg6c,가격도 착하고 징찌 너무 센스잇는 선물이라서 좋은거 같아요 다보구 찜만 몇개햇는지 몰겟어요ㅎㅎ 추천 너무 감사합니다,0.0,10개월 전
9,mihyesson9367,이렇게 필요한시기에 필요한 정보? 진짜 최고죠~️,0.0,10개월 전
10,mingba,저는 셀프선물하러 과자랑 괄사 사러감니다..총총 오늘도 귀여운 언니와 알찬 정보 감사해요사랑해요,0.0,10개월 전
11,smilejasmin,연두콩님 제품 추천좋아요 ,0.0,10개월 전
12,userri6kn9ff5y,쿠키 케이스 때문에 더 사고 싶어요 ,0.0,10개월 전
13,userfy1ii9be1c,이거 완전 카카오톡에서 광고비 줘야해욥...!,1.0,10개월 전
14,usermp8fe6xw4d,오늘 옷 너무 이뻐요! 정보 궁금해요오...!,3.0,10개월 전
15,useroj2gd2kg6z,5:45 귀여워요..,3.0,10개월 전
16,shyjc0528,"선물이 아니라 제가 받고 싶은데요,,? ㅋㅋㅋㅋㅋㅋ 언니 센수쟁이!!!!",0.0,10개월 전
17,useryz6wv7zj4c,키엘 핸드크림 너무좋아효!! 선물받았던지라 처음에 향은 불호였는데(플로럴계열만 쓰던지라..;;) 쓸수록 좋아지고 중독되버려서.. 지금은 제가 제돈주고 사요. 너무좋음~상콤상콤,0.0,10개월 전
18,sooyummy3005,"진짜 영업왕 ㅜㅜ이 컨텐츠
넘 저아요 마니마니 해주세요 !!!!!",0.0,10개월 전
19,WOw0wovv,우오앙 찜해놨어요 ... 히히 나도 저것들 딱 선물해야지,1.0,10개월 전
20,userbj8qc9te1v,연두콩님 너무 예뻐요,0.0,10개월 전
21,userve3ek1pj2s,벌써 영상이 올라오다니이이이..... 그저 행복,0.0,10개월 전
22,LOVELYHYEON,"헉 영상 없어져서 뭐지뭐지 아쉬워핬는데ㅠㅜㅜㅜㅠ
너무 좋아요 두콩언니",2.0,10개월 전
23,userom7xt6ef7d,헉 틴케이스 과자 넘넘 구ㅏ여워요 ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ,0.0,10개월 전
24,userbboooggguuu,연두콩님 이번 영상 옷 정보 알 수 있을까요? 너무 예뻐서 사고 싶은데 정보가 없어서 댓글 남깁니다..!!!,1.0,10개월 전
25,son7092,yeondaking연두콩님 아주예쁘시는군요,7.0,10개월 전
26,yori2762,위에 니트 어디꺼일까요~~?,8.0,10개월 전
27,userur3jl3qf2r,,0.0,10개월 전
