,youtube_id,comment,like_num,comment_date
0,userxc1jz7vw2l,와 .... 이런 리뷰랑 후기를 원했습니다. 안그래도 글로우 틴트 사려고 했는데 어떤 컬러 사야할지 확 이해되고 잘 알겠네요. ,5.0,5개월 전
1,soohyeonlee6753,영상 진짜 깔끔하고 눈에 잘들어와요,6.0,5개월 전
2,userhk6mz7ik6r,"안녕하세요 예영님! 옛날에 퍼스널 진단을 처음 받았을 때 가을 뮤트가 나와서 갈뮽으로 살았었는데, 제가 뮤트는 맞는 거 같은데 가을로 가니 뭔가 얼굴에 묘하게 더 노란기가 번져보이고 제가 핑크가 되게 잘 받는데 가을 뮤트의 핑크 립을 바르니 묘하게 얼굴이 칙칙하고 누래보이더라구요.. 영상에 나온 피그 필링을 발랐을 때 쌩얼에도 제일 잘 맞으면서 그 색을 올리니 뭔가 더 생기 있게 보이고 했는데 (가을 뮤트는 더 누래지기만 한 거 같아요..ㅠ) 그럼 제가 받았던 건 오진일 확률이 높은 걸까요..?  퍼스널컬러를 받았던 다른 친구들도 제가 웜보단 쿨이 더 낫다고 하기도 하고..예영님께 꼭 진단 받고 싶은데 지방러라 이렇게 댓글로 여쭙습니다ㅠㅠ",1.0,3주 전(수정됨)
3,userli1vq1xp1m,"봄라이트

듀이 젤 글레이즈 스틱
2호 멜티드 핑크
4호 워밍 코랄 
5호 시럽피 코랄

듀이 젤 글로우 틴트
1호 버블리 코랄
2호 피치 바이트 코랄
3호 칠 업 코랄",1.0,3개월 전
4,cheri999,"내가 쓰려고 적는 쿨라이트/화이티쉬 모음

🩷글레이즈 스틱
02 멜티드핑크 - 여름
03 쿨리쉬베리 - 여름
10 크러쉬드 레드 - 겨울

🩵글로우틴트
02 피치바이트코랄 - 웜하고싶을때
05 센슈얼레드 - 뉴트럴
06 피오니피즈 - 여름
08 쿨리쉬체리 - 겨울",1.0,5개월 전
5,userub1iu4jb3b,"이게 가장 최근 영상이라 댓글 달아봐요 ㅠㅠㅠ 여름뮤트 딥톤, 덜톤 진단받고 왔는데 진짜 제가 제일 싫어하고 칙칙하다고 생각해서 거들떠도 안 봤던 색들이 베스트 컬러라 너무 당황스럽고 ㅜ 
캐쥬얼한 스타일 좋아하는데 계속 영상 찾아봤더니 정적인 셔츠에 슬랙스 ? 이런 느낌들이나, 여성스러운 스타일이 많은 것 같아서 너무 슬퍼요 ㅠㅠㅠㅠ 연예인 분들도 참고할 사람이 적구요 ,,,, 좀 힙하고 캐쥬얼한 느낌의 여름뮤트 패션이나 쇼핑몰 추천해 주실 수 있나요 🥹 ,,, 
너무 멘붕이라 속상해요 ㅠㅠㅠ 같은 여름뮤트라고 하셔서 여뮽 관련 영상은 다 봤구요 ... 다른 영상도 잘 챙겨보고있습니당 앞으로도 영상 마니 기대할게요 !!",2.0,5개월 전
6,greeny5093,여름쿨라이트에 적극추천 하나만 해주신다면요?! 짱예 예영대표님 지난주 금요일에 넘 반가웠답니당,1.0,3개월 전
7,ganadaramabasaaazachacatapaha,너무 좋다아아아아,2.0,5개월 전
8,usernc7gv8nc7m,퍼스받고 샀는데 완전 핑크라서 아닐거 같은데 언니믿고 샀음 완전 ㅎㅎㅎ,4.0,4개월 전
9,yz0063,"으어 겨쿨 다크지만 
08 쿨리쉬 체리 사서 아주 잘 바르고 있어용 🥹️ 
05 센슈얼 레드도 사구 싶어요 ㅎㅅㅎ",6.0,5개월 전(수정됨)
10,Cozy,예영님 혹시 골격진단 예약할 때 예영님께 받으려면 어떻게 해야할까요~?,2.0,5개월 전
11,usernc7gv8nc7m,여쿨이라 핫핑크는 이쁜데 ..... 센슈얼은 ㅠㅠ 좀 그래서 입술안쪽에 발라주니 이뻐용 ㅎㅎ,1.0,3개월 전
12,userph2eg7mi6n,가을딥 하나도 없는거 실화... ㅜㅜ?,1.0,5개월 전
13,minzt5nr,"봄 웜인데 입술색이 좀.붉어요  그래서 핑크바름 붉은느낌이강하거든요
글레이즈중 추천부탁해용",1.0,5개월 전
14,userof5ir4jm7g,봄 클리어 진단을 받았는데 여기엔 없네요 ㅜㅜ,0.0,4개월 전
15,userse6cv2eb8x,"보기전인데 재밌어요....
겨딥은 울어요",3.0,5개월 전(수정됨)
