,youtube_id,comment,like_num,comment_date
0,userrf7qx7uv1v,가을 딥 다뤄주는 분 거의 없는데.. 진짜 한줄기 빛이세요 넘 감사합니다!!,6.0,3주 전
1,useranr7skfj1iv,진짜 내가 좋아하는 컬러 다 여깄다.. 차분하면서도 깔끔하게 정리해주셨어요. 영상 기승전결이 너무 완벽해요. 가을 딥 다크 초반에 설명해주신 것도.. 세상에 감사합니다♡,9.0,4개월 전
2,userdo8pd6sy3n,가을 다크인데 칠리가 착붙은 아니라고 생각했는데 다양한 립을 설명해주셔서 도움이 많이 됐어요! 라드우드가 잘 맞았는데 마침 겨울도 걸쳐있어서 더 신뢰가요! 영상 속 다른 가을다크립도 얼른 써보고 싶네요,20.0,6개월 전
3,gotn452,"감탄.. 그저 빛.. 가을 다크 립 추천 영상중에서 진짜 제일 채고입니다!!

발색이며, 하나하나 설명까지.. 마지막 총정리 무한 감동..!!

감사합니다 너무 도움 되는 영상이예요 🫶🫶",16.0,6개월 전
4,usght3456,"봄비비드 걸친 가을딥 인생립 추천드립니다!!
1. 아멜리 뱀파이어(그라데이션 포인트로 최고)
2. 아멜리 크레이지 퍼시몬
3. 헤라 센슈얼 누드밤 네이키드 아몬드(베이스립으로 최고)
4. 롬앤 듀이풀 워터틴트 캐니언
5. 라카 푸르티 글램틴트 제타(이건 봄여름용)
전 매트는 잘 안어울리는 타입이라 글로시 위주로 추천드려요!🫶
피부는 22-23호로 맥 칠리가 밝게 느껴져 떠버리는 갈딥입니다 ㅎㅎ",20.0,5개월 전(수정됨)
5,userix3mf4sz9c,와 진짜.... 가을 다크 광명 드디어 아영님 사랑합니다 ㅠ♡♡,5.0,6개월 전
6,mv4zq,요즘 가을웜톤 영상 많이 올려주셔서 너무 도움많이돼요ㅠㅠ!! 오늘도 잘 보고 갑니당,4.0,6개월 전
7,userwq4yf1bm2t,"봄 걸친 갈딥에게 넘 좋은 영상이에요 ㅠㅠㅠ
얼른 제 입술에 발색해보고 싶네요 ㅋㅋㅋㅋ
오늘두 영상 잘 보고 가요 ",2.0,6개월 전
8,userjx9ur5dx4j,퍼스널컬러 가을딥톤 진단받고 야금야금 구매했는데 저기서 대부분 가지고 있어서 놀랬어요ㅋㅋ  퓌- 나이트풀/ 에스쁘아 -너티/ 디올립글로우-웜베이지 컬러도 추천드리고 가요! ,13.0,6개월 전
9,userjv7cd1ph4s,"뮤트와 딥 사이에 갈팡질팡 하고 있는데 워낙 웜톤으로 바르고 싶은 립을 바르는 사람이라 바르고난 뒤 안색이 환해지는 걸 생각해보진 못했네요
하나하나 바르면서 살펴볼 수 있음 봐봐야겠어요",5.0,6개월 전
10,userns4xs5pm6v,정말 빛밖에 안보입니다 가을딥 추천영상 많이 없는데 정말 너무 감사해요,2.0,1개월 전
11,hehehe177,진짜 대박... 이렇게 성의있게 하나하나 다 올려주시고... 완전 감사합니다ㅜㅜ 구독 꾹!!!,4.0,6개월 전
12,userru5fv4lq1g,가을딥인데 어뮤즈 낙화 전체적으로 발라주고 안쪽에 클리오 라즈베리번 발라주면 요즘 제 데일리 인생립이에요 꼭 한번 도전해보세요!!,5.0,4개월 전(수정됨)
13,userfk7gt2dz2t,웨이크메이크 젠틀브릭 인생템입니닷!! 저거 많이 안더워 보여서 노란끼 잘 받는 분들은 봄여름에도 쓸 수 있는 부담스럽지 않은 컬러예요,3.0,6개월 전
14,usergl1in4tk1e,"겨울딥 영향받는 가을딥이래서 엄청 헷갈렸는데 2,3순위 퍼컬까지 알려주셔서 감사해요ㅠㅠㅠ",15.0,6개월 전(수정됨)
15,usergb5ib6oj2x,가을 딥입니다 딥인 걸 알기 전부터 디보티드 투 칠리가 인생컬러였어요.... 맨날 얘만 쓰는데 이 영상 보고 다른 것도 사보러갑니다...️️,2.0,6개월 전
16,userqz5wj6mn1n,"저 겨울다크 호환되는 22호(?)가을딥인데요ㅠㅠㅠㅠ너무 감사해여!!
맥 디보티드투칠리 어뮤즈 화양연화 롬앤 라드우드 조이풀 다크코코넛 모두 잘어울려요!!
그리고 추가로 입생로랑416호랑 퓌 나이트폴이랑 네케르 힙브릭레드 페리페라 칠리립꾸 에스쁘아 너티 도 추천드려용",9.0,5개월 전
17,nangmaythaehlwah5977,Thank you for English subtitle,2.0,6개월 전
18,userwu9vj2gn5k,맥 칠리로 가을딥 추정하게 된 사람인데... 디보티드투칠리 리퀴드타입이랑 입생로랑 벨벳틴트212 추천해요 칠리도 찰떡인데 매트립스틱은 각질관리가 힘들어서 눈 돌리다가 찾은... 다만 가격대비 지속력은 똥망들 ㅜㅜ 아직 로드샵에선 찰떡템 못 찾았는데 너무 도움되는 영상입니다,4.0,6개월 전
19,userid8el2tl2g,가을딥이지만 저렇게 주황끼말고 분홍계열 섞인 립도 추천해주실 수있나요? ㅠㅠ,6.0,4개월 전
20,kimjane4365,님? 어디 계세요? 절부터 받으세요. 가을딥 립 추천 영상 여러 개 봤는데 최고네요... 저는 몇년째 삐아 흥행의정석 틴트 잘 사용하고 있어요! 예영님이 추천해주신 맥 디보티드 투 칠리랑 EKE? 틴트 색깔 돌았네요. 드디어 삐아 틴트에서 벗어날 듯ㅠ감동ㅠ,75.0,6개월 전
21,mmmintp,"저 퍼컬 가을딥 나왔는데,,,
어쩐지 포렌코즈 버드가 찰떡으로 어울리더라,,ㅎㅎ 헤헤",1.0,5개월 전
22,wetburp,thank you for english subs ,3.0,6개월 전
23,userom1vs3pd8z,"퍼스널컬러는 가을딥인데
피부는 살짝 쿨톤이면
맥 칠리랑 루비우 어느거 써야 해요?",1.0,1개월 전
24,mmin591,가을딥 립 베이스 추천해주세요ㅠㅠ,1.0,1개월 전
25,userjd8zs5iy5x,안녕하세요 가을딥톤 추천받아서 맥칠리를 사용했는데 친구가 더워보인다고 하더라구요 주황끼도 좀 도드라지는거같고 ㅠ.ㅠ 이경우는 톤과 상관없이 입술 기본색에 영향도 받는걸까요??,0.0,2개월 전
26,userpy1vy6mr9q,"진짜 최고에요 요즘 매일 영상챙겨보고 있어요><!! 제가 가을웜 딥이랑 겨울쿨 딥 둘 다 따로 가능하다해서 뭘 사야할지 고민이 많았는데 감사합니당!! 혹시 된다면 헤라 립제품은 가을웜,겨울쿨 제품없을까욤?!",2.0,6개월 전
27,powerpuffgirl030,그냥 미챳다... 평소 제가 열심히 찾아보려했지만 다크코코넛만 건지고 다 실패햇어요.. 진짜 너무너무 감사드려요 제 지갑 지켜주셔서,2.0,2개월 전
