,youtube_id,comment,like_num,comment_date
0,nayultube,커지면 돼~ 완전 빵 터졌네요ㅎㅎㅎㅎㅎㅎ 예설이 얼른 무럭무럿 자라야겠어요~ 원하는 공주옷 다 입으려면ㅎㅎㅎ 넘 사랑스럽고 귀여워요 신발공주 팝콘표정ㅋㅋㅋㅋㅋㅋ 넘 웃겨요,12.0,4개월 전
1,MinHaPlayground,"진짜 가보고 싶은 디즈니랜두우우우~!!
일본 가면 필수 코스 
3:52 예설공주 ㅎㅎㅎㅎ 무럭무럭 건강히만 자라다옹~",5.0,4개월 전
2,TonyVerseOfficial,6:06 현지화 완료한 우리 예콩이,8.0,4개월 전
3,userhh6gi5ly2q,예콩이 너무 이쁘고 귀여버,0.0,1개월 전
4,clisv,예설이는 이나이대 애기들보다 순한것같아요 예주도 애기때는 한 고집했었던걸로 아는데 설이는 어쩜 저리 애가 순딩한지….,2.0,4개월 전
5,dyplace0306,"딸 가지고 싶어지는 영상이네요
드레스 구두 입고 신은거 너무 귀여워용
디즈니랜드 너무 좋타아~~",0.0,4개월 전
6,Loveuu,아구 기여워 우리 콩자매들 ㅠㅠ,2.0,4개월 전
7,userfp6bn7wo5e,공주옷을 정말 좋아하는 예설이 귀여워 깜찍한 예설이네,0.0,4개월 전
8,cokreng1,9:59초에 예설이넘귀엽♡,0.0,3개월 전
9,userlt2cn2ln6t,에설아기라서진짜귀여네 ㅋㅋ,0.0,13일 전
10,usergb4ms9ul8c,예콩이 예설이 넘 귀엽다,0.0,4개월 전
11,TVpl8qd,9:51 뭐지 이 귀엽고 사랑스러운 꼬꼬마 곰돌이는?,2.0,4개월 전
12,usercp8pd6wg2v,예설이너무귀엽다공주를좋아하네,0.0,3개월 전
13,userbv7fc6vj5t,"이렇게 계속 연속으로 영상 올려주세용
구독 하겠습니다!영상 잘보고가여",0.0,4개월 전
14,usermh9tb3yw1m,예설이귀여여워예콩이언니는예쁘고,0.0,4개월 전
15,vlog6076,"토이스토리 영상으로 처음 보네요ㅎㅎ
좋은영상 감사합니다:)",1.0,4개월 전
16,userhk3er1es2v,공주옷,0.0,4개월 전
17,usertj4gp2or7t,영상 감사해요,2.0,4개월 전
18,uservx1wy1dd7f,너무  재미있어요 ㅋㅋㅋㅋㅋ,0.0,4개월 전
19,usercp8pd6wg2v,나두디즈니랜드가보고싶다,0.0,3개월 전
20,userhu4dr4cc8e,예설이의 공주옷 사랑은 언제까지 일까,0.0,4개월 전
21,userpm2oh6je2j,예콩님 오늘영상올려주셔서 감사합니다,0.0,4개월 전(수정됨)
22,usercc3gv2sq8b,예설이는 무엇을 입어도 예뻐요 예설아 사랑해 다다음에 삼촌이 사줄게 알겠지 예설아,1.0,4개월 전
23,userzi2zc9my8p,예설이귀여워,0.0,4개월 전
24,dajung7675,안녕 예설 예주 ~~,0.0,4개월 전
25,Bluewi1pl,영상 너무 감사합니다,0.0,4개월 전
26,userfd6nj3ks2c,쌍둥이 뚜아님 어수아님 뚜지님 어수지님 뚜맘님 이모 뚜빠님 삼촌 예콩이님 예설이님 예콩마님 이모 예콩빠님 삼촌 비행기 여행 수영장 집 마스크 약 디즈니랜드에서 공주옷 사줄거지~?ㅎㅎ 공주구두사줘..ㅠㅠ 공주옷이20만원 디즈니랜드에오면어요... 집에  코로나    ^-^ ^-^ ^-^ ^-^ 좋아요 구독 좋아 좋아해 좋아요,0.0,4개월 전
27,userjh8qu2bi8q,예설이는 키가몇이길래 사이즈가 없죠?,1.0,4주 전
28,usergp3jw3ny4o,,1.0,4개월 전
29,usermq2lm8le5z,물건을 아껴 써야 지~,0.0,3개월 전(수정됨)
30,userbj3ru2hp2v,예설 오늘 8개월있고,1.0,4개월 전
31,userqw6fe4tx8u,예설아너치마있자나  ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.0,4개월 전
32,userjh8qu2bi8q,저 드레스는 나한테 맞겠네 난키 150넘는데,1.0,4주 전
33,userof5tw4mb7h,우왕 1분전,0.0,4개월 전
34,useriq3sf8vh4e,예설이는 공주옷에서 못벗어나네요,0.0,4개월 전
35,userok8pl2sd1f,10빠,0.0,4개월 전
36,userkf7dy5bk1o,1빠,0.0,4개월 전
37,userkf7dy5bk1o,5초전ㅋㅋ,0.0,4개월 전
38,userut7dt6ui8t,1빠아님,0.0,4개월 전
