,youtube_id,comment,like_num,comment_date
0,LetsplayYURA,예콩이 가족 덕분에 구해서 다행이에요~! 좋은일 하셨습니당 오늘 영상도 재밌어요^^,79.0,6개월 전
1,usernt8wd1ne9d,"할머니,할아버지를 위해 무거워도 열심히 밟는 모습이 멋져요",9.0,6개월 전
2,TonyVerseOfficial,우와~우리 예콩이 착한일 했네!! 크리스마스 기대해!! ,94.0,6개월 전
3,terry3077,"어이구.. 할아버지 구명조끼도 안입으시고
진짜 생명하나 구하셧네요. 복받으실거에요 예콩이가족",1.0,6개월 전
4,kevinlee2609,"정말정말 굿타이밍에 구조하셨네요. 
정말감사드립니다. 일본 노부부가 너무너무 감사하다고 하셔요. 복많이많이 받으실 겁니다. 다시한번 감사드립니다.",5.0,6개월 전
5,KINGKONGAIN2,하하  진짜 사람 구하셨네요~좋은 일 하셨습니다. 별 일 아닌 것처럼 보여도 아이들에게는 다른사람을 도와주는 소중한 경험을 하게 되었네요^^,10.0,6개월 전
6,userof9uy3me6m,예콩이네의 미담과 선행은 사랑을 타고 전세계에 뻗어나가네요~~~예콩이네의 사랑!영원하리~~~~,6.0,6개월 전
7,hyerimmun5671,짝짝짝짝짝 큰 일 하셨네요 감사합니다 잼나게 놀다 오세요~덕분에 바다 구경 실컷 했어요~~~^^,4.0,6개월 전
8,userwz4ow5tn5j,"예콩이 넘 기여워예콩이 만나보고 싶당ㅜㅜ
실물이 얼마나 귀여울까ㅜㅜ",2.0,6개월 전
9,userzg5ep4of1z,"와 대단해요!!
비 오기 전에 구조해서 다행이네요ㅠㅠ 오늘도 영상 감사합니다 ",3.0,6개월 전
10,userqr9bo2ew8v,애콩!착하일했네 잘했어!,1.0,6개월 전
11,userbs7oj8ht4r,예설이 무서워 하는거 귀엽다 ㅠㅠ 꼭 안고 싶은 ㅠㅋ,3.0,6개월 전
12,userkl8gl4mk4d,진짜  너무  착한에콩이네이네요,0.0,11일 전
13,mir9351,와우~ 썸넬보고 넘 착해서 들어왔는데 예콩이였구나~~ 너무 착하다~,4.0,6개월 전
14,userot7no7xy1v,예설이 무서워서 꽉 잡고 있는것봐ㅋㅋ,2.0,6개월 전
15,userfp6bn7wo5e,예콩이 착하네,2.0,6개월 전
16,userbj5mi7wg9q,비맛 궁금해서 먹어보는 예콩이 너무 귀여워~,3.0,6개월 전
17,usergz4db6lp9j,기여워 예콩이♡♡,9.0,6개월 전
18,prototainnexus,예콩이 사랑스럽당 ,2.0,6개월 전
19,mysteryart7260,오늘 영상 올려주셔서 감사합니다. 예콩이네 모두 건강하세요. 늘 좋은 시간 보내세요.,4.0,6개월 전
20,sunkyongkim5436,예콩이 착한일했네! 크리스마스에 예콩이가 가지고싶은 선물 받겠다,1.0,6개월 전
21,sui2776,예콩이 기특하네,0.0,6개월 전
22,TVob3dy,바다 한가운데에 사람이 빠졌다??예콩이 특공대의 출동이군요!!!!!!!꼭 저사람을 구하면 좋겠네요!!ㅎㅎㅎㅎㅎ이번 영상도 확실이 빅잼입니다~~~~♡♡♡♡♡♡,3.0,6개월 전
23,tvfq4yx,구독했어요 예주 예설이 너무 귀여워요,1.0,6개월 전
24,gaonseowoohyunwoo,오늘도 재미있는 영상 올려주셔서 감사합니다 ,2.0,6개월 전
25,userxt9mk6nl2l,항상 재미있는 영상 감사합니당♡,4.0,6개월 전
26,userqp8eq6wk5n,"오늘도 감사합니다
조심이 다녀오세요",13.0,6개월 전
27,userrl7pq9jp3w,오늘도 재미있는 영상만들어주어서  감사합니다^^,4.0,6개월 전
28,userhm7ix2tn8z,노부부 가  구조되어서 다행이네요.,2.0,6개월 전
29,Sim199206,앗 애비콩 애미콩 닉네임은 이제 버리신 건가요? 왠지 정감있는데... 아무튼 좋은 일 하셨고 예주 예설이한테도 정말 좋은 경험이 되었을 것 같아요!,0.0,6개월 전(수정됨)
30,Bluewi1pl,오늘 영상 감사합니다~~^^,9.0,6개월 전
31,userel5bj7mr3f,영상 감사하고 행복한 주말보내세용,3.0,6개월 전
32,userfx5sw4jy7h,언니들 잘했어,0.0,6개월 전
33,useriq3sf8vh4e,즐주되길 바래요,0.0,6개월 전
34,feyyi6,오늘도 좋은영상 감사합니다,0.0,6개월 전
35,userbs9rd5wl4s,오늘영상 감사합니다.,1.0,6개월 전
36,userkw6ib7mi9e,예콩이 너무 너무이뻐♡,0.0,6개월 전
37,userbk2rr7lo4q,바나나보트 저도 수학여행가서 타봤는데 재밌었어요♡,0.0,6개월 전
38,userfk8bt1fy8n,"재미있겠네요
좋은 하루 보내세요 ㅎㅎ",0.0,6개월 전
39,userxn1xr9xi4o,오늘영상 감사합니다 언니,0.0,6개월 전
40,userbj8qc9te1v,오늘 영상 감사합니다,0.0,6개월 전
41,userht8sh3bo6z,좋은정보 감사해요,0.0,6개월 전
42,userbm8ly5iz6z,오늘도 재미있누 영상 감사해요~~♡♡,3.0,6개월 전
43,aikorani3,와......진짜 좋은일하셨네요,0.0,6개월 전
44,userpm2oh6je2j,예콩님 오늘영상올려주셔서 감사합니다 즐거운 주말보네시구요,1.0,6개월 전
45,youngkuy, 바다 깊은데는 위험합니다 얕은곳에서 있어야함ㅋㅋ,1.0,6개월 전
46,userhk3er1es2v,진짜 사람 구했내,0.0,6개월 전
47,userpn1br6tz8l,"어머 놀라서 왔자냐요
역시 착하다니께",0.0,6개월 전
48,leejiyeon515,영상감사합니다.,0.0,6개월 전
49,userkq3ec3fn2n,진짜당황했겠다,0.0,6개월 전
50,userlj8yo3hf5d,"바다에서 오리배를 타고 가다가 사람을 구했어요!
Feat. 다 같이 괌 여행",2.0,6개월 전(수정됨)
51,userpn4zb4nv7l,귀여웡,0.0,1개월 전
52,userub4vo9rw5n,착한일좋아요,0.0,6개월 전
53,bch0220,,0.0,4개월 전
54,userlc6eg3jt2d,,0.0,6개월 전
55,userwm4wr8lm5r,4분 전 영상 재밌 는 영상 감사해요,1.0,6개월 전
56,usernp5pk9ly2w,Good,0.0,1개월 전
57,userpn4zb4nv7l,ㅎㅎㅎㅎㅎㅎ,0.0,1개월 전
58,userfd6nj3ks2c,clevr tv 클레버티비 마이맘님 이모 마이린님 예콩이님 예설이님 예콩마님 이모 예콩빠님 삼촌 쌍둥이 뚜아님 어수아님 뚜지님 어수지님 뚜맘님 이모 뚜빠님 삼촌 비행기 여행 수영장 집 마스크 약  바다 사람 실려!! 구해달라고하는거같은데?! 바다한가운데서사람을했어요!! 집에  코로나    ^-^ ^-^ ^-^ ^-^ 좋아요 구독 좋아 좋아해 좋아요,0.0,6개월 전
59,userrg3sd3wh6v,에쿵이,0.0,6개월 전
60,useroh3pn5cf4j,ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,0.0,6개월 전
61,userey3tw2fv4q,재밌겠다,0.0,6개월 전
62,userfk8bt1fy8n,안녕하세요,0.0,6개월 전
63,jangyeojin,비 먹으면 안돼는데 왜먹지 비맛이왜궁금하지?,0.0,6개월 전
64,bch0220,너희는꼭구조대갓에,0.0,4개월 전
65,userqv3dy2fn8f,헉,0.0,6개월 전
66,wendych1jj,에콩이뚜아야너이는10살이야,0.0,6개월 전
67,kmdk8304,설이 람7ㄴ 고ㅇ주,0.0,6개월 전
68,userel9bd8fc2f,ㅅ,0.0,1개월 전
69,usercy4yl6le2u,Fjg,0.0,6개월 전
